PNU,지번주소,도로명주소,용도군_tier1,대장_주용도,mgmBldrgstPk,매칭,원후보수,다중후보_미해결
1130510100101260001,서울특별시 강북구 미아동,서울특별시 강북구 도봉로46길 8 (미아동),근린생활2,제2종근린생활시설,101013068,지번,1,False
1130510100101370026,서울특별시 강북구 미아동,서울특별시 강북구 도봉로 114 (미아동),근린생활2,제2종근린생활시설,10101100196972,지번,2,False
1130510200104100094,서울특별시 강북구 번동,서울특별시 강북구 한천로 963 (번동),근린생활2,제2종근린생활시설,10101100205262,지번,3,False
1130510200104100094,서울특별시 강북구 번동,서울특별시 강북구 한천로 963 (번동),근린생활2,제2종근린생활시설,10101100205263,지번,3,False
1130510100113570010,서울특별시 강북구 미아동,서울특별시 강북구 삼양로19길 132 (미아동),근린생활2,제2종근린생활시설,10101100186163,지번,2,False
1130510100113570010,서울특별시 강북구 미아동,서울특별시 강북구 삼양로19길 138 (미아동),근린생활2,제2종근린생활시설,10101100233904,지번,2,False
1130510200104160120,서울특별시 강북구 번동,서울특별시 강북구 한천로131길 21 (번동),근린생활2,제2종근린생활시설,1010115419,지번,1,False
1130510300101890030,서울특별시 강북구 수유동,서울특별시 강북구 한천로 1061 (수유동),근린생활1,제1종근린생활시설,1010121125,지번,2,False
1130510300101890030,서울특별시 강북구 수유동,서울특별시 강북구 한천로 1061 (수유동),근린생활1,제1종근린생활시설,1010121126,지번,2,False
1130510300101910024,서울특별시 강북구 수유동,서울특별시 강북구 도봉로89길 5-11 (수유동),근린생활2,제2종근린생활시설,1010121206,지번,1,False
1130510300102200032,서울특별시 강북구 수유동,서울특별시 강북구 노해로 60 (수유동),근린생활1,제1종근린생활시설,1010121411,지번,1,False
1130510300105350362,서울특별시 강북구 수유동,서울특별시 강북구 4.19로 82 (수유동),근린생활2,제2종근린생활시설,1010126529,지번,1,False
1130510300102700040,서울특별시 강북구 수유동,서울특별시 강북구 한천로162길 24 (수유동),근린생활2,제2종근린생활시설,1010122153,지번,1,False
1130510300103380012,서울특별시 강북구 수유동,서울특별시 강북구 삼양로 432-1 (수유동),근린생활1,제1종근린생활시설,1010123153,지번,2,False
