PNU,지번주소,도로명주소,용도군_tier1,대장_주용도,mgmBldrgstPk,매칭,원후보수,다중후보_미해결
1150010300108350003,서울특별시 강서구 화곡동,서울특별시 강서구 곰달래로 215-1 (화곡동),근린생활2,제2종근린생활시설,1017116331,지번,1,False
1150010200100730001,서울특별시 강서구 등촌동,,판매시설,판매시설,10171100207088,지번,1,False
1150010300111210009,서울특별시 강서구 화곡동,서울특별시 강서구 까치산로 165 (화곡동),근린생활2,제2종근린생활시설,1017122419,지번,1,False
1150010300110650031,서울특별시 강서구 화곡동,서울특별시 강서구 강서로 171 (화곡동),근린생활1,제1종근린생활시설,1017117786,지번,1,False
1150010300103480009,서울특별시 강서구 화곡동,서울특별시 강서구 강서로 61 (화곡동),근린생활1,제1종근린생활시설,1017111172,지번,1,False
1150010900105720010,서울특별시 강서구 방화동,서울특별시 강서구 양천로 94 (방화동),근린생활2,제2종근린생활시설,1017119450,지번,1,False
1150010300107960016,서울특별시 강서구 화곡동,서울특별시 강서구 곰달래로 256 (화곡동),근린생활2,제2종근린생활시설,1017112104,지번,1,False
1150010600107190006,서울특별시 강서구 내발산동,서울특별시 강서구 강서로 267 (내발산동),판매시설,판매시설,10171100200506,지번,1,False
1150010300103600017,서울특별시 강서구 화곡동,서울특별시 강서구 월정로 156 (화곡동),근린생활2,제2종근린생활시설,1017117944,지번,1,False
1150010300111010010,서울특별시 강서구 화곡동,서울특별시 강서구 화곡로59길 51 (화곡동),근린생활2,제2종근린생활시설,1017121591,지번,1,False
1150010300103720001,서울특별시 강서구 화곡동,서울특별시 강서구 가로공원로 186 (화곡동),근린생활1,제1종근린생활시설,1017126235,지번,1,False
1150011000104600063,서울특별시 강서구 개화동,서울특별시 강서구 개화동로11길 22 (개화동),근린생활1,제1종근린생활시설,1017121408,지번,1,False
1150010300110320013,서울특별시 강서구 화곡동,서울특별시 강서구 강서로33가길 30 (화곡동),근린생활2,제2종근린생활시설,10171100209168,지번,1,False
1150010600107230000,서울특별시 강서구 내발산동,서울특별시 강서구 강서로 261 (내발산동),근린생활1,제1종근린생활시설,1017123363,지번,1,False
1150010900102850012,서울특별시 강서구 방화동,서울특별시 강서구 양천로 94-1 (방화동),근린생활2,제2종근린생활시설,1017111938,지번,1,False
1150010300103480002,서울특별시 강서구 화곡동,서울특별시 강서구 강서로17길 7 (화곡동),근린생활2,제2종근린생활시설,1017122774,지번,1,False
1150010300100240567,서울특별시 강서구 화곡동,서울특별시 강서구 화곡로 224 (화곡동),근린생활2,제2종근린생활시설,1017119815,지번,1,False
1150010300100610013,서울특별시 강서구 화곡동,서울특별시 강서구 까치산로 40-1 (화곡동),근린생활1,제1종근린생활시설,1017123433,지번,1,False
1150010500115220000,서울특별시 강서구 마곡동,서울특별시 강서구 방화대로34길 80 (마곡동),근린생활1,제1종근린생활시설,1017125407,지번,1,False
1150010500107190000,서울특별시 강서구 마곡동,서울특별시 강서구 방화대로 268 (마곡동),근린생활2,제2종근린생활시설,1017119063,지번,1,False
1150010300109880006,서울특별시 강서구 화곡동,서울특별시 강서구 화곡로53길 7-10 (화곡동),근린생활2,제2종근린생활시설,1017111809,지번,1,False
1150010500114480000,서울특별시 강서구 마곡동,서울특별시 강서구 방화대로34길 57 (마곡동),근린생활2,제2종근린생활시설,101718208,지번,1,False
1150010300109140023,서울특별시 강서구 화곡동,서울특별시 강서구 곰달래로22길 33 (화곡동),근린생활2,제2종근린생활시설,10171100224832,지번,1,False
1150010900106200111,서울특별시 강서구 방화동,서울특별시 강서구 방화동로 5 (방화동),근린생활1,제1종근린생활시설,1017115521,지번,1,False
1150010300111650001,서울특별시 강서구 화곡동,서울특별시 강서구 강서로 242 (화곡동),근린생활1,제1종근린생활시설,10171100258231,지번,1,False
1150010900106210019,서울특별시 강서구 방화동,서울특별시 강서구 개화동로 567 (방화동),근린생활2,제2종근린생활시설,1017111725,지번,1,False
1150010900102450031,서울특별시 강서구 방화동,서울특별시 강서구 방화대로33길 3 (방화동),근린생활2,제2종근린생활시설,10171100202414,지번,1,False
1150010800100600012,서울특별시 강서구 공항동,서울특별시 강서구 송정로 49 (공항동),근린생활2,제2종근린생활시설,10171100211189,지번,1,False
1150010800107270000,서울특별시 강서구 공항동,서울특별시 강서구 방화대로7나길 55 (공항동),근린생활1,제1종근린생활시설,1017111134,지번,1,False
1150010800103010048,서울특별시 강서구 공항동,서울특별시 강서구 송정로 18-22 (공항동),근린생활1,제1종근린생활시설,1017115273,지번,1,False
1150010600107220003,서울특별시 강서구 내발산동,서울특별시 강서구 강서로45길 42 (내발산동),근린생활1,제1종근린생활시설,1017128654,지번,1,False
1150010300108380016,서울특별시 강서구 화곡동,서울특별시 강서구 등촌로5길 87 (화곡동),근린생활2,제2종근린생활시설,1017115426,지번,1,False
1150010300104040005,서울특별시 강서구 화곡동,서울특별시 강서구 강서로 134 (화곡동),근린생활2,제2종근린생활시설,1017115704,지번,1,False
1150010800106590000,서울특별시 강서구 공항동,서울특별시 강서구 남부순환로11길 98-15 (공항동),근린생활1,제1종근린생활시설,1017121023,지번,1,False
1150010900102490020,서울특별시 강서구 방화동,서울특별시 강서구 방화동로 90 (방화동),근린생활2,제2종근린생활시설,1017127980,지번,1,False
1150010600106700050,서울특별시 강서구 내발산동,서울특별시 강서구 우장산로2길 21 (내발산동),근린생활2,제2종근린생활시설,1017121486,지번,1,False
1150010300103430001,서울특별시 강서구 화곡동,서울특별시 강서구 강서로13길 3 (화곡동),근린생활1,제1종근린생활시설,10171100224762,지번,1,False
