PNU,지번주소,도로명주소,용도군_tier1,대장_주용도,mgmBldrgstPk,매칭,원후보수,다중후보_미해결
1162010200106370015,서울특별시 관악구 신림동,서울특별시 관악구 난곡로 168 (신림동),근린생활1,제1종근린생활시설,1022126397,지번,1,False
1162010200114830018,서울특별시 관악구 신림동,서울특별시 관악구 난곡로63길 27 (신림동),근린생활2,제2종근린생활시설,102212169,지번,2,False
1162010200114830018,서울특별시 관악구 신림동,서울특별시 관악구 난곡로63길 27 (신림동),근린생활2,제2종근린생활시설,102212170,지번,2,False
1162010200114310002,서울특별시 관악구 신림동,서울특별시 관악구 신림로 371 (신림동),근린생활2,제2종근린생활시설,1022114656,지번,1,False
1162010100100280047,서울특별시 관악구 봉천동,서울특별시 관악구 행운1길 116 (봉천동),근린생활1,제1종근린생활시설,1022117771,지번,1,False
1162010200100920359,서울특별시 관악구 신림동,서울특별시 관악구 신림로 264 (신림동),근린생활1,제1종근린생활시설,102216691,지번,1,False
1162010100116260001,서울특별시 관악구 봉천동,서울특별시 관악구 관악로14길 94 (봉천동),근린생활1,제1종근린생활시설,1022126352,지번,1,False
1162010200105460010,서울특별시 관악구 신림동,서울특별시 관악구 조원로14길 24 (신림동),근린생활2,제2종근린생활시설,10221100199383,지번,1,False
1162010200104650034,서울특별시 관악구 신림동,서울특별시 관악구 남부순환로161길 10 (신림동),근린생활2,제2종근린생활시설,10221100192366,지번,1,False
1162010200100110012,서울특별시 관악구 신림동,서울특별시 관악구 남부순환로 1630 (신림동),근린생활2,제2종근린생활시설,1022112176,지번,1,False
1162010200116410012,서울특별시 관악구 신림동,서울특별시 관악구 신림로 322 (신림동),근린생활2,제2종근린생활시설,1022134596,지번,1,False
1162010200102510414,서울특별시 관악구 신림동,서울특별시 관악구 대학7길 12 (신림동),근린생활2,제2종근린생활시설,1022116414,지번,1,False
1162010200104970001,서울특별시 관악구 신림동,서울특별시 관악구 신사로 136 (신림동),근린생활2,제2종근린생활시설,1022133510,지번,1,False
1162010200105870120,서울특별시 관악구 신림동,서울특별시 관악구 난곡로 244 (신림동),근린생활2,제2종근린생활시설,10221100191694,지번,1,False
1162010200115320018,서울특별시 관악구 신림동,서울특별시 관악구 호암로26가길 33-6 (신림동),근린생활2,제2종근린생활시설,1022121618,지번,1,False
1162010200105370041,서울특별시 관악구 신림동,서울특별시 관악구 조원로16가길 29 (신림동),근린생활2,제2종근린생활시설,10221100209599,지번,1,False
1162010100116110031,서울특별시 관악구 봉천동,서울특별시 관악구 남부순환로230길 22 (봉천동),근린생활1,제1종근린생활시설,1022121372,지번,1,False
1162010200115940002,서울특별시 관악구 신림동,서울특별시 관악구 신원로3나길 2 (신림동),근린생활2,제2종근린생활시설,10221100263088,지번,1,False
1162010200116340067,서울특별시 관악구 신림동,서울특별시 관악구 문성로 235 (신림동),근린생활1,제1종근린생활시설,102219189,지번,1,False
1162010200114580010,서울특별시 관악구 신림동,,근린생활2,제2종근린생활시설,10221100199452,지번,1,False
1162010200115150005,서울특별시 관악구 신림동,서울특별시 관악구 호암로26길 47 (신림동),근린생활2,제2종근린생활시설,1022116671,지번,1,False
1162010200115220006,서울특별시 관악구 신림동,,근린생활2,제2종근린생활시설,1022126984,지번,1,False
1162010100109390015,서울특별시 관악구 봉천동,서울특별시 관악구 국회단지길 14 (봉천동),근린생활1,제1종근린생활시설,1022115943,지번,1,False
1162010100100300003,서울특별시 관악구 봉천동,서울특별시 관악구 관악로24길 14 (봉천동),근린생활1,제1종근린생활시설,102212957,지번,2,False
1162010200100940153,서울특별시 관악구 신림동,서울특별시 관악구 쑥고개로3길 22 (신림동),근린생활2,제2종근린생활시설,1022110766,지번,2,False
1162010200100940153,서울특별시 관악구 신림동,서울특별시 관악구 쑥고개로3길 20 (신림동),근린생활2,제2종근린생활시설,1022131425,지번,2,False
1162010100109320001,서울특별시 관악구 봉천동,,근린생활1,제1종근린생활시설,1022110282,지번,1,False
1162010200105380001,서울특별시 관악구 신림동,서울특별시 관악구 난곡로 317 (신림동),근린생활1,제1종근린생활시설,1022113124,지번,1,False
1162010200114320111,서울특별시 관악구 신림동,서울특별시 관악구 신림로65길 24 (신림동),근린생활1,제1종근린생활시설,1022124535,지번,1,False
1162010200100100500,서울특별시 관악구 신림동,서울특별시 관악구 신림로58길 53 (신림동),근린생활2,제2종근린생활시설,1022119689,지번,1,False
1162010200100110017,서울특별시 관악구 신림동,서울특별시 관악구 남부순환로 1628 (신림동),근린생활2,제2종근린생활시설,1022116240,지번,1,False
1162010200105170004,서울특별시 관악구 신림동,서울특별시 관악구 신사로 104-1 (신림동),근린생활1,제1종근린생활시설,1022111001,지번,1,False
1162010100115910002,서울특별시 관악구 봉천동,서울특별시 관악구 관악로 125 (봉천동),근린생활1,공동주택,102213351,지번,3,True
1162010100115910002,서울특별시 관악구 봉천동,서울특별시 관악구 관악로 125 (봉천동),근린생활1,공동주택,102213352,지번,3,True
1162010100115910002,서울특별시 관악구 봉천동,서울특별시 관악구 관악로 125 (봉천동),근린생활1,공동주택,102213353,지번,3,True
1162010200102330028,서울특별시 관악구 신림동,,근린생활2,제2종근린생활시설,1022127152,지번,1,False
1162010200116380023,서울특별시 관악구 신림동,서울특별시 관악구 신림로59길 9 (신림동),근린생활2,제2종근린생활시설,1022125139,지번,1,False
1162010200105510001,서울특별시 관악구 신림동,서울특별시 관악구 신사로 56 (신림동),근린생활1,제1종근린생활시설,1022131607,지번,1,False
1162010200114170001,서울특별시 관악구 신림동,서울특별시 관악구 봉천로18길 12 (신림동),근린생활2,제2종근린생활시설,10221100200223,지번,2,False
1162010200114170001,서울특별시 관악구 신림동,서울특별시 관악구 봉천로18길 12 (신림동),근린생활2,제2종근린생활시설,102219563,지번,2,False
1162010100116660032,서울특별시 관악구 봉천동,서울특별시 관악구 남부순환로 1837 (봉천동),근린생활2,제2종근린생활시설,10221100219986,지번,1,False
1162010200114240019,서울특별시 관악구 신림동,서울특별시 관악구 신림로 354 (신림동),근린생활2,제2종근린생활시설,102215526,지번,1,False
1162010100103000008,서울특별시 관악구 봉천동,서울특별시 관악구 낙성대로 34 (봉천동),근린생활1,제1종근린생활시설,102217410,지번,1,False
1162010100116860013,서울특별시 관악구 봉천동,서울특별시 관악구 남부순환로 1921-1 (봉천동),근린생활2,제2종근린생활시설,1022114404,지번,1,False
1162010200115710005,서울특별시 관악구 신림동,서울특별시 관악구 남부순환로 1518 (신림동),근린생활2,제2종근린생활시설,1022112800,지번,1,False
1162010200105300015,서울특별시 관악구 신림동,서울특별시 관악구 조원로22길 27 (신림동),근린생활2,제2종근린생활시설,10221100199883,지번,1,False
1162010200115460018,서울특별시 관악구 신림동,,근린생활2,제2종근린생활시설,1022131337,지번,1,False
1162010100100340051,서울특별시 관악구 봉천동,서울특별시 관악구 관악로 223 (봉천동),근린생활1,제1종근린생활시설,1022132988,지번,1,False
1162010100109110034,서울특별시 관악구 봉천동,서울특별시 관악구 봉천로 407 (봉천동),근린생활2,제2종근린생활시설,1022113903,지번,1,False
1162010100116620035,서울특별시 관악구 봉천동,서울특별시 관악구 남부순환로 1892 (봉천동),근린생활1,제1종근린생활시설,102219680,지번,1,False
1162010100116020037,서울특별시 관악구 봉천동,서울특별시 관악구 관악로16길 38 (봉천동),근린생활2,제2종근린생활시설,1022132265,지번,1,False
1162010100200530001,서울특별시 관악구 봉천동,서울특별시 관악구 낙성대로 42 (봉천동),근린생활1,제1종근린생활시설,102211945,지번,4,False
1162010100200530001,서울특별시 관악구 봉천동,서울특별시 관악구 낙성대로 42 (봉천동),근린생활1,제2종근린생활시설,102211946,지번,4,False
1162010200106170001,서울특별시 관악구 신림동,서울특별시 관악구 난우길 4 (신림동),근린생활2,제2종근린생활시설,102215495,지번,1,False
1162010200114220011,서울특별시 관악구 신림동,서울특별시 관악구 남부순환로 1631-1 (신림동),근린생활2,제2종근린생활시설,102219377,지번,1,False
1162010200101030198,서울특별시 관악구 신림동,서울특별시 관악구 서림길 117 (신림동),근린생활2,제2종근린생활시설,1022119901,지번,1,False
1162010200107630000,서울특별시 관악구 신림동,서울특별시 관악구 난곡로 251 (신림동),근린생활1,제1종근린생활시설,102211036,지번,2,False
1162010100109300045,서울특별시 관악구 봉천동,서울특별시 관악구 남부순환로 1724 (봉천동),근린생활1,제1종근린생활시설,1022115868,지번,1,False
1162010200115690013,서울특별시 관악구 신림동,서울특별시 관악구 남부순환로 1490 (신림동),근린생활1,제1종근린생활시설,1022112630,지번,1,False
1162010200101160010,서울특별시 관악구 신림동,서울특별시 관악구 신림로 120 (신림동),근린생활2,제2종근린생활시설,1022114551,지번,1,False
1162010100116790007,서울특별시 관악구 봉천동,서울특별시 관악구 행운2길 20 (봉천동),근린생활2,제2종근린생활시설,1022116694,지번,1,False
1162010200116400002,서울특별시 관악구 신림동,서울특별시 관악구 남부순환로 1600 (신림동),근린생활1,제1종근린생활시설,102218161,지번,1,False
1162010200106980001,서울특별시 관악구 신림동,,근린생활2,제2종근린생활시설,1022115721,지번,1,False
1162010200116400031,서울특별시 관악구 신림동,서울특별시 관악구 신림로59길 14 (신림동),근린생활2,제2종근린생활시설,1022110480,지번,1,False
1162010200116340017,서울특별시 관악구 신림동,서울특별시 관악구 신림로 271 (신림동),근린생활2,제2종근린생활시설,1022130550,지번,1,False
1162010100104960006,서울특별시 관악구 봉천동,서울특별시 관악구 양녕로 58 (봉천동),근린생활1,제1종근린생활시설,1022130721,지번,1,False
1162010100116570005,서울특별시 관악구 봉천동,서울특별시 관악구 남부순환로 1944 (봉천동),근린생활2,제2종근린생활시설,1022113827,지번,1,False
1162010100116210009,서울특별시 관악구 봉천동,서울특별시 관악구 관악로14길 88 (봉천동),근린생활2,제2종근린생활시설,1022126714,지번,1,False
1162010200105460013,서울특별시 관악구 신림동,서울특별시 관악구 남부순환로143가길 16 (신림동),근린생활2,제2종근린생활시설,10221100264128,지번,1,False
1162010200116550005,서울특별시 관악구 신림동,서울특별시 관악구 시흥대로 566-7 (신림동),근린생활2,제2종근린생활시설,1022117381,지번,1,False
1162010200104690013,서울특별시 관악구 신림동,서울특별시 관악구 남부순환로161나길 31 (신림동),근린생활2,제2종근린생활시설,1022134894,지번,1,False
1162010200116390017,서울특별시 관악구 신림동,서울특별시 관악구 남부순환로 1594 (신림동),근린생활2,제2종근린생활시설,1022120920,지번,1,False
1162010100107110004,서울특별시 관악구 봉천동,서울특별시 관악구 당곡길 36 (봉천동),근린생활2,제2종근린생활시설,1022111307,지번,1,False
1162010100100070387,서울특별시 관악구 봉천동,서울특별시 관악구 관악로 273-5 (봉천동),근린생활2,제2종근린생활시설,10221100246592,지번,1,False
1162010200114430014,서울특별시 관악구 신림동,서울특별시 관악구 봉천로 222 (신림동),근린생활1,제1종근린생활시설,102214519,지번,1,False
1162010300110600003,서울특별시 관악구 남현동,서울특별시 관악구 남부순환로 2082-33 (남현동),근린생활1,제1종근린생활시설,1022120551,지번,1,False
1162010100108740017,서울특별시 관악구 봉천동,서울특별시 관악구 봉천로 450 (봉천동),근린생활1,제1종근린생활시설,1022117985,지번,1,False
1162010200105150028,서울특별시 관악구 신림동,서울특별시 관악구 난곡로 356 (신림동),근린생활1,제1종근린생활시설,1022114608,지번,1,False
1162010300110610023,서울특별시 관악구 남현동,서울특별시 관악구 과천대로 947 (남현동),근린생활2,제2종근린생활시설,10221100205914,지번,1,False
1162010200105380014,서울특별시 관악구 신림동,서울특별시 관악구 남부순환로 1457 (신림동),근린생활2,제2종근린생활시설,102215391,지번,1,False
1162010200116680000,서울특별시 관악구 신림동,서울특별시 관악구 남부순환로 1369 (신림동),판매시설,판매시설,10221100194817,지번,1,False
1162010100106360127,서울특별시 관악구 봉천동,,근린생활1,제1종근린생활시설,1022118955,지번,1,False
1162010200116410040,서울특별시 관악구 신림동,서울특별시 관악구 신림로 300 (신림동),근린생활2,제2종근린생활시설,1022119100,지번,1,False
1162010100116380001,서울특별시 관악구 봉천동,서울특별시 관악구 남부순환로248길 29 (봉천동),근린생활1,제1종근린생활시설,1022121190,지번,1,False
1162010100109510025,서울특별시 관악구 봉천동,서울특별시 관악구 은천로 28 (봉천동),판매시설,판매시설,102212183,지번,2,False
1162010100109510025,서울특별시 관악구 봉천동,서울특별시 관악구 은천로 28 (봉천동),판매시설,판매시설,102212184,지번,2,False
1162010200115160002,서울특별시 관악구 신림동,서울특별시 관악구 신림로 107 (신림동),근린생활1,제1종근린생활시설,1022128725,지번,1,False
1162010100109720040,서울특별시 관악구 봉천동,서울특별시 관악구 봉천로 223 (봉천동),근린생활2,제2종근린생활시설,102217285,지번,1,False
1162010200114220005,서울특별시 관악구 신림동,서울특별시 관악구 신림로 340 (신림동),판매시설,판매시설,102214483,지번,1,False
1162010200116390030,서울특별시 관악구 신림동,서울특별시 관악구 남부순환로176길 12 (신림동),근린생활2,제2종근린생활시설,1022131490,지번,1,False
1162010200116400023,서울특별시 관악구 신림동,서울특별시 관악구 남부순환로 1600-11 (신림동),근린생활2,제2종근린생활시설,1022135099,지번,1,False
1162010100108610008,서울특별시 관악구 봉천동,서울특별시 관악구 봉천로 474 (봉천동),근린생활2,제2종근린생활시설,102217704,지번,1,False
1162010200100870028,서울특별시 관악구 신림동,서울특별시 관악구 신림로58가길 64-3 (신림동),근린생활2,제2종근린생활시설,102216216,지번,1,False
1162010200106370009,서울특별시 관악구 신림동,서울특별시 관악구 난곡로 172 (신림동),근린생활2,제2종근린생활시설,1022133572,지번,1,False
1162010200116550042,서울특별시 관악구 신림동,서울특별시 관악구 조원로2길 46 (신림동),근린생활2,제2종근린생활시설,1022117511,지번,1,False
1162010200101310021,서울특별시 관악구 신림동,서울특별시 관악구 신림로 90 (신림동),근린생활2,제2종근린생활시설,1022120541,지번,1,False
1162010200106020004,서울특별시 관악구 신림동,서울특별시 관악구 난우10길 6 (신림동),근린생활2,제2종근린생활시설,10221100264528,지번,1,False
1162010100109230009,서울특별시 관악구 봉천동,서울특별시 관악구 봉천로 400 (봉천동),근린생활1,제1종근린생활시설,102213246,지번,4,False
1162010100109230009,서울특별시 관악구 봉천동,,근린생활1,제1종근린생활시설,102213249,지번,4,False
1162010200100900101,서울특별시 관악구 신림동,서울특별시 관악구 신림로54길 14 (신림동),근린생활2,제2종근린생활시설,10221100196822,지번,1,False
1162010200106340003,서울특별시 관악구 신림동,서울특별시 관악구 난곡로 180-1 (신림동),근린생활2,제2종근린생활시설,102218061,지번,1,False
1162010200107270005,서울특별시 관악구 신림동,서울특별시 관악구 미성3길 1 (신림동),근린생활2,제2종근린생활시설,102218443,지번,1,False
1162010300110610021,서울특별시 관악구 남현동,서울특별시 관악구 과천대로 943 (남현동),근린생활2,제2종근린생활시설,1022124579,지번,1,False
1162010200116380026,서울특별시 관악구 신림동,서울특별시 관악구 신림로59길 11 (신림동),근린생활1,제1종근린생활시설,1022135337,지번,1,False
1162010200101310019,서울특별시 관악구 신림동,서울특별시 관악구 신림로 94 (신림동),근린생활2,제2종근린생활시설,102217965,지번,1,False
1162010200100100440,서울특별시 관악구 신림동,서울특별시 관악구 남부순환로192길 25 (신림동),근린생활2,제2종근린생활시설,10221100258233,지번,1,False
1162010100109600013,서울특별시 관악구 봉천동,서울특별시 관악구 봉천로 310 (봉천동),근린생활1,제1종근린생활시설,1022111146,지번,1,False
1162010200102550270,서울특별시 관악구 신림동,,근린생활1,제1종근린생활시설,1022118749,지번,1,False
1162010200104990038,서울특별시 관악구 신림동,서울특별시 관악구 신사로 112 (신림동),근린생활2,제2종근린생활시설,102219798,지번,1,False
1162010200114750017,서울특별시 관악구 신림동,서울특별시 관악구 난곡로57길 4-5 (신림동),근린생활2,제2종근린생활시설,102215817,지번,1,False
1162010200102420006,서울특별시 관악구 신림동,서울특별시 관악구 대학5길 18 (신림동),근린생활1,제1종근린생활시설,1022125992,지번,1,False
1162010100116120016,서울특별시 관악구 봉천동,서울특별시 관악구 남부순환로230길 31 (봉천동),근린생활2,제2종근린생활시설,10221100219760,지번,1,False
1162010100104570004,서울특별시 관악구 봉천동,서울특별시 관악구 은천로 130 (봉천동),근린생활1,제1종근린생활시설,1022114387,지번,1,False
1162010200107250033,서울특별시 관악구 신림동,,근린생활2,제2종근린생활시설,1022119276,지번,1,False
1162010200106460126,서울특별시 관악구 신림동,,근린생활1,제1종근린생활시설,1022120447,지번,1,False
1162010200116400044,서울특별시 관악구 신림동,서울특별시 관악구 신림로 323 (신림동),근린생활2,제2종근린생활시설,1022135137,지번,1,False
1162010200105270002,서울특별시 관악구 신림동,서울특별시 관악구 난곡로 316 (신림동),근린생활1,제1종근린생활시설,10221100198382,지번,1,False
1162010200104080014,서울특별시 관악구 신림동,서울특별시 관악구 신림로39길 4 (신림동),근린생활2,제2종근린생활시설,10221100199042,지번,1,False
1162010100116560022,서울특별시 관악구 봉천동,서울특별시 관악구 남부순환로 1964 (봉천동),근린생활2,제2종근린생활시설,1022119198,지번,1,False
1162010200116660000,서울특별시 관악구 신림동,서울특별시 관악구 시흥대로 548 (신림동),근린생활2,제2종근린생활시설,102214278,지번,1,False
1162010200102550154,서울특별시 관악구 신림동,,근린생활1,제1종근린생활시설,1022128096,지번,1,False
1162010100100410117,서울특별시 관악구 봉천동,서울특별시 관악구 은천로33길 24 (봉천동),근린생활2,단독주택,1022128947,지번,1,False
1162010100116630003,서울특별시 관악구 봉천동,서울특별시 관악구 봉천로 535 (봉천동),근린생활2,제2종근린생활시설,102216202,지번,1,False
1162010200114630056,서울특별시 관악구 신림동,서울특별시 관악구 관천로 70-12 (신림동),근린생활2,제2종근린생활시설,10221100200622,지번,1,False
1162010200115240002,서울특별시 관악구 신림동,서울특별시 관악구 신림로23길 20-9 (신림동),근린생활2,제2종근린생활시설,1022133146,지번,1,False
1162010200115460002,서울특별시 관악구 신림동,서울특별시 관악구 호암로22길 52 (신림동),근린생활1,제1종근린생활시설,1022110817,지번,1,False
1162010200115760013,서울특별시 관악구 신림동,서울특별시 관악구 남부순환로172길 90 (신림동),근린생활2,제2종근린생활시설,1022117351,지번,1,False
1162010200114640022,서울특별시 관악구 신림동,서울특별시 관악구 남부순환로 1571 (신림동),근린생활2,제2종근린생활시설,102217077,지번,1,False
1162010100100560096,서울특별시 관악구 봉천동,서울특별시 관악구 봉천로49길 19 (봉천동),근린생활2,제2종근린생활시설,10221100201664,지번,1,False
1162010100108710077,서울특별시 관악구 봉천동,,근린생활1,제1종근린생활시설,102215663,지번,1,False
1162010200114380010,서울특별시 관악구 신림동,서울특별시 관악구 신림동5가길 10 (신림동),근린생활2,제2종근린생활시설,1022131792,지번,1,False
1162010100107020036,서울특별시 관악구 봉천동,서울특별시 관악구 보라매로 20 (봉천동),근린생활1,제1종근린생활시설,1022115122,지번,1,False
1162010200105690034,서울특별시 관악구 신림동,서울특별시 관악구 조원로12길 20 (신림동),근린생활2,제2종근린생활시설,1022113665,지번,1,False
1162010100115980015,서울특별시 관악구 봉천동,서울특별시 관악구 관악로 154-10 (봉천동),근린생활2,제2종근린생활시설,10221100218981,지번,1,False
1162010200114110024,서울특별시 관악구 신림동,서울특별시 관악구 남부순환로 1646 (신림동),근린생활1,제1종근린생활시설,1022132219,지번,1,False
1162010200100920286,서울특별시 관악구 신림동,서울특별시 관악구 신림로44가길 48 (신림동),근린생활2,제2종근린생활시설,10221100201144,지번,1,False
1162010200115600004,서울특별시 관악구 신림동,서울특별시 관악구 신림로23길 86-6 (신림동),근린생활2,단독주택,1022121076,지번,1,False
1162010200114630053,서울특별시 관악구 신림동,서울특별시 관악구 관천로10길 7 (신림동),근린생활2,제2종근린생활시설,1022134922,지번,1,False
1162010200102510079,서울특별시 관악구 신림동,서울특별시 관악구 신림로11길 85-7 (신림동),근린생활2,제2종근린생활시설,10221100201546,지번,1,False
1162010200115460004,서울특별시 관악구 신림동,서울특별시 관악구 신림로19길 46-4 (신림동),근린생활2,제2종근린생활시설,1022127425,지번,1,False
1162010200114330073,서울특별시 관악구 신림동,서울특별시 관악구 신림로65길 35 (신림동),근린생활1,제1종근린생활시설,102216175,지번,1,False
1162010100100500049,서울특별시 관악구 봉천동,,근린생활2,제2종근린생활시설,10221100270848,지번,1,False
1162010100109700032,서울특별시 관악구 봉천동,서울특별시 관악구 봉천로 251-1 (봉천동),근린생활2,제2종근린생활시설,102213069,지번,2,False
1162010200115550025,서울특별시 관악구 신림동,서울특별시 관악구 신림로23길 72 (신림동),근린생활1,제1종근린생활시설,1022130280,지번,1,False
1162010200115550031,서울특별시 관악구 신림동,서울특별시 관악구 신림로23길 76 (신림동),근린생활1,제1종근린생활시설,102213797,지번,1,False
1162010200116670033,서울특별시 관악구 신림동,서울특별시 관악구 조원중앙로1길 47 (신림동),근린생활2,제2종근린생활시설,10221100222960,지번,1,False
1162010200114330113,서울특별시 관악구 신림동,,근린생활2,제2종근린생활시설,1022115358,지번,1,False
1162010200116430004,서울특별시 관악구 신림동,서울특별시 관악구 시흥대로 576 (신림동),근린생활1,제1종근린생활시설,1022124374,지번,1,False
1162010100110000000,서울특별시 관악구 봉천동,서울특별시 관악구 관악로40길 39 (봉천동),판매시설,제1종근린생활시설,102211688,지번,26,False
1162010100110000000,서울특별시 관악구 봉천동,서울특별시 관악구 관악로 306 (봉천동),판매시설,제2종근린생활시설,10221741,지번,26,False
1162010100110000000,서울특별시 관악구 봉천동,서울특별시 관악구 관악로40길 47 (봉천동),판매시설,판매시설,10221742,지번,26,False
1162010100115960021,서울특별시 관악구 봉천동,서울특별시 관악구 관악로 126 (봉천동),근린생활2,제2종근린생활시설,1022112968,지번,1,False
