PNU,지번주소,도로명주소,용도군_tier1,대장_주용도,mgmBldrgstPk,매칭
1121510100101170011,서울특별시 광진구 중곡동,서울특별시 광진구 용마산로 11 (중곡동),근린생활2,제2종근린생활시설,100613267,지번
1121510300100570048,서울특별시 광진구 구의동,서울특별시 광진구 자양로 282 (구의동),근린생활1,제1종근린생활시설,1006110783,지번
1121510500106210018,서울특별시 광진구 자양동,서울특별시 광진구 자양로15길 59 (자양동),근린생활1,제1종근린생활시설,1006118209,지번
1121510300102460002,서울특별시 광진구 구의동,서울특별시 광진구 자양로18길 42 (구의동),근린생활1,제1종근린생활시설,1006113166,지번
1121510300102570126,서울특별시 광진구 구의동,서울특별시 광진구 자양로18길 33 (구의동),근린생활2,제2종근린생활시설,1006113763,지번
1121510300105460011,서울특별시 광진구 구의동,서울특별시 광진구 강변역로4길 10 (구의동),근린생활1,제1종근린생활시설,1006115011,지번
1121510300100330085,서울특별시 광진구 구의동,서울특별시 광진구 자양로48길 31 (구의동),근린생활2,제2종근린생활시설,1006110485,지번
1121510700100070033,서울특별시 광진구 화양동,서울특별시 광진구 동일로22길 88 (화양동),근린생활2,제2종근린생활시설,1006123163,지번
1121510300102490010,서울특별시 광진구 구의동,서울특별시 광진구 자양로28길 36 (구의동),근린생활1,제1종근린생활시설,1006113319,지번
1121510200101630004,서울특별시 광진구 능동,,근린생활2,제2종근린생활시설,100618979,지번
1121510500106020000,서울특별시 광진구 자양동,서울특별시 광진구 자양번영로6길 20 (자양동),판매시설,판매시설,1006120365,지번
1121510100102410058,서울특별시 광진구 중곡동,서울특별시 광진구 긴고랑로 45 (중곡동),근린생활2,제2종근린생활시설,100616271,지번
1121510700101110161,서울특별시 광진구 화양동,서울특별시 광진구 능동로19길 36 (화양동),근린생활2,제2종근린생활시설,1006124790,지번
1121510500100070007,서울특별시 광진구 자양동,서울특별시 광진구 아차산로 236 (자양동),근린생활2,제2종근린생활시설,1006121015,지번
1121510200102580003,서울특별시 광진구 능동,,근린생활2,제2종근린생활시설,100619781,지번
1121510300100580015,서울특별시 광진구 구의동,서울특별시 광진구 천호대로 709-3 (구의동),근린생활2,제2종근린생활시설,1006110837,지번
1121510400100220001,서울특별시 광진구 광장동,,근린생활1,자동차관련시설,10061100195206,지번
1121510400100220001,서울특별시 광진구 광장동,서울특별시 광진구 워커힐로 177 (광장동),근린생활1,숙박시설,1006115214,지번
1121510400100220001,서울특별시 광진구 광장동,서울특별시 광진구 워커힐로 177 (광장동),근린생활1,숙박시설,1006115215,지번
1121510400100220001,서울특별시 광진구 광장동,서울특별시 광진구 워커힐로 177 (광장동),근린생활1,숙박시설,1006115216,지번
1121510400100220001,서울특별시 광진구 광장동,서울특별시 광진구 워커힐로 177 (광장동),근린생활1,숙박시설,1006115217,지번
1121510400100220001,서울특별시 광진구 광장동,서울특별시 광진구 워커힐로 177 (광장동),근린생활1,제1종근린생활시설,1006115218,지번
1121510400100220001,서울특별시 광진구 광장동,서울특별시 광진구 워커힐로 177 (광장동),근린생활1,숙박시설,1006115219,지번
1121510400100220001,서울특별시 광진구 광장동,,근린생활1,숙박시설,1006115221,지번
1121510400100220001,서울특별시 광진구 광장동,서울특별시 광진구 워커힐로 177 (광장동),근린생활1,숙박시설,1006115222,지번
1121510400100220001,서울특별시 광진구 광장동,서울특별시 광진구 워커힐로 177 (광장동),근린생활1,숙박시설,1006115223,지번
1121510400100220001,서울특별시 광진구 광장동,서울특별시 광진구 워커힐로 177 (광장동),근린생활1,숙박시설,1006115224,지번
1121510400100220001,서울특별시 광진구 광장동,서울특별시 광진구 워커힐로 177 (광장동),근린생활1,숙박시설,1006115225,지번
1121510400100220001,서울특별시 광진구 광장동,서울특별시 광진구 워커힐로 177 (광장동),근린생활1,제2종근린생활시설,1006115226,지번
1121510400100220001,서울특별시 광진구 광장동,서울특별시 광진구 워커힐로 177 (광장동),근린생활1,숙박시설,1006115227,지번
1121510400100220001,서울특별시 광진구 광장동,서울특별시 광진구 워커힐로 177 (광장동),근린생활1,제2종근린생활시설,1006115228,지번
1121510400100220001,서울특별시 광진구 광장동,서울특별시 광진구 워커힐로 177 (광장동),근린생활1,숙박시설,1006115229,지번
1121510400100220001,서울특별시 광진구 광장동,서울특별시 광진구 워커힐로 177 (광장동),근린생활1,숙박시설,1006115230,지번
1121510400100220001,서울특별시 광진구 광장동,서울특별시 광진구 워커힐로 177 (광장동),근린생활1,숙박시설,1006115231,지번
1121510400100220001,서울특별시 광진구 광장동,서울특별시 광진구 워커힐로 177 (광장동),근린생활1,숙박시설,1006115232,지번
1121510400100220001,서울특별시 광진구 광장동,서울특별시 광진구 워커힐로 177 (광장동),근린생활1,숙박시설,1006115233,지번
1121510400100220001,서울특별시 광진구 광장동,서울특별시 광진구 워커힐로 177 (광장동),근린생활1,숙박시설,1006115241,지번
1121510700100500002,서울특별시 광진구 화양동,서울특별시 광진구 동일로 112 (화양동),근린생활2,제2종근린생활시설,1006124582,지번
1121510700100070035,서울특별시 광진구 화양동,서울특별시 광진구 동일로22길 92-2 (화양동),근린생활2,제2종근린생활시설,1006123165,지번
1121510500106170018,서울특별시 광진구 자양동,서울특별시 광진구 자양로13길 88 (자양동),근린생활1,제1종근린생활시설,1006118087,지번
1121510500105530329,서울특별시 광진구 자양동,서울특별시 광진구 뚝섬로 516 (자양동),근린생활1,제1종근린생활시설,1006117134,지번
1121510900103490008,서울특별시 광진구 군자동,서울특별시 광진구 동일로38길 8 (군자동),근린생활2,제2종근린생활시설,1006126620,지번
1121510700100490009,서울특별시 광진구 화양동,서울특별시 광진구 아차산로 191 (화양동),근린생활2,제1종근린생활시설,1006124572,지번
1121510700100490009,서울특별시 광진구 화양동,서울특별시 광진구 아차산로 191 (화양동),근린생활2,제2종근린생활시설,1006124573,지번
1121510500106830024,서울특별시 광진구 자양동,서울특별시 광진구 뚝섬로64길 10 (자양동),근린생활2,제2종근린생활시설,1006119583,지번
1121510300102520005,서울특별시 광진구 구의동,서울특별시 광진구 아차산로51길 33 (구의동),근린생활1,제1종근린생활시설,1006113495,지번
1121510100101500112,서울특별시 광진구 중곡동,서울특별시 광진구 용마산로 89 (중곡동),근린생활2,제2종근린생활시설,100614228,지번
1121510100101410012,서울특별시 광진구 중곡동,서울특별시 광진구 천호대로111길 41 (중곡동),근린생활1,제1종근린생활시설,100613928,지번
1121510700100480022,서울특별시 광진구 화양동,서울특별시 광진구 동일로22길 48 (화양동),근린생활2,제2종근린생활시설,1006124559,지번
1121510500100100045,서울특별시 광진구 자양동,,근린생활2,제2종근린생활시설,1006121119,지번
1121510200101630003,서울특별시 광진구 능동,,근린생활2,제2종근린생활시설,100618978,지번
1121510100101400019,서울특별시 광진구 중곡동,서울특별시 광진구 천호대로 581 (중곡동),근린생활1,제1종근린생활시설,100613912,지번
1121510500107740017,서울특별시 광진구 자양동,,근린생활1,제1종근린생활시설,1006119941,지번
1121510700100470028,서울특별시 광진구 화양동,서울특별시 광진구 아차산로27길 24-5 (화양동),근린생활2,제2종근린생활시설,10061100244530,지번
1121510700100050106,서울특별시 광진구 화양동,서울특별시 광진구 능동로 111 (화양동),근린생활2,제2종근린생활시설,1006123148,지번
1121510400101840002,서울특별시 광진구 광장동,서울특별시 광진구 아차산로78길 162 (광장동),근린생활1,제1종근린생활시설,1006115252,지번
1121510500107660002,서울특별시 광진구 자양동,,근린생활2,제2종근린생활시설,10061100236409,지번
1121510300102480088,서울특별시 광진구 구의동,서울특별시 광진구 아차산로51길 88 (구의동),근린생활1,제1종근린생활시설,1006113281,지번
1121510100100410017,서울특별시 광진구 중곡동,,근린생활1,제1종근린생활시설,100611352,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,제1종근린생활시설,1000000000000006435571,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,관광휴게시설,10061100185805,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,문화및집회시설,10061100185809,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,문화및집회시설,10061100189322,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,문화및집회시설,10061100189822,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,동물및식물관련시설,10061100191102,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,제1종근린생활시설,10061100191104,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,제1종근린생활시설,10061100191105,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,운동시설,10061100191106,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,제1종근린생활시설,10061100191483,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,제1종근린생활시설,10061100191484,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,제1종근린생활시설,10061100191485,지번
1121510200100180000,서울특별시 광진구 능동,,근린생활1,제1종근린생활시설,10061100191486,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,제1종근린생활시설,10061100191512,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,문화및집회시설,10061100191513,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,문화및집회시설,10061100191514,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,문화및집회시설,10061100191515,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,문화및집회시설,10061100191516,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,문화및집회시설,10061100191517,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,문화및집회시설,10061100191518,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,문화및집회시설,10061100191563,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,관광휴게시설,10061100191825,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,관광휴게시설,10061100191826,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,운동시설,10061100191828,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,제1종근린생활시설,10061100193425,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,노유자시설,10061100203961,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,제1종근린생활시설,10061100211561,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,제1종근린생활시설,10061100211562,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,제1종근린생활시설,10061100211563,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,창고시설,100618894,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,문화및집회시설,100618895,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,문화및집회시설,100618896,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,문화및집회시설,100618897,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,관광휴게시설,100618898,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,문화및집회시설,100618899,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 천호대로 662 (능동),근린생활1,제1종근린생활시설,100618900,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 천호대로 660 (능동),근린생활1,제1종근린생활시설,100618901,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,창고시설,100618902,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,문화및집회시설,100618903,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,문화및집회시설,100618904,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,교육연구시설,100618905,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,관광휴게시설,100618906,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,제1종근린생활시설,100618911,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,관광휴게시설,100618912,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 216 (능동),근린생활1,제2종근린생활시설,100618913,지번
1121510200100180000,서울특별시 광진구 능동,서울특별시 광진구 능동로 238 (능동),근린생활1,문화및집회시설,100618914,지번
