PNU,지번주소,도로명주소,용도군_tier1,대장_주용도,mgmBldrgstPk,매칭
1135010200105440000,서울특별시 노원구 월계동,서울특별시 노원구 월계로 280 (월계동),근린생활1,제1종근린생활시설,1000000000000006323457,지번
1135010300106450018,서울특별시 노원구 공릉동,서울특별시 노원구 공릉로26길 32 (공릉동),근린생활2,제2종근린생활시설,10121100222608,지번
1135010400102510014,서울특별시 노원구 하계동,서울특별시 노원구 한글비석로1길 8 (하계동),근린생활1,업무시설,1000000000000001260844,지번
1135010400102510014,서울특별시 노원구 하계동,서울특별시 노원구 한글비석로1길 8 (하계동),근린생활1,공공용시설,101215326,지번
1135010400102510014,서울특별시 노원구 하계동,서울특별시 노원구 한글비석로1길 8 (하계동),근린생활1,제1종근린생활시설,101215327,지번
1135010500107100002,서울특별시 노원구 상계동,서울특별시 노원구 노해로77길 14-7 (상계동),근린생활2,제2종근린생활시설,101217827,지번
1135010500103580031,서울특별시 노원구 상계동,서울특별시 노원구 상계로3길 28 (상계동),근린생활1,제1종근린생활시설,101218026,지번
1135010300103380043,서울특별시 노원구 공릉동,서울특별시 노원구 공릉로35길 18 (공릉동),근린생활2,제2종근린생활시설,1012112149,지번
1135010500104560130,서울특별시 노원구 상계동,서울특별시 노원구 한글비석로52길 14 (상계동),근린생활1,제1종근린생활시설,1012113182,지번
1135010400100640009,서울특별시 노원구 하계동,서울특별시 노원구 공릉로58길 148 (하계동),근린생활2,제2종근린생활시설,1012112153,지번
1135010200103830004,서울특별시 노원구 월계동,서울특별시 노원구 광운로 64 (월계동),근린생활1,제1종근린생활시설,101217541,지번
1135010200104140002,서울특별시 노원구 월계동,서울특별시 노원구 석계로 98-1 (월계동),근린생활2,제2종근린생활시설,101217908,지번
1135010400102840000,서울특별시 노원구 하계동,서울특별시 노원구 한글비석로 57 (하계동),근린생활,근린생활시설,1012113910,지번
1135010400102840000,서울특별시 노원구 하계동,서울특별시 노원구 공릉로 351 (하계동),근린생활,공동주택,101212358,지번
1135010400102840000,서울특별시 노원구 하계동,서울특별시 노원구 공릉로 351 (하계동),근린생활,공동주택,101212359,지번
1135010400102840000,서울특별시 노원구 하계동,서울특별시 노원구 공릉로 351 (하계동),근린생활,공동주택,101212360,지번
1135010400102840000,서울특별시 노원구 하계동,서울특별시 노원구 공릉로 351 (하계동),근린생활,공동주택,101212361,지번
1135010400102840000,서울특별시 노원구 하계동,서울특별시 노원구 공릉로 351 (하계동),근린생활,공동주택,101212362,지번
1135010400102840000,서울특별시 노원구 하계동,서울특별시 노원구 공릉로 351 (하계동),근린생활,공동주택,101212363,지번
1135010400102840000,서울특별시 노원구 하계동,서울특별시 노원구 공릉로 351 (하계동),근린생활,공동주택,101212364,지번
1135010400102840000,서울특별시 노원구 하계동,서울특별시 노원구 공릉로 351 (하계동),근린생활,공동주택,101212365,지번
1135010400102840000,서울특별시 노원구 하계동,서울특별시 노원구 공릉로 351 (하계동),근린생활,공동주택,101212366,지번
1135010400102840000,서울특별시 노원구 하계동,서울특별시 노원구 공릉로 351 (하계동),근린생활,공동주택,101212367,지번
1135010300106840028,서울특별시 노원구 공릉동,서울특별시 노원구 동일로173길 37 (공릉동),근린생활2,제2종근린생활시설,10121100193878,지번
1135010300104110005,서울특별시 노원구 공릉동,서울특별시 노원구 공릉로 165 (공릉동),근린생활1,제2종근린생활시설,1012114399,지번
1135010300104110005,서울특별시 노원구 공릉동,서울특별시 노원구 공릉로 167 (공릉동),근린생활1,제1종근린생활시설,101216636,지번
1135010600103600013,서울특별시 노원구 중계동,서울특별시 노원구 한글비석로 231 (중계동),근린생활,근린생활시설,1012114213,지번
1135010500111200088,서울특별시 노원구 상계동,서울특별시 노원구 동일로242길 39 (상계동),근린생활2,제2종근린생활시설,10121100206031,지번
1135010400102080023,서울특별시 노원구 하계동,서울특별시 노원구 공릉로70길 8-3 (하계동),근린생활2,제2종근린생활시설,1012113881,지번
1135010600101540029,서울특별시 노원구 중계동,서울특별시 노원구 한글비석로20길 18 (중계동),근린생활2,제2종근린생활시설,1012112294,지번
1135010200100550007,서울특별시 노원구 월계동,서울특별시 노원구 석계로3길 21 (월계동),근린생활1,제1종근린생활시설,101217031,지번
1135010500103320008,서울특별시 노원구 상계동,서울특별시 노원구 노해로81길 12-21 (상계동),근린생활2,제2종근린생활시설,10121100196711,지번
1135010500109630008,서울특별시 노원구 상계동,서울특별시 노원구 수락산로 218-2 (상계동),근린생활2,제2종근린생활시설,10121100212952,지번
1135010600105110002,서울특별시 노원구 중계동,서울특별시 노원구 노원로19길 33 (중계동),근린생활1,제1종근린생활시설,101213712,지번
1135010600105110002,서울특별시 노원구 중계동,서울특별시 노원구 노원로19길 31 (중계동),근린생활1,노유자시설,101213715,지번
1135010600105110002,서울특별시 노원구 중계동,서울특별시 노원구 노원로19길 31 (중계동),근린생활1,공동주택,101213717,지번
1135010600105110002,서울특별시 노원구 중계동,서울특별시 노원구 노원로19길 31 (중계동),근린생활1,공동주택,101213718,지번
1135010600105110002,서울특별시 노원구 중계동,서울특별시 노원구 노원로19길 31 (중계동),근린생활1,공동주택,101213719,지번
1135010600105110002,서울특별시 노원구 중계동,서울특별시 노원구 노원로19길 31 (중계동),근린생활1,공동주택,101213720,지번
1135010600105110002,서울특별시 노원구 중계동,서울특별시 노원구 노원로19길 31 (중계동),근린생활1,공동주택,101213721,지번
1135010600105110002,서울특별시 노원구 중계동,서울특별시 노원구 노원로19길 31 (중계동),근린생활1,공동주택,101213722,지번
1135010600105110002,서울특별시 노원구 중계동,서울특별시 노원구 노원로19길 31 (중계동),근린생활1,공동주택,101213723,지번
1135010600105110002,서울특별시 노원구 중계동,서울특별시 노원구 노원로19길 31 (중계동),근린생활1,공동주택,101213724,지번
1135010600105110002,서울특별시 노원구 중계동,서울특별시 노원구 노원로19길 31 (중계동),근린생활1,공동주택,101213725,지번
1135010600105110002,서울특별시 노원구 중계동,서울특별시 노원구 노원로19길 31 (중계동),근린생활1,공동주택,101213726,지번
1135010600105110002,서울특별시 노원구 중계동,서울특별시 노원구 노원로19길 31 (중계동),근린생활1,공동주택,101213727,지번
1135010600105110002,서울특별시 노원구 중계동,서울특별시 노원구 노원로19길 31 (중계동),근린생활1,공동주택,101213728,지번
1135010600105110002,서울특별시 노원구 중계동,서울특별시 노원구 노원로19길 31 (중계동),근린생활1,공동주택,101213729,지번
1135010600105110002,서울특별시 노원구 중계동,서울특별시 노원구 노원로19길 31 (중계동),근린생활1,공동주택,101213730,지번
1135010600105110002,서울특별시 노원구 중계동,서울특별시 노원구 노원로19길 23 (중계동),근린생활1,판매시설,101213731,지번
1135010500111410017,서울특별시 노원구 상계동,서울특별시 노원구 동일로243길 42 (상계동),근린생활1,제1종근린생활시설,101216917,지번
1135010200103830021,서울특별시 노원구 월계동,서울특별시 노원구 광운로 61 (월계동),근린생활1,제1종근린생활시설,1012115290,지번
1135010600101420010,서울특별시 노원구 중계동,서울특별시 노원구 덕릉로87길 5 (중계동),근린생활2,제2종근린생활시설,10121100188915,지번
1135010400101700005,서울특별시 노원구 하계동,서울특별시 노원구 공릉로62가길 11 (하계동),근린생활2,제2종근린생활시설,101216070,지번
1135010300102380048,서울특별시 노원구 공릉동,서울특별시 노원구 공릉로 146 (공릉동),근린생활1,제1종근린생활시설,101219778,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213177,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213178,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213179,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,노유자시설,101213193,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로1가길 121 (월계동),근린생활1,노유자시설,101213194,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,제1종근린생활시설,101213196,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,제1종근린생활시설,101213197,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213207,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213208,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213209,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213210,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213211,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213212,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213213,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213214,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213215,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213216,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213217,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213218,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213219,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213220,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213221,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213222,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213223,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213224,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213225,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213226,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213227,지번
1135010200100180000,서울특별시 노원구 월계동,서울특별시 노원구 마들로 31 (월계동),근린생활1,공동주택,101213228,지번
1135010600101540032,서울특별시 노원구 중계동,서울특별시 노원구 한글비석로20길 10 (중계동),근린생활2,제2종근린생활시설,101219285,지번
