PNU,지번주소,도로명주소,용도군_tier1,대장_주용도,mgmBldrgstPk,매칭
1159010200100220113,서울특별시 동작구 상도동,서울특별시 동작구 상도로 247 (상도동),근린생활1,제1종근린생활시설,10211100235737,지번
1159010700101390066,서울특별시 동작구 사당동,서울특별시 동작구 동작대로27길 9 (사당동),근린생활2,제2종근린생활시설,102118927,지번
1159010500101810018,서울특별시 동작구 흑석동,서울특별시 동작구 흑석로 109 (흑석동),근린생활2,제2종근린생활시설,1021119305,지번
1159010800103870024,서울특별시 동작구 대방동,서울특별시 동작구 대방동15길 22 (대방동),근린생활2,제2종근린생활시설,1021122411,지번
1159010200103700002,서울특별시 동작구 상도동,서울특별시 동작구 상도로 181 (상도동),근린생활1,제1종근린생활시설,102118395,지번
1159010200102350037,서울특별시 동작구 상도동,서울특별시 동작구 성대로29길 1 (상도동),근린생활1,제1종근린생활시설,1021118128,지번
1159010200100270012,서울특별시 동작구 상도동,서울특별시 동작구 상도로 214 (상도동),근린생활2,제2종근린생활시설,1021110914,지번
1159010200101290006,서울특별시 동작구 상도동,서울특별시 동작구 상도로 400 (상도동),근린생활2,제2종근린생활시설,1021110010,지번
1159010200100260036,서울특별시 동작구 상도동,서울특별시 동작구 상도로 210 (상도동),근린생활1,제1종근린생활시설,1021113134,지번
1159010200102560043,서울특별시 동작구 상도동,서울특별시 동작구 성대로 46 (상도동),근린생활1,제1종근린생활시설,1021118390,지번
1159010200100260011,서울특별시 동작구 상도동,서울특별시 동작구 상도로 219 (상도동),근린생활2,제2종근린생활시설,1021119898,지번
1159010200100270027,서울특별시 동작구 상도동,서울특별시 동작구 상도로 222 (상도동),근린생활1,제1종근린생활시설,1021124785,지번
1159010200102560042,서울특별시 동작구 상도동,서울특별시 동작구 성대로 42 (상도동),근린생활1,제1종근린생활시설,1021127198,지번
1159010800103850012,서울특별시 동작구 대방동,서울특별시 동작구 여의대방로36길 5 (대방동),근린생활2,제2종근린생활시설,1021114225,지번
1159010900103470031,서울특별시 동작구 신대방동,서울특별시 동작구 여의대방로24길 140 (신대방동),근린생활1,제1종근린생활시설,102119854,지번
1159010500101840005,서울특별시 동작구 흑석동,서울특별시 동작구 흑석로 107 (흑석동),근린생활2,제2종근린생활시설,102111421,지번
1159010300106560000,서울특별시 동작구 상도1동,서울특별시 동작구 상도로41가길 22 (상도1동),근린생활1,단독주택,102111912,지번
1159010300106560000,서울특별시 동작구 상도1동,서울특별시 동작구 상도로41가길 22 (상도1동),근린생활1,제1종근린생활시설,102111913,지번
1159010200103270015,서울특별시 동작구 상도동,서울특별시 동작구 상도로 89 (상도동),근린생활1,제1종근린생활시설,1021115884,지번
1159010700103170001,서울특별시 동작구 사당동,서울특별시 동작구 사당로16길 21 (사당동),근린생활2,제2종근린생활시설,1021113856,지번
1159010200102090023,서울특별시 동작구 상도동,서울특별시 동작구 양녕로25길 2 (상도동),근린생활2,제2종근린생활시설,1021123632,지번
1159010200104670002,서울특별시 동작구 상도동,서울특별시 동작구 상도로37길 62 (상도동),근린생활2,제2종근린생활시설,10211100188151,지번
1159010900103470013,서울특별시 동작구 신대방동,서울특별시 동작구 보라매로 106 (신대방동),근린생활2,제2종근린생활시설,102119267,지번
1159010800104050011,서울특별시 동작구 대방동,서울특별시 동작구 보라매로 113 (대방동),근린생활2,제2종근린생활시설,1021131100,지번
1159010700110200040,서울특별시 동작구 사당동,서울특별시 동작구 사당로30길 90 (사당동),근린생활2,제2종근린생활시설,1021114229,지번
1159010700101410189,서울특별시 동작구 사당동,서울특별시 동작구 사당로29가길 39 (사당동),근린생활2,제2종근린생활시설,1021111692,지번
1159010700103230003,서울특별시 동작구 사당동,서울특별시 동작구 사당로 245 (사당동),근린생활2,제2종근린생활시설,1021114420,지번
1159010200104450000,서울특별시 동작구 상도동,서울특별시 동작구 양녕로23길 9 (상도동),근린생활1,제1종근린생활시설,102111123,지번
1159010200104450000,서울특별시 동작구 상도동,서울특별시 동작구 양녕로23길 9 (상도동),근린생활1,공동주택,102111124,지번
1159010200104450000,서울특별시 동작구 상도동,서울특별시 동작구 양녕로23길 9 (상도동),근린생활1,공동주택,102111125,지번
1159010100101510028,서울특별시 동작구 노량진동,서울특별시 동작구 노량진로 171-2 (노량진동),근린생활2,제2종근린생활시설,1021126692,지번
1159010800103850014,서울특별시 동작구 대방동,서울특별시 동작구 여의대방로 196 (대방동),근린생활1,제1종근린생활시설,1021122725,지번
1159010700102130009,서울특별시 동작구 사당동,서울특별시 동작구 사당로 170 (사당동),근린생활2,제2종근린생활시설,1021115854,지번
1159010700101440005,서울특별시 동작구 사당동,서울특별시 동작구 사당로 301 (사당동),근린생활1,제1종근린생활시설,1021117445,지번
1159010700110510035,서울특별시 동작구 사당동,서울특별시 동작구 남부순환로259길 21 (사당동),근린생활2,제2종근린생활시설,10211100196092,지번
1159010700110310028,서울특별시 동작구 사당동,서울특별시 동작구 동작대로 25 (사당동),근린생활1,제1종근린생활시설,102116791,지번
1159010800103960006,서울특별시 동작구 대방동,서울특별시 동작구 대방동1길 21 (대방동),근린생활2,제2종근린생활시설,10211100197032,지번
1159010900106900001,서울특별시 동작구 신대방동,서울특별시 동작구 대림로 44 (신대방동),근린생활1,제1종근린생활시설,1021121317,지번
1159010100102440054,서울특별시 동작구 노량진동,서울특별시 동작구 노량진로12길 27-12 (노량진동),근린생활2,제2종근린생활시설,1021112037,지번
1159010100101000001,서울특별시 동작구 노량진동,서울특별시 동작구 노량진로 158 (노량진동),근린생활2,제2종근린생활시설,1021118084,지번
1159010200102040017,서울특별시 동작구 상도동,서울특별시 동작구 장승배기로 35 (상도동),근린생활2,제2종근린생활시설,1021121042,지번
1159010100100750002,서울특별시 동작구 노량진동,서울특별시 동작구 노량진로 154-1 (노량진동),근린생활2,제2종근린생활시설,1021127422,지번
1159010700102240026,서울특별시 동작구 사당동,서울특별시 동작구 솔밭로 106 (사당동),근린생활2,제2종근린생활시설,1021127841,지번
1159010200103200013,서울특별시 동작구 상도동,서울특별시 동작구 상도로 87 (상도동),근린생활2,제2종근린생활시설,1021121007,지번
1159010900103610048,서울특별시 동작구 신대방동,서울특별시 동작구 여의대방로22길 74 (신대방동),근린생활1,제1종근린생활시설,1021122011,지번
1159010200103680050,서울특별시 동작구 상도동,서울특별시 동작구 장승배기로 76 (상도동),근린생활1,제1종근린생활시설,1021127094,지번
