PNU,지번주소,도로명주소,용도군_tier1,대장_주용도,mgmBldrgstPk,매칭
1144012200103860039,서울특별시 마포구 합정동,서울특별시 마포구 양화로3길 37 (합정동),근린생활2,제2종근린생활시설,1015123414,지번
1144012200103630015,서울특별시 마포구 합정동,서울특별시 마포구 독막로 28 (합정동),근린생활2,제2종근린생활시설,1015122940,지번
1144012000103280075,서울특별시 마포구 서교동,서울특별시 마포구 와우산로33길 27 (서교동),근린생활1,제1종근린생활시설,1015118992,지번
1144012200103750006,서울특별시 마포구 합정동,서울특별시 마포구 양화진길 21 (합정동),근린생활2,제2종근린생활시설,1015123165,지번
1144012100101130022,서울특별시 마포구 동교동,서울특별시 마포구 연희로1길 40-3 (동교동),근린생활2,제2종근린생활시설,1015121703,지번
1144012300104140020,서울특별시 마포구 망원동,서울특별시 마포구 포은로8길 28 (망원동),근린생활1,제1종근린생활시설,1015125717,지번
1144011100103400001,서울특별시 마포구 신수동,서울특별시 마포구 독막로 180-2 (신수동),근린생활2,제2종근린생활시설,10151100286203,지번
1144012100101770007,서울특별시 마포구 동교동,,근린생활1,제1종근린생활시설,1015122129,지번
1144012100101690011,서울특별시 마포구 동교동,서울특별시 마포구 어울마당로 137 (동교동),근린생활2,제2종근린생활시설,1015122046,지번
1144012100101490004,서울특별시 마포구 동교동,서울특별시 마포구 동교로30길 9 (동교동),근린생활2,제2종근린생활시설,1015121804,지번
1144011400102000001,서울특별시 마포구 창전동,서울특별시 마포구 독막로22길 1-18 (창전동),근린생활2,제2종근린생활시설,1015117278,지번
1144012300103760008,서울특별시 마포구 망원동,서울특별시 마포구 월드컵로13길 14 (망원동),근린생활2,제2종근린생활시설,1015125030,지번
1144010800104320000,서울특별시 마포구 대흥동,서울특별시 마포구 독막로 267 (대흥동),근린생활2,제2종근린생활시설,1015111930,지번
1144012500100560001,서울특별시 마포구 성산동,서울특별시 마포구 월드컵북로 137 (성산동),근린생활1,제1종근린생활시설,1015130175,지번
