PNU,지번주소,도로명주소,용도군_tier1,대장_주용도,mgmBldrgstPk,매칭,원후보수,다중후보_미해결
1141011000102210007,서울특별시 서대문구 북아현동,서울특별시 서대문구 신촌로 231 (북아현동),근린생활2,제2종근린생활시설,101416557,지번,1,False
1141011600100310052,서울특별시 서대문구 창천동,서울특별시 서대문구 연세로5길 4 (창천동),근린생활2,제2종근린생활시설,1014112303,지번,1,False
1141011600100050048,서울특별시 서대문구 창천동,서울특별시 서대문구 명물길 42 (창천동),근린생활1,제1종근린생활시설,1014112000,지번,1,False
1141011700100760022,서울특별시 서대문구 연희동,서울특별시 서대문구 연희로 192 (연희동),근린생활2,제2종근린생활시설,1014117150,지번,1,False
1141011900100050060,서울특별시 서대문구 북가좌동,서울특별시 서대문구 증가로20나길 2 (북가좌동),근린생활2,제2종근린생활시설,1014122692,지번,1,False
1141011200100400021,서울특별시 서대문구 대현동,서울특별시 서대문구 신촌로 173-1 (대현동),근린생활1,제1종근린생활시설,1014110796,지번,1,False
1141011900103070006,서울특별시 서대문구 북가좌동,서울특별시 서대문구 응암로 57 (북가좌동),근린생활2,제2종근린생활시설,1014124476,지번,1,False
1141011100100090081,서울특별시 서대문구 홍제동,,근린생활2,제2종근린생활시설,1014110601,지번,1,False
1141011700104210036,서울특별시 서대문구 연희동,서울특별시 서대문구 성산로13길 50 (연희동),근린생활1,제1종근린생활시설,1014116077,지번,1,False
1141011200101040058,서울특별시 서대문구 대현동,서울특별시 서대문구 신촌로 139-1 (대현동),근린생활2,제2종근린생활시설,1014111189,지번,1,False
1141011700101090014,서울특별시 서대문구 연희동,서울특별시 서대문구 연희로15길 93 (연희동),근린생활1,제1종근린생활시설,1014114208,지번,1,False
1141011600100720014,서울특별시 서대문구 창천동,서울특별시 서대문구 신촌로 73 (창천동),근린생활1,제1종근린생활시설,1014112740,지번,1,False
1141011600100310014,서울특별시 서대문구 창천동,서울특별시 서대문구 연세로 32-1 (창천동),근린생활1,제1종근린생활시설,1014112286,지번,1,False
1141011100104490001,서울특별시 서대문구 홍제동,서울특별시 서대문구 통일로39길 114 (홍제동),근린생활1,제1종근린생활시설,101419818,지번,1,False
1141011700104460304,서울특별시 서대문구 연희동,서울특별시 서대문구 성산로 263 (연희동),근린생활2,제2종근린생활시설,10141100194191,지번,1,False
1141011800103970004,서울특별시 서대문구 홍은동,서울특별시 서대문구 가좌로 98 (홍은동),근린생활2,제2종근린생활시설,1014120786,지번,1,False
1141011900103430010,서울특별시 서대문구 북가좌동,서울특별시 서대문구 불광천길 204-1 (북가좌동),근린생활1,제1종근린생활시설,10141100209201,지번,2,False
1141012000101910023,서울특별시 서대문구 남가좌동,서울특별시 서대문구 모래내로15길 58 (남가좌동),근린생활1,제1종근린생활시설,1014128463,지번,1,False
1141011700101920040,서울특별시 서대문구 연희동,서울특별시 서대문구 성산로 337 (연희동),근린생활1,제1종근린생활시설,1014115311,지번,1,False
1141011800103560039,서울특별시 서대문구 홍은동,서울특별시 서대문구 가좌로 120 (홍은동),근린생활1,제1종근린생활시설,1014120659,지번,1,False
1141011900104870000,서울특별시 서대문구 북가좌동,서울특별시 서대문구 수색로 56 (북가좌동),근린생활1,제1종근린생활시설,10141100208240,지번,1,False
1141011800103660013,서울특별시 서대문구 홍은동,서울특별시 서대문구 가좌로 118-6 (홍은동),근린생활2,제2종근린생활시설,1014120694,지번,1,False
1141011000101300001,서울특별시 서대문구 북아현동,서울특별시 서대문구 북아현로4길 8 (북아현동),근린생활1,제1종근린생활시설,101414410,지번,1,False
1141011900103300019,서울특별시 서대문구 북가좌동,서울특별시 서대문구 증가로 248 (북가좌동),근린생활2,제2종근린생활시설,1014124872,지번,1,False
1141011900100050179,서울특별시 서대문구 북가좌동,서울특별시 서대문구 증가로20길 27 (북가좌동),근린생활2,제2종근린생활시설,10141100184924,지번,1,False
1141011200100270033,서울특별시 서대문구 대현동,서울특별시 서대문구 신촌역로 22-8 (대현동),근린생활2,제2종근린생활시설,1014110665,지번,1,False
1141011900103260006,서울특별시 서대문구 북가좌동,서울특별시 서대문구 응암로 89 (북가좌동),근린생활1,제1종근린생활시설,1014124791,지번,1,False
1141011200100110001,서울특별시 서대문구 대현동,서울특별시 서대문구 이화여대길 52 (대현동),근린생활1,제1종근린생활시설,1014110634,지번,63,False
1141011200100370038,서울특별시 서대문구 대현동,서울특별시 서대문구 이화여대길 79 (대현동),근린생활2,제2종근린생활시설,1014110760,지번,1,False
1141010600100040000,서울특별시 서대문구 천연동,서울특별시 서대문구 통일로 173-4 (천연동),근린생활2,제2종근린생활시설,101411883,지번,1,False
