PNU,지번주소,도로명주소,용도군_tier1,대장_주용도,mgmBldrgstPk,매칭
1165010800115850011,서울특별시 서초구 서초동,서울특별시 서초구 반포대로12길 6 (서초동),근린생활2,제2종근린생활시설,10231100190110,지번
1165010100109080008,서울특별시 서초구 방배동,서울특별시 서초구 방배로 88 (방배동),근린생활1,제1종근린생활시설,102314060,지번
1165010200103320005,서울특별시 서초구 양재동,서울특별시 서초구 강남대로8길 39-3 (양재동),근린생활2,제2종근린생활시설,102319401,지번
1165010100104510022,서울특별시 서초구 방배동,서울특별시 서초구 방배천로2안길 37 (방배동),근린생활2,제2종근린생활시설,102311120,지번
1165010800115650008,서울특별시 서초구 서초동,서울특별시 서초구 서초대로50길 94 (서초동),근린생활2,제2종근린생활시설,1023115810,지번
1165010100108140002,서울특별시 서초구 방배동,서울특별시 서초구 서초대로19길 114 (방배동),근린생활1,제1종근린생활시설,102312701,지번
1165010700107240023,서울특별시 서초구 반포동,서울특별시 서초구 사평대로55길 82-7 (반포동),근린생활2,제2종근린생활시설,1023112918,지번
1165010800113630006,서울특별시 서초구 서초동,서울특별시 서초구 강남대로37길 26 (서초동),근린생활2,제2종근린생활시설,10231100255614,지번
1165010200100200026,서울특별시 서초구 양재동,서울특별시 서초구 바우뫼로35길 9 (양재동),근린생활2,제2종근린생활시설,102318227,지번
1165010200103280010,서울특별시 서초구 양재동,서울특별시 서초구 강남대로10길 12 (양재동),근린생활2,제2종근린생활시설,102319380,지번
1165010200103650000,서울특별시 서초구 양재동,서울특별시 서초구 강남대로6길 108-4 (양재동),근린생활2,제2종근린생활시설,102319676,지번
1165010100104440015,서울특별시 서초구 방배동,서울특별시 서초구 동작대로 20 (방배동),근린생활1,제1종근린생활시설,102311036,지번
1165010100108680020,서울특별시 서초구 방배동,,근린생활2,제2종근린생활시설,102313552,지번
1165010200100120003,서울특별시 서초구 양재동,서울특별시 서초구 남부순환로350길 4 (양재동),근린생활1,제1종근린생활시설,102318100,지번
1165010200103170000,서울특별시 서초구 양재동,서울특별시 서초구 강남대로12길 23-15 (양재동),근린생활1,제1종근린생활시설,102319306,지번
1165010700100550009,서울특별시 서초구 반포동,서울특별시 서초구 고무래로8길 6 (반포동),근린생활1,제1종근린생활시설,1023112120,지번
1165010800116250012,서울특별시 서초구 서초동,서울특별시 서초구 사임당로8길 9 (서초동),근린생활2,제2종근린생활시설,1023116442,지번
1165010800116380011,서울특별시 서초구 서초동,서울특별시 서초구 서초중앙로22길 105 (서초동),근린생활2,제2종근린생활시설,1023116581,지번
1165010200102890006,서울특별시 서초구 양재동,서울특별시 서초구 논현로 31 (양재동),근린생활2,제2종근린생활시설,102319143,지번
1165010100108280004,서울특별시 서초구 방배동,서울특별시 서초구 방배천로30길 6 (방배동),근린생활2,제2종근린생활시설,102312945,지번
1165010100109080007,서울특별시 서초구 방배동,서울특별시 서초구 방배로 90 (방배동),근린생활2,제2종근린생활시설,10231100214093,지번
1165010600100630034,서울특별시 서초구 잠원동,서울특별시 서초구 신반포로33길 62 (잠원동),근린생활2,제2종근린생활시설,1023111925,지번
1165010600100630034,서울특별시 서초구 잠원동,서울특별시 서초구 신반포로33길 64 (잠원동),근린생활2,공동주택,1023111926,지번
