PNU,지번주소,도로명주소,용도군_tier1,대장_주용도,mgmBldrgstPk,매칭
1120011500102750096,서울특별시 성동구 성수동2가,서울특별시 성동구 연무장19길 6 (성수동2가),근린생활2,제2종근린생활시설,1005120514,지번
1120011400100720043,서울특별시 성동구 성수동1가,서울특별시 성동구 성덕정5길 14 (성수동1가),근린생활1,제1종근린생활시설,1005117736,지번
1120011400106680077,서울특별시 성동구 성수동1가,서울특별시 성동구 서울숲4길 16-9 (성수동1가),근린생활2,제2종근린생활시설,1005119185,지번
1120011500102720004,서울특별시 성동구 성수동2가,서울특별시 성동구 연무장길 93 (성수동2가),근린생활2,제2종근린생활시설,1005120361,지번
1120011500103150052,서울특별시 성동구 성수동2가,서울특별시 성동구 연무장7가길 2 (성수동2가),근린생활2,제2종근린생활시설,1005121516,지번
1120011500103210094,서울특별시 성동구 성수동2가,서울특별시 성동구 성수일로4길 48-5 (성수동2가),근린생활1,제1종근린생활시설,1005121729,지번
1120010600101760005,서울특별시 성동구 사근동,서울특별시 성동구 사근동8길 8 (사근동),근린생활1,제1종근린생활시설,100517627,지번
1120011500103310126,서울특별시 성동구 성수동2가,서울특별시 성동구 뚝섬로 411 (성수동2가),근린생활2,제2종근린생활시설,1005121913,지번
1120011400106561768,서울특별시 성동구 성수동1가,서울특별시 성동구 왕십리로14길 9-1 (성수동1가),근린생활2,제2종근린생활시설,1005119071,지번
1120011500102990146,서울특별시 성동구 성수동2가,서울특별시 성동구 광나루로4길 16-1 (성수동2가),근린생활2,제2종근린생활시설,1005121159,지번
1120011400100160002,서울특별시 성동구 성수동1가,서울특별시 성동구 상원2길 6 (성수동1가),근린생활2,제2종근린생활시설,1005117543,지번
1120010700100040013,서울특별시 성동구 행당동,서울특별시 성동구 마조로5길 14 (행당동),근린생활2,제2종근린생활시설,100518406,지번
1120011500103100057,서울특별시 성동구 성수동2가,서울특별시 성동구 연무장길 32 (성수동2가),근린생활1,제1종근린생활시설,1005121447,지번
1120011500103210049,서울특별시 성동구 성수동2가,서울특별시 성동구 성수이로7가길 19-7 (성수동2가),근린생활1,제1종근린생활시설,1005121695,지번
1120012200102330009,서울특별시 성동구 용답동,서울특별시 성동구 자동차시장1길 67 (용답동),근린생활1,제1종근린생활시설,1005126085,지번
1120010700103000014,서울특별시 성동구 행당동,서울특별시 성동구 왕십리로21길 46 (행당동),근린생활1,제1종근린생활시설,100519796,지번
1120010700100220005,서울특별시 성동구 행당동,서울특별시 성동구 마조로 14 (행당동),근린생활2,제2종근린생활시설,1005110316,지번
1120011400100130204,서울특별시 성동구 성수동1가,서울특별시 성동구 성수일로11길 10-1 (성수동1가),근린생활1,제1종근린생활시설,1005117363,지번
1120010500105060014,서울특별시 성동구 마장동,서울특별시 성동구 고산자로26길 15 (마장동),근린생활1,제1종근린생활시설,100516530,지번
1120010200108870005,서울특별시 성동구 하왕십리동,서울특별시 성동구 왕십리로 391 (하왕십리동),근린생활1,제1종근린생활시설,100513201,지번
1120011500102890076,서울특별시 성동구 성수동2가,서울특별시 성동구 아차산로7길 15 (성수동2가),근린생활1,제1종근린생활시설,1005120886,지번
1120010500108250000,서울특별시 성동구 마장동,서울특별시 성동구 마장로37길 7 (마장동),근린생활1,공동주택,100517525,지번
1120010500108250000,서울특별시 성동구 마장동,서울특별시 성동구 마장로37길 7 (마장동),근린생활1,공동주택,100517526,지번
1120010500108250000,서울특별시 성동구 마장동,서울특별시 성동구 마장로37길 7 (마장동),근린생활1,공동주택,100517527,지번
1120010500108250000,서울특별시 성동구 마장동,서울특별시 성동구 마장로37길 7 (마장동),근린생활1,공동주택,100517528,지번
1120010500108250000,서울특별시 성동구 마장동,서울특별시 성동구 마장로37길 7 (마장동),근린생활1,제1종근린생활시설,100517532,지번
1120011400106680050,서울특별시 성동구 성수동1가,서울특별시 성동구 서울숲2길 43 (성수동1가),근린생활2,제2종근린생활시설,1005119157,지번
1120011400100140032,서울특별시 성동구 성수동1가,서울특별시 성동구 상원4길 6-1 (성수동1가),근린생활2,제2종근린생활시설,10051100193032,지번
1120011800100730778,서울특별시 성동구 송정동,서울특별시 성동구 송정12가길 10 (송정동),근린생활2,제2종근린생활시설,1005123791,지번
1120011400106560895,서울특별시 성동구 성수동1가,서울특별시 성동구 왕십리로14길 32-3 (성수동1가),근린생활2,제2종근린생활시설,1005118846,지번
1120011500103280038,서울특별시 성동구 성수동2가,서울특별시 성동구 뚝섬로11길 13 (성수동2가),근린생활1,제1종근린생활시설,1005121806,지번
1120011500103010060,서울특별시 성동구 성수동2가,서울특별시 성동구 연무장길 5-10 (성수동2가),근린생활1,제1종근린생활시설,1005121341,지번
1120011500103160059,서울특별시 성동구 성수동2가,서울특별시 성동구 연무장길 33 (성수동2가),근린생활2,제2종근린생활시설,1005121591,지번
1120010400103110025,서울특별시 성동구 도선동,서울특별시 성동구 무학로2길 23 (도선동),근린생활2,제2종근린생활시설,10051100180655,지번
1120011400100130160,서울특별시 성동구 성수동1가,서울특별시 성동구 상원6나길 22-20 (성수동1가),근린생활2,제2종근린생활시설,1005117333,지번
1120011400100130443,서울특별시 성동구 성수동1가,서울특별시 성동구 상원길 60 (성수동1가),근린생활2,제2종근린생활시설,1005117481,지번
1120010500107970015,서울특별시 성동구 마장동,서울특별시 성동구 마조로19길 25 (마장동),근린생활2,제2종근린생활시설,100517290,지번
1120011400106560565,서울특별시 성동구 성수동1가,서울특별시 성동구 왕십리로 100 (성수동1가),근린생활1,제1종근린생활시설,1005118726,지번
1120010800102280020,서울특별시 성동구 응봉동,서울특별시 성동구 고산자로 130 (응봉동),근린생활2,제2종근린생활시설,1005111010,지번
1120011500105320038,서울특별시 성동구 성수동2가,서울특별시 성동구 성덕정길 92 (성수동2가),근린생활2,제2종근린생활시설,1005122493,지번
1120011400101290001,서울특별시 성동구 성수동1가,서울특별시 성동구 성덕정길 26 (성수동1가),근린생활2,제2종근린생활시설,1005117883,지번
1120010700100190100,서울특별시 성동구 행당동,서울특별시 성동구 마조로 9 (행당동),근린생활1,제1종근린생활시설,100518570,지번
1120010500104870056,서울특별시 성동구 마장동,서울특별시 성동구 마장로35길 36 (마장동),근린생활2,제2종근린생활시설,100516479,지번
1120011400102250002,서울특별시 성동구 성수동1가,서울특별시 성동구 성덕정길 44 (성수동1가),근린생활2,제2종근린생활시설,1005118043,지번
1120011500103170008,서울특별시 성동구 성수동2가,서울특별시 성동구 연무장11길 7 (성수동2가),근린생활1,제1종근린생활시설,1005121606,지번
1120011500103170008,서울특별시 성동구 성수동2가,서울특별시 성동구 연무장11길 7 (성수동2가),근린생활1,제1종근린생활시설,1005121607,지번
