PNU,지번주소,도로명주소,용도군_tier1,대장_주용도,mgmBldrgstPk,매칭
1171010500102770002,서울특별시 송파구 석촌동,서울특별시 송파구 가락로 103 (석촌동),판매시설,판매시설,1025117750,지번
1171010500102770000,서울특별시 송파구 석촌동,서울특별시 송파구 가락로 99 (석촌동),근린생활1,제1종근린생활시설,1025120255,지번
1171010600101240002,서울특별시 송파구 삼전동,서울특별시 송파구 삼전로10길 63-1 (삼전동),근린생활1,제1종근린생활시설,1025120214,지번
1171010100101800009,서울특별시 송파구 잠실동,서울특별시 송파구 백제고분로7길 27 (잠실동),근린생활2,제2종근린생활시설,1025110942,지번
1171010400100470007,서울특별시 송파구 송파동,서울특별시 송파구 백제고분로 415 (송파동),근린생활2,제2종근린생활시설,1025121018,지번
1171010100100440003,서울특별시 송파구 잠실동,서울특별시 송파구 석촌호수로 135 (잠실동),근린생활2,제2종근린생활시설,1025113788,지번
1171011300101290000,서울특별시 송파구 거여동,서울특별시 송파구 거마로15길 12 (거여동),근린생활1,제1종근린생활시설,102513215,지번
1171011300101290000,서울특별시 송파구 거여동,서울특별시 송파구 거마로15길 12 (거여동),근린생활1,공동주택,102513216,지번
1171010400101410010,서울특별시 송파구 송파동,서울특별시 송파구 오금로 190 (송파동),근린생활2,제2종근린생활시설,102518939,지번
1171010700101890013,서울특별시 송파구 가락동,서울특별시 송파구 동남로18길 45 (가락동),근린생활2,제2종근린생활시설,1025117724,지번
1171010500101710009,서울특별시 송파구 석촌동,서울특별시 송파구 백제고분로39길 11 (석촌동),근린생활1,제1종근린생활시설,1025125346,지번
1171010100101810009,서울특별시 송파구 잠실동,서울특별시 송파구 올림픽로 108 (잠실동),근린생활1,제1종근린생활시설,102518475,지번
1171010100100400001,서울특별시 송파구 잠실동,서울특별시 송파구 올림픽로 240 (잠실동),판매시설,판매시설,10251100190599,지번
1171010100100400001,서울특별시 송파구 잠실동,서울특별시 송파구 올림픽로 240 (잠실동),판매시설,판매시설,10251100190600,지번
1171010100100400001,서울특별시 송파구 잠실동,서울특별시 송파구 올림픽로 240 (잠실동),판매시설,판매시설,10251100190601,지번
1171010100100400001,서울특별시 송파구 잠실동,서울특별시 송파구 올림픽로 240 (잠실동),판매시설,숙박시설,10251100190602,지번
1171010100100400001,서울특별시 송파구 잠실동,서울특별시 송파구 올림픽로 240 (잠실동),판매시설,위락시설,10251100190603,지번
1171010100100400001,서울특별시 송파구 잠실동,서울특별시 송파구 올림픽로 240 (잠실동),판매시설,운동시설,10251100190604,지번
1171010100100400001,서울특별시 송파구 잠실동,서울특별시 송파구 올림픽로 240 (잠실동),판매시설,판매시설,10251100190605,지번
1171010100100400001,서울특별시 송파구 잠실동,서울특별시 송파구 올림픽로 240 (잠실동),판매시설,문화및집회시설,10251100190606,지번
1171010700100960013,서울특별시 송파구 가락동,서울특별시 송파구 송파대로 284 (가락동),근린생활1,제1종근린생활시설,1025111917,지번
1171010700101890024,서울특별시 송파구 가락동,서울특별시 송파구 동남로18길 39-1 (가락동),근린생활2,제2종근린생활시설,1025115920,지번
1171011200100800009,서울특별시 송파구 오금동,서울특별시 송파구 마천로 111 (오금동),근린생활2,제2종근린생활시설,1025120196,지번
1171011200100800007,서울특별시 송파구 오금동,서울특별시 송파구 중대로 286 (오금동),근린생활2,제2종근린생활시설,1025111442,지번
1171010600100720013,서울특별시 송파구 삼전동,서울특별시 송파구 백제고분로32길 6-6 (삼전동),근린생활2,제2종근린생활시설,10251100227413,지번
1171010700101530008,서울특별시 송파구 가락동,서울특별시 송파구 송이로23길 52-42 (가락동),근린생활2,제2종근린생활시설,1025116715,지번
1171011100101240047,서울특별시 송파구 방이동,서울특별시 송파구 가락로 235 (방이동),근린생활2,제2종근린생활시설,1025124099,지번
