PNU,지번주소,도로명주소,용도군_tier1,대장_주용도,mgmBldrgstPk,매칭,원후보수,다중후보_미해결
1117011800101090004,서울특별시 용산구 원효로4가,서울특별시 용산구 원효로25길 14 (원효로4가),근린생활2,제2종근린생활시설,100414252,지번,3,False
1117013100106840062,서울특별시 용산구 한남동,서울특별시 용산구 이태원로54길 31 (한남동),근린생활2,제2종근린생활시설,1004122345,지번,1,False
1117010200100360000,서울특별시 용산구 용산동2가,서울특별시 용산구 신흥로7길 34 (용산동2가),근린생활1,제1종근린생활시설,100411307,지번,1,False
1117013100106830094,서울특별시 용산구 한남동,서울특별시 용산구 이태원로42길 26 (한남동),근린생활2,제2종근린생활시설,1004115027,지번,1,False
1117013100106410004,서울특별시 용산구 한남동,,근린생활1,제1종근린생활시설,100416101,지번,2,False
1117010800102660073,서울특별시 용산구 서계동,서울특별시 용산구 만리재로 134 (서계동),근린생활1,제1종근린생활시설,100411396,지번,1,False
1117010100100410002,서울특별시 용산구 후암동,서울특별시 용산구 후암로34길 11 (후암동),근린생활2,제2종근린생활시설,10041100186162,지번,1,False
1117012800100400442,서울특별시 용산구 한강로3가,서울특별시 용산구 한강대로15길 14 (한강로3가),근린생활1,제1종근린생활시설,1004126292,지번,1,False
1117012800100650119,서울특별시 용산구 한강로3가,서울특별시 용산구 한강대로14가길 50-15 (한강로3가),근린생활2,제2종근린생활시설,1004127237,지번,1,False
1117012500100020037,서울특별시 용산구 한강로2가,서울특별시 용산구 새창로 217 (한강로2가),판매시설,판매시설,100414611,지번,1,False
1117010100102440043,서울특별시 용산구 후암동,서울특별시 용산구 후암로 18-1 (후암동),근린생활2,제2종근린생활시설,100413786,지번,1,False
1117010100100660000,서울특별시 용산구 후암동,서울특별시 용산구 후암로 53 (후암동),근린생활1,제1종근린생활시설,1004121346,지번,5,False
1117010100100660000,서울특별시 용산구 후암동,서울특별시 용산구 후암로 53 (후암동),근린생활1,제1종근린생활시설,1004121347,지번,5,False
1117010100100660000,서울특별시 용산구 후암동,서울특별시 용산구 후암로 53 (후암동),근린생활1,제1종근린생활시설,1004121348,지번,5,False
1117010100100660000,서울특별시 용산구 후암동,서울특별시 용산구 후암로 53 (후암동),근린생활1,제1종근린생활시설,1004121349,지번,5,False
1117013000106580000,서울특별시 용산구 이태원동,서울특별시 용산구 회나무로 3 (이태원동),근린생활2,제2종근린생활시설,10041999,지번,1,False
1117012500100840007,서울특별시 용산구 한강로2가,서울특별시 용산구 한강대로46길 19 (한강로2가),근린생활2,제2종근린생활시설,100418890,지번,1,False
1117013200101620002,서울특별시 용산구 동빙고동,서울특별시 용산구 서빙고로 295 (동빙고동),근린생활2,제2종근린생활시설,100417158,지번,1,False
1117013000100640024,서울특별시 용산구 이태원동,서울특별시 용산구 보광로59길 50 (이태원동),근린생활1,제1종근린생활시설,10041100191174,지번,1,False
1117013000101080009,서울특별시 용산구 이태원동,서울특별시 용산구 이태원로 179 (이태원동),근린생활2,제2종근린생활시설,10041100194273,지번,2,False
1117012100100280005,서울특별시 용산구 용문동,서울특별시 용산구 새창로 101 (용문동),근린생활2,제2종근린생활시설,10041100182806,지번,1,False
1117013000104490001,서울특별시 용산구 이태원동,서울특별시 용산구 녹사평대로40나길 9 (이태원동),근린생활2,제2종근린생활시설,10041100196685,지번,1,False
1117013100106840024,서울특별시 용산구 한남동,서울특별시 용산구 대사관로5길 28 (한남동),근린생활1,제1종근린생활시설,1004112496,지번,1,False
1117013100106840036,서울특별시 용산구 한남동,서울특별시 용산구 이태원로54길 58-7 (한남동),근린생활2,제2종근린생활시설,100417641,지번,1,False
1117013000100570011,서울특별시 용산구 이태원동,서울특별시 용산구 이태원로 144 (이태원동),근린생활1,제1종근린생활시설,1004117181,지번,1,False
1117011100101070025,서울특별시 용산구 청파동3가,서울특별시 용산구 청파로43길 28 (청파동3가),근린생활1,제1종근린생활시설,100417512,지번,1,False
