PNU,지번주소,도로명주소,용도군_tier1,대장_주용도,mgmBldrgstPk,매칭,원후보수,다중후보_미해결
1111016500100280041,서울특별시 종로구 이화동,서울특별시 종로구 이화장1길 12 (이화동),근린생활2,제2종근린생활시설,1002117029,지번,1,False
1111016600102730002,서울특별시 종로구 연건동,서울특별시 종로구 율곡로13길 12 (연건동),근린생활1,제1종근린생활시설,1002123736,지번,1,False
1111016600102730001,서울특별시 종로구 연건동,서울특별시 종로구 율곡로13길 13 (연건동),근린생활2,제2종근린생활시설,1002112402,지번,1,False
1111016600102680000,서울특별시 종로구 연건동,서울특별시 종로구 율곡로13가길 6-1 (연건동),근린생활2,제2종근린생활시설,1002115323,지번,1,False
1111016600102330002,서울특별시 종로구 연건동,서울특별시 종로구 율곡로13가길 4 (연건동),근린생활1,제1종근린생활시설,1002125258,지번,1,False
1111016600102710010,서울특별시 종로구 연건동,서울특별시 종로구 율곡로13가길 18-18 (연건동),근린생활1,제1종근린생활시설,100213688,지번,1,False
1111017500112330000,서울특별시 종로구 숭인동,서울특별시 종로구 보문로 15-1 (숭인동),근린생활2,제2종근린생활시설,1002112169,지번,1,False
1111017500112360000,서울특별시 종로구 숭인동,서울특별시 종로구 보문로 15 (숭인동),근린생활2,제2종근린생활시설,1002110781,지번,1,False
1111016500101860003,서울특별시 종로구 이화동,서울특별시 종로구 이화장길 14 (이화동),근린생활2,제2종근린생활시설,100214033,지번,1,False
1111016500101840003,서울특별시 종로구 이화동,서울특별시 종로구 이화장길 6 (이화동),근린생활2,제2종근린생활시설,1002125546,지번,1,False
1111016500101850001,서울특별시 종로구 이화동,서울특별시 종로구 이화장길 10 (이화동),근린생활1,제1종근린생활시설,1002113062,지번,1,False
1111016800101920000,서울특별시 종로구 동숭동,서울특별시 종로구 이화장길 86-24 (동숭동),근린생활2,제2종근린생활시설,1002117840,지번,1,False
1111017500111040000,서울특별시 종로구 숭인동,서울특별시 종로구 숭인동길 44 (숭인동),근린생활1,제1종근린생활시설,1002123321,지번,1,False
1111016600102730013,서울특별시 종로구 연건동,서울특별시 종로구 율곡로13길 12 (연건동),근린생활1,제1종근린생활시설,1002128027,지번,1,False
1111016600102030004,서울특별시 종로구 연건동,서울특별시 종로구 율곡로 199 (연건동),근린생활2,제2종근린생활시설,1002128417,지번,1,False
1111016600102710006,서울특별시 종로구 연건동,서울특별시 종로구 율곡로13가길 18-12 (연건동),근린생활2,제2종근린생활시설,1002123813,지번,1,False
1111016600102630000,서울특별시 종로구 연건동,서울특별시 종로구 율곡로13길 9 (연건동),근린생활2,제2종근린생활시설,100215298,지번,1,False
1111016600102710001,서울특별시 종로구 연건동,서울특별시 종로구 율곡로13길 21 (연건동),근린생활2,제2종근린생활시설,1002123874,지번,1,False
1111017500111770000,서울특별시 종로구 숭인동,서울특별시 종로구 보문로 13 (숭인동),근린생활1,제1종근린생활시설,1002128089,지번,1,False
1111017500112270000,서울특별시 종로구 숭인동,서울특별시 종로구 보문로 17-1 (숭인동),근린생활1,제1종근린생활시설,1002128278,지번,1,False
