PNU,지번주소,도로명주소,용도군_tier1,대장_주용도,mgmBldrgstPk,매칭
1114013400101880005,서울특별시 중구 인현동2가,서울특별시 중구 마른내로6길 33 (인현동2가),근린생활2,제2종근린생활시설,100316707,지번
1114016200104322169,서울특별시 중구 신당동,서울특별시 중구 동호로17길 271 (신당동),근린생활2,제2종근린생활시설,1003121221,지번
1114012600100590025,서울특별시 중구 명동1가,서울특별시 중구 명동3길 12 (명동1가),근린생활1,제1종근린생활시설,100315088,지번
1114014400101860135,서울특별시 중구 장충동2가,서울특별시 중구 동호로30길 6 (장충동2가),근린생활2,제2종근린생활시설,10031100205424,지번
1114013300100360010,서울특별시 중구 충무로5가,서울특별시 중구 마른내로12길 26 (충무로5가),근린생활2,제2종근린생활시설,100316362,지번
1114013800101120001,서울특별시 중구 필동2가,서울특별시 중구 필동로 42 (필동2가),근린생활2,제2종근린생활시설,100317861,지번
1114014500101880005,서울특별시 중구 광희동1가,서울특별시 중구 을지로44길 31 (광희동1가),근린생활2,제2종근린생활시설,1003110077,지번
1114014800100180097,서울특별시 중구 을지로6가,서울특별시 중구 장충단로13길 13 (을지로6가),근린생활2,제2종근린생활시설,1003111116,지번
1114016200104190004,서울특별시 중구 신당동,서울특별시 중구 동호로14길 35 (신당동),근린생활2,제2종근린생활시설,1003120760,지번
1114015500103440001,서울특별시 중구 을지로3가,서울특별시 중구 수표로 50 (을지로3가),근린생활1,제1종근린생활시설,1003113377,지번
1114015500103440001,서울특별시 중구 을지로3가,서울특별시 중구 수표로 48-1 (을지로3가),근린생활1,제2종근린생활시설,1003113378,지번
1114012300100020006,서울특별시 중구 회현동3가,서울특별시 중구 퇴계로16길 8 (회현동3가),근린생활2,제2종근린생활시설,100314658,지번
1114012300100020006,서울특별시 중구 회현동3가,서울특별시 중구 퇴계로16길 8 (회현동3가),근린생활2,제2종근린생활시설,100314659,지번
1114014100100490016,서울특별시 중구 주자동,서울특별시 중구 삼일대로2길 70 (주자동),근린생활2,제2종근린생활시설,100318436,지번
1114012700100250031,서울특별시 중구 명동2가,서울특별시 중구 명동10길 31-1 (명동2가),근린생활1,제1종근린생활시설,100315177,지번
1114013800101160003,서울특별시 중구 필동2가,서울특별시 중구 퇴계로36가길 64 (필동2가),근린생활2,제2종근린생활시설,10031100207414,지번
1114015800100340008,서울특별시 중구 충무로3가,서울특별시 중구 충무로2길 1 (충무로3가),근린생활2,제2종근린생활시설,1003114066,지번
1114010800100390002,서울특별시 중구 수하동,서울특별시 중구 남대문로10길 30 (수하동),근린생활1,제1종근린생활시설,100311908,지번
1114013800100840017,서울특별시 중구 필동2가,서울특별시 중구 퇴계로36나길 27-6 (필동2가),근린생활1,제1종근린생활시설,100317772,지번
1114016200100550014,서울특별시 중구 신당동,서울특별시 중구 다산로36다길 12-10 (신당동),근린생활2,제2종근린생활시설,1003115395,지번
1114012100101940023,서울특별시 중구 회현동1가,서울특별시 중구 퇴계로8길 16 (회현동1가),근린생활2,제2종근린생활시설,100314245,지번
1114016200103410006,서울특별시 중구 신당동,서울특별시 중구 동호로10길 70 (신당동),근린생활1,제1종근린생활시설,1003119596,지번
1114014300100440007,서울특별시 중구 장충동1가,서울특별시 중구 장충단로6가길 35-5 (장충동1가),근린생활2,제2종근린생활시설,100318820,지번
1114014800100230007,서울특별시 중구 을지로6가,서울특별시 중구 을지로 256 (을지로6가),근린생활1,제1종근린생활시설,1003111134,지번
1114013900100280014,서울특별시 중구 필동3가,서울특별시 중구 서애로3길 16-10 (필동3가),근린생활2,제2종근린생활시설,100318116,지번
1114015000103030001,서울특별시 중구 을지로4가,,근린생활1,제1종근린생활시설,1003111715,본번
1114016200101300013,서울특별시 중구 신당동,서울특별시 중구 퇴계로84길 9 (신당동),근린생활2,제2종근린생활시설,1003116361,지번
1114016500115750001,서울특별시 중구 황학동,서울특별시 중구 난계로17길 9 (황학동),근린생활1,제1종근린생활시설,1003123875,지번
1114015700100070002,서울특별시 중구 산림동,서울특별시 중구 창경궁로5가길 17-5 (산림동),근린생활2,제2종근린생활시설,1003113700,지번
1114012900100250025,서울특별시 중구 남산동2가,서울특별시 중구 퇴계로20길 67 (남산동2가),근린생활2,제2종근린생활시설,100315581,지번
1114016100100760000,서울특별시 중구 저동2가,서울특별시 중구 수표로 43-2 (저동2가),근린생활1,제1종근린생활시설,1003114932,지번
