PNU,지번주소,도로명주소,용도군_tier1,대장_주용도,mgmBldrgstPk,매칭
1126010300103070003,서울특별시 중랑구 중화동,서울특별시 중랑구 동일로 833 (중화동),근린생활2,제2종근린생활시설,1008119207,지번
1126010600105650009,서울특별시 중랑구 신내동,서울특별시 중랑구 봉화산로52길 58 (신내동),근린생활2,제2종근린생활시설,10081100183893,지번
1126010600104410021,서울특별시 중랑구 신내동,서울특별시 중랑구 용마산로125나길 15 (신내동),근린생활2,제2종근린생활시설,1008130555,지번
1126010300103200027,서울특별시 중랑구 중화동,서울특별시 중랑구 중랑역로 21 (중화동),근린생활2,제2종근린생활시설,1008120066,지번
1126010400102480078,서울특별시 중랑구 묵동,서울특별시 중랑구 동일로149길 73 (묵동),근린생활2,제2종근린생활시설,1008124506,지번
1126010100101850001,서울특별시 중랑구 면목동,서울특별시 중랑구 중랑천로10길 68 (면목동),근린생활1,제1종근린생활시설,100816630,지번
1126010300103070063,서울특별시 중랑구 중화동,서울특별시 중랑구 중랑역로 122 (중화동),근린생활2,제2종근린생활시설,1008119252,지번
1126010300103200050,서울특별시 중랑구 중화동,서울특별시 중랑구 중랑역로 15-1 (중화동),근린생활2,제2종근린생활시설,1008120083,지번
1126010400101220355,서울특별시 중랑구 묵동,서울특별시 중랑구 동일로154길 7-9 (묵동),근린생활2,제2종근린생활시설,1008122347,지번
1126010100104590013,서울특별시 중랑구 면목동,서울특별시 중랑구 면목로 334-1 (면목동),근린생활1,제1종근린생활시설,100819614,지번
1126010200101180000,서울특별시 중랑구 상봉동,서울특별시 중랑구 망우로 270 (상봉동),근린생활2,제2종근린생활시설,1008115523,지번
1126010400102440140,서울특별시 중랑구 묵동,서울특별시 중랑구 동일로157길 19 (묵동),근린생활1,제1종근린생활시설,1008124205,지번
1126010600103840009,서울특별시 중랑구 신내동,서울특별시 중랑구 용마산로129길 10 (신내동),근린생활2,제2종근린생활시설,10081100200754,지번
1126010200101360027,서울특별시 중랑구 상봉동,서울특별시 중랑구 중랑천로 76 (상봉동),근린생활2,제1종근린생활시설,1008116192,지번
1126010200101360027,서울특별시 중랑구 상봉동,서울특별시 중랑구 중랑천로12길 10 (상봉동),근린생활2,제2종근린생활시설,1008116193,지번
1126010100103820012,서울특별시 중랑구 면목동,서울특별시 중랑구 답십리로77길 43 (면목동),근린생활1,제1종근린생활시설,100818450,지번
1126010300102730016,서울특별시 중랑구 중화동,서울특별시 중랑구 동일로144가길 7 (중화동),근린생활2,제2종근린생활시설,1008118102,지번
1126010100101190008,서울특별시 중랑구 면목동,서울특별시 중랑구 겸재로 165-1 (면목동),근린생활1,제1종근린생활시설,100813494,지번
1126010500104610001,서울특별시 중랑구 망우동,서울특별시 중랑구 봉우재로 239 (망우동),근린생활2,제2종근린생활시설,1008128018,지번
1126010300101480088,서울특별시 중랑구 중화동,서울특별시 중랑구 동일로130길 57 (중화동),근린생활2,제2종근린생활시설,1008117825,지번
1126010300102920001,서울특별시 중랑구 중화동,서울특별시 중랑구 동일로130길 28 (중화동),근린생활2,제2종근린생활시설,1008118416,지번
1126010100101820033,서울특별시 중랑구 면목동,서울특별시 중랑구 동일로109길 75 (면목동),근린생활2,제2종근린생활시설,100816387,지번
1126010300103000045,서울특별시 중랑구 중화동,서울특별시 중랑구 중랑역로 44-1 (중화동),근린생활2,제2종근린생활시설,1008118837,지번
1126010100101000030,서울특별시 중랑구 면목동,서울특별시 중랑구 겸재로49길 22 (면목동),근린생활2,제2종근린생활시설,100812931,지번
1126010100101810008,서울특별시 중랑구 면목동,서울특별시 중랑구 봉우재로 32-1 (면목동),근린생활2,제2종근린생활시설,100816276,지번
1126010300103260165,서울특별시 중랑구 중화동,서울특별시 중랑구 중랑천로 140 (중화동),근린생활2,제2종근린생활시설,1008120780,지번
1126010400101620008,서울특별시 중랑구 묵동,서울특별시 중랑구 공릉로 59 (묵동),근린생활2,제2종근린생활시설,1008124986,지번
1126010500105250012,서울특별시 중랑구 망우동,서울특별시 중랑구 겸재로 241 (망우동),근린생활2,제2종근린생활시설,1008129368,지번
1126010100101810002,서울특별시 중랑구 면목동,서울특별시 중랑구 봉우재로 38 (면목동),근린생활2,제2종근린생활시설,100816273,지번
1126010100104980003,서울특별시 중랑구 면목동,서울특별시 중랑구 면목로 345 (면목동),근린생활1,제1종근린생활시설,100819961,지번
1126010100104490011,서울특별시 중랑구 면목동,서울특별시 중랑구 면목로44바길 23 (면목동),근린생활2,제2종근린생활시설,100819315,지번
1126010500101350001,서울특별시 중랑구 망우동,서울특별시 중랑구 양원역로 3 (망우동),근린생활2,제2종근린생활시설,1008125425,지번
1126010100104580037,서울특별시 중랑구 면목동,서울특별시 중랑구 면목로52길 6-9 (면목동),근린생활2,제2종근린생활시설,10081100189204,지번
1126010500104690024,서울특별시 중랑구 망우동,서울특별시 중랑구 용마산로115길 27 (망우동),근린생활2,제2종근린생활시설,1008128315,지번
1126010200101300003,서울특별시 중랑구 상봉동,서울특별시 중랑구 망우로30길 3 (상봉동),판매시설,판매시설,10081100185923,지번
1126010300103070001,서울특별시 중랑구 중화동,서울특별시 중랑구 동일로143길 19 (중화동),판매시설,판매시설,1008121705,지번
1126010300103140001,서울특별시 중랑구 중화동,서울특별시 중랑구 동일로129길 35 (중화동),판매시설,판매시설,1008121732,지번
1126010300103260130,서울특별시 중랑구 중화동,서울특별시 중랑구 중랑천로 152 (중화동),근린생활2,제2종근린생활시설,1008120756,지번
1126010600106450000,서울특별시 중랑구 신내동,서울특별시 중랑구 신내로 201 (신내동),판매시설,판매시설,1008131093,지번
1126010500104670013,서울특별시 중랑구 망우동,서울특별시 중랑구 망우로62길 45 (망우동),근린생활1,제1종근린생활시설,1008128246,지번
1126010100101790098,서울특별시 중랑구 면목동,서울특별시 중랑구 겸재로9길 54 (면목동),근린생활1,제1종근린생활시설,100816184,지번
1126010100103710146,서울특별시 중랑구 면목동,서울특별시 중랑구 면목로 252-1 (면목동),근린생활1,제1종근린생활시설,100818084,지번
1126010100101050012,서울특별시 중랑구 면목동,서울특별시 중랑구 겸재로 188 (면목동),근린생활1,제1종근린생활시설,100813085,지번
1126010200101300099,서울특별시 중랑구 상봉동,서울특별시 중랑구 망우로 198 (상봉동),근린생활1,제1종근린생활시설,1008116125,지번
1126010100101320022,서울특별시 중랑구 면목동,서울특별시 중랑구 봉우재로28길 2 (면목동),근린생활1,제1종근린생활시설,100813837,지번
1126010400102500004,서울특별시 중랑구 묵동,서울특별시 중랑구 동일로 849 (묵동),근린생활1,제1종근린생활시설,1008124640,지번
1126010400102500004,서울특별시 중랑구 묵동,서울특별시 중랑구 동일로 849 (묵동),근린생활1,제1종근린생활시설,1008124641,지번
1126010100101610005,서울특별시 중랑구 면목동,서울특별시 중랑구 사가정로31길 69 (면목동),근린생활1,제1종근린생활시설,100815027,지번
1126010500104440027,서울특별시 중랑구 망우동,서울특별시 중랑구 용마산로 456 (망우동),근린생활2,제2종근린생활시설,1008127792,지번
1126010400101750007,서울특별시 중랑구 묵동,서울특별시 중랑구 동일로 918 (묵동),근린생활2,제2종근린생활시설,1008122853,지번
1126010600105020005,서울특별시 중랑구 신내동,서울특별시 중랑구 봉화산로56길 153 (신내동),근린생활2,제2종근린생활시설,1008131186,지번
1126010400102450005,서울특별시 중랑구 묵동,서울특별시 중랑구 동일로 861 (묵동),근린생활1,제1종근린생활시설,1008124231,지번
1126010100101900101,서울특별시 중랑구 면목동,서울특별시 중랑구 중랑천로 47 (면목동),근린생활1,제1종근린생활시설,100816893,지번
1126010200100310017,서울특별시 중랑구 상봉동,서울특별시 중랑구 신내로7다길 60 (상봉동),근린생활2,제2종근린생활시설,1008114341,지번
1126010400102940006,서울특별시 중랑구 묵동,서울특별시 중랑구 공릉로 52 (묵동),근린생활2,제2종근린생활시설,1008124686,지번
1126010300103070059,서울특별시 중랑구 중화동,서울특별시 중랑구 중랑역로 116-1 (중화동),근린생활2,제2종근린생활시설,1008119249,지번
1126010100104960024,서울특별시 중랑구 면목동,서울특별시 중랑구 면목로45길 7 (면목동),근린생활2,제2종근린생활시설,100819942,지번
1126010300103060049,서울특별시 중랑구 중화동,서울특별시 중랑구 중랑역로 100 (중화동),근린생활2,제2종근린생활시설,1008119185,지번
1126010100106160034,서울특별시 중랑구 면목동,서울특별시 중랑구 사가정로54길 11 (면목동),근린생활2,제2종근린생활시설,1008111791,지번
1126010400101660037,서울특별시 중랑구 묵동,서울특별시 중랑구 중랑역로 263-1 (묵동),근린생활1,제1종근린생활시설,1008122732,지번
1126010500105060016,서울특별시 중랑구 망우동,서울특별시 중랑구 상봉로 108 (망우동),근린생활1,제1종근린생활시설,1008128671,지번
1126010400102350130,서울특별시 중랑구 묵동,서울특별시 중랑구 동일로169길 34-18 (묵동),근린생활1,제1종근린생활시설,1008123343,지번
1126010100101050013,서울특별시 중랑구 면목동,서울특별시 중랑구 겸재로 186 (면목동),근린생활1,제1종근린생활시설,100813086,지번
1126010400102380122,서울특별시 중랑구 묵동,서울특별시 중랑구 동일로163길 22 (묵동),근린생활2,제2종근린생활시설,10081100201844,지번
1126010400102380122,서울특별시 중랑구 묵동,서울특별시 중랑구 동일로163길 22 (묵동),근린생활2,제2종근린생활시설,10081100202568,지번
1126010400102380122,서울특별시 중랑구 묵동,서울특별시 중랑구 동일로163길 22 (묵동),근린생활2,제2종근린생활시설,1008123612,지번
1126010100101830037,서울특별시 중랑구 면목동,서울특별시 중랑구 동일로 683 (면목동),근린생활2,제2종근린생활시설,100816493,지번
1126010400101800017,서울특별시 중랑구 묵동,서울특별시 중랑구 동일로 898 (묵동),근린생활1,제1종근린생활시설,1008122938,지번
1126010100104530012,서울특별시 중랑구 면목동,서울특별시 중랑구 면목로48길 57 (면목동),근린생활2,제2종근린생활시설,10081100182803,지번
1126010200101360002,서울특별시 중랑구 상봉동,서울특별시 중랑구 망우로 190 (상봉동),근린생활1,제1종근린생활시설,1008116176,지번
