mgmBldrgstPk,PNU,지번주소,도로명주소,층구분,층번호,층번호명,층면적_㎡,용도코드,용도,상세용도,용도군,구조
10021100207665,1111016500100270003,서울특별시 종로구 이화동 27-3번지,서울특별시 종로구 이화장1가길 4 (이화동),지상,2,2층,130.93,04010,학원,학원,근린생활2,철근콘크리트구조
10021100207885,1111017500100590035,서울특별시 종로구 숭인동 59-35번지,서울특별시 종로구 지봉로12가길 17 (숭인동),지상,4,4층,26.56,03202,사무소,사무소,근린생활1,철근콘크리트구조
10021100220965,1111016700100880001,서울특별시 종로구 충신동 88-1번지,서울특별시 종로구 율곡로16길 16 (충신동),지상,8,8층,49.32,04402,사무소,사무소,근린생활2,철근콘크리트구조
10021100220965,1111016700100880001,서울특별시 종로구 충신동 88-1번지,서울특별시 종로구 율곡로16길 16 (충신동),지상,2,2층,68.94,04402,사무소,사무소,근린생활2,철근콘크리트구조
10021100220965,1111016700100880001,서울특별시 종로구 충신동 88-1번지,서울특별시 종로구 율곡로16길 16 (충신동),지하,1,지1층,58.81,04402,사무소,"린넨실,정화조",근린생활2,철근콘크리트구조
10021100220965,1111016700100880001,서울특별시 종로구 충신동 88-1번지,서울특별시 종로구 율곡로16길 16 (충신동),지상,1,1층,24.56,04402,사무소,"계단실,주차장",근린생활2,철근콘크리트구조
10021100220965,1111016700100880001,서울특별시 종로구 충신동 88-1번지,서울특별시 종로구 율곡로16길 16 (충신동),지하,2,지2층,18.66,04402,사무소,"물탱크실,펌프실",근린생활2,철근콘크리트구조
10021100208545,1111016700100800000,서울특별시 종로구 충신동 80번지,서울특별시 종로구 율곡로14길 13-5 (충신동),지상,4,4층,88.86,04402,사무소,사무소,근린생활2,철근콘크리트구조
10021100208545,1111016700100800000,서울특별시 종로구 충신동 80번지,서울특별시 종로구 율곡로14길 13-5 (충신동),지상,5,5층,88.86,04402,사무소,사무소,근린생활2,철근콘크리트구조
10021100208545,1111016700100800000,서울특별시 종로구 충신동 80번지,서울특별시 종로구 율곡로14길 13-5 (충신동),옥탑,1,옥탑1층,11.07,04402,사무소,계단실,근린생활2,철근콘크리트구조
1000000000000004990625,1111016600101950014,서울특별시 종로구 연건동 195-14번지,서울특별시 종로구 창경궁로16길 73-4 (연건동),지상,10,10층,136.11,04001,일반음식점,제2종근린생활시설(일반음식점),근린생활2,철근콘크리트구조
1000000000000004990625,1111016600101950014,서울특별시 종로구 연건동 195-14번지,서울특별시 종로구 창경궁로16길 73-4 (연건동),지하,1,지1층,128.16,03002,휴게음식점,제1종근린생활시설(휴게음식점),근린생활1,철근콘크리트구조
10021100219465,1111016500100360004,서울특별시 종로구 이화동 36-4번지,서울특별시 종로구 이화장2길 6-2 (이화동),지상,1,1층,51.06,04999,기타제2종근린생활시설,제2종근생(소매점:33m2/화장실2.70m2/계단실:15.36m2),근린생활2,철근콘크리트구조
10021100196382,1111016800100010124,서울특별시 종로구 동숭동 1-124번지,서울특별시 종로구 대학로 104 (동숭동),지상,1,1층,35.0,03002,휴게음식점,제1종근린생활시설(휴게음식점),근린생활1,철골콘크리트구조
1000000000000004896269,1111017500102170006,서울특별시 종로구 숭인동 217-6번지,서울특별시 종로구 난계로29길 65-14 (숭인동),지상,1,1층,203.35,03001,소매점,제1종근린생활시설(소매점),근린생활1,철근콘크리트구조
1000000000000004896269,1111017500102170006,서울특별시 종로구 숭인동 217-6번지,서울특별시 종로구 난계로29길 65-14 (숭인동),지상,2,2층,198.75,03202,사무소,제1종근린생활시설(사무소),근린생활1,철근콘크리트구조
1000000000000002377409,1111017500102400001,서울특별시 종로구 숭인동 240-1번지,서울특별시 종로구 종로58길 44 (숭인동),지하,1,지1층,689.41,04999,기타제2종근린생활시설,주차장,근린생활2,철근콘크리트구조
1000000000000002377409,1111017500102400001,서울특별시 종로구 숭인동 240-1번지,서울특별시 종로구 종로58길 44 (숭인동),지상,1,1층,25.39,03002,휴게음식점,휴게음식점,근린생활1,철근콘크리트구조
1000000000000002377409,1111017500102400001,서울특별시 종로구 숭인동 240-1번지,서울특별시 종로구 종로58길 44 (숭인동),지상,2,2층,400.82,04001,일반음식점,"일반음식점, 제1종근린생활시설(치과의원)",근린생활2,철근콘크리트구조
1000000000000002377409,1111017500102400001,서울특별시 종로구 숭인동 240-1번지,서울특별시 종로구 종로58길 44 (숭인동),지상,1,1층,17.52,03999,기타제1종근린생활시설,기타제1종근린생활시설(공용면적),근린생활1,철근콘크리트구조
1000000000000002377409,1111017500102400001,서울특별시 종로구 숭인동 240-1번지,서울특별시 종로구 종로58길 44 (숭인동),지상,1,1층,20.39,03999,기타제1종근린생활시설,MDF실,근린생활1,철근콘크리트구조
