mgmBldrgstPk,PNU,지번주소,도로명주소,층구분,층번호,층번호명,층면적_㎡,용도코드,용도,상세용도,용도군,구조
10251100193122,1171010100100010000,서울특별시 송파구 잠실동 1번지,서울특별시 송파구 한가람로 65 (잠실동),지상,3,3층,171.86,03199,기타공공시설,"관리사무실,창고,당직실",근린생활1,철근콘크리트구조
10251100193122,1171010100100010000,서울특별시 송파구 잠실동 1번지,서울특별시 송파구 한가람로 65 (잠실동),지상,1,1층,177.55,03199,기타공공시설,"공원관리소(직원식당,샤워실)",근린생활1,철근콘크리트구조
10251100193122,1171010100100010000,서울특별시 송파구 잠실동 1번지,서울특별시 송파구 한가람로 65 (잠실동),지하,1,지1,0.0,03199,기타공공시설,피로티(계획홍수위 이하로서 연면적 제외),근린생활1,철근콘크리트구조
10251100193122,1171010100100010000,서울특별시 송파구 잠실동 1번지,서울특별시 송파구 한가람로 65 (잠실동),지상,1,1층,46.5,04001,일반음식점,제2종근린생활시설(일반음식점-시민고객센터&카페),근린생활2,철근콘크리트구조
10251100193122,1171010100100010000,서울특별시 송파구 잠실동 1번지,서울특별시 송파구 한가람로 65 (잠실동),지상,2,2층,171.86,03199,기타공공시설,"대기실,자원봉사자실",근린생활1,철근콘크리트구조
102511073,1171010100100100000,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),지상,1,1층,419.1,03104,소방서,소방관파출소,근린생활1,철근콘크리트구조
1025122767,1171010100100100000,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),지상,2,2,23.7,03002,휴게음식점,제1종근린생활시설(휴게음식점),근린생활1,철근콘크리트구조
102511881,1171010100100100000,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),지상,2,2층,245.44,04102,체력단련장,제2종근린생활시설(체력단련장),근린생활2,철근콘크리트구조
102511901,1171010100100100000,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),지상,1,1,32.0,03001,소매점,매점,근린생활1,철근콘크리트구조
102511901,1171010100100100000,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),지상,1,1,36.0,03999,기타제1종근린생활시설,공중변소,근린생활1,벽돌구조
102511901,1171010100100100000,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),지상,1,1,36.0,03999,기타제1종근린생활시설,공중변소,근린생활1,벽돌구조
102511901,1171010100100100000,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),지상,1,1,36.0,03999,기타제1종근린생활시설,공중변소,근린생활1,벽돌구조
102511071,1171010100100100000,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),지하,1,지1,7257.8,14204,사무소,사무실,업무시설,철골철근콘크리트구조
102511880,1171010100100100000,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),지상,1,1층,0.0,04402,사무소,사무실,근린생활2,일반철골구조
102511880,1171010100100100000,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),지상,1,1층,0.0,03001,소매점,소매점,근린생활1,일반철골구조
102511880,1171010100100100000,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),지상,1,1중2,0.0,04402,사무소,사무실,근린생활2,일반철골구조
102511880,1171010100100100000,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),지상,2,2층,0.0,04402,사무소,사무실,근린생활2,일반철골구조
102511880,1171010100100100000,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),지상,2,2층,0.0,03001,소매점,소매점,근린생활1,일반철골구조
102511880,1171010100100100000,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),지상,3,3층,386.5,03001,소매점,근린생활시설(소매점),근린생활1,일반철골구조
