mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
1024113220,1168010100101090016,서울특별시 강남구 역삼동 109-16번지,,,,일반건축물,01000,단독주택,주거시설,,철근콘크리트구조,(철근)콘크리트,227.2,134.1,555.3,59.02,171.48,0.0,3,1,0,0,0,0,7,0,0,0,0,,,1997-10-18,2022-08-13
1024114315,1168010100101090019,서울특별시 강남구 역삼동 109-19번지,,,,일반건축물,01000,단독주택,주거시설,,철근콘크리트구조,(철근)콘크리트,0.0,129.32,518.42,0.0,0.0,0.0,3,1,0,0,0,0,9,0,0,0,0,,,1998-06-15,2022-08-13
1024114847,1168010100102090001,서울특별시 강남구 역삼동 209-1번지,,,,일반건축물,19000,위험물저장및처리시설,위험물저장및처리시설,,일반철골구조,(철근)콘크리트,820.0,322.67,425.33,39.35,39.35,7.2,1,1,0,0,0,0,0,0,0,0,3,1997-12-08,1997-12-15,1998-04-23,2022-08-13
10241100251749,1168010100106010000,서울특별시 강남구 역삼동 601번지,서울특별시 강남구 봉은사로 108 (역삼동),글라스톤빌딩,글라스톤빌딩,일반건축물,03000,제1종근린생활시설,"업무시설, 근린생활시설",근린생활1,철근콘크리트구조,(철근)콘크리트,493.9,290.88,5077.41,58.89,795.03,64.6,15,3,2,1,0,0,0,20,0,0,1,2012-07-27,2014-07-27,2016-02-22,2025-06-11
1000000000000006869039,1168010100106010001,서울특별시 강남구 역삼동 601-1번지,서울특별시 강남구 봉은사로 110 (역삼동),RDL Tower,RDL Tower,일반건축물,03000,제1종근린생활시설,근린생활시설,근린생활1,철근콘크리트구조,(철근)콘크리트,563.6,309.07,4896.5,54.84,695.4,79.33,18,3,1,1,20,0,0,32,0,1,0,2023-09-19,2024-03-01,2025-12-30,2026-06-04
10241100197247,1168010100106010003,서울특별시 강남구 역삼동 601-3번지,서울특별시 강남구 봉은사로2길 3 (역삼동),이수빌딩,,일반건축물,04000,제2종근린생활시설,제2종근린생활시설,근린생활2,일반철골구조,(철근)콘크리트,187.5,93.1,186.2,49.65,99.3,7.9,2,0,0,0,0,0,0,0,0,0,2,2009-07-17,2009-09-25,2009-12-22,2022-08-13
10241100241309,1168010100106010004,서울특별시 강남구 역삼동 601-4번지,서울특별시 강남구 봉은사로2길 5 (역삼동),,백락빌딩,일반건축물,04000,제2종근린생활시설,근린생활시설,근린생활2,일반철골구조,(철근)콘크리트,246.6,85.68,146.88,34.74,59.56,7.2,2,0,0,0,0,0,0,0,0,0,3,2014-09-18,2014-10-11,2014-12-30,2022-08-13
1024119086,1168010100106010005,서울특별시 강남구 역삼동 601-5번지,서울특별시 강남구 봉은사로4길 4 (역삼동),,,일반건축물,04000,제2종근린생활시설,근린생활시설,근린생활2,철근콘크리트구조,(철근)콘크리트,237.8,124.92,473.31,52.53,149.02,9.1,3,1,0,0,0,0,0,0,0,0,4,1995-06-14,1995-06-30,1995-11-13,2022-08-13
102418959,1168010100106010006,서울특별시 강남구 역삼동 601-6번지,서울특별시 강남구 봉은사로4길 6 (역삼동),,,일반건축물,04000,제2종근린생활시설,근린생활시설,근린생활2,철근콘크리트구조,(철근)콘크리트,236.4,140.12,463.56,59.27,145.21,10.2,3,1,0,0,0,0,0,0,0,0,4,1995-10-10,1995-10-13,1996-04-19,2022-08-13
102415687,1168010100106010007,서울특별시 강남구 역삼동 601-7번지,서울특별시 강남구 봉은사로2길 7 (역삼동),,,일반건축물,04000,제2종근린생활시설,근린생활시설,근린생활2,철근콘크리트구조,(철근)콘크리트,440.7,214.9,1018.19,48.76,162.35,0.0,4,1,0,0,0,0,0,2,0,0,2,1986-09-26,,1987-09-01,2023-04-07
1024116194,1168010100106010009,서울특별시 강남구 역삼동 601-9번지,서울특별시 강남구 봉은사로4길 8 (역삼동),,,일반건축물,01000,단독주택,주거시설,,철근콘크리트구조,(철근)콘크리트,222.6,114.21,419.23,51.31,140.12,10.2,3,1,0,0,0,0,13,0,0,0,0,1995-10-07,1995-10-13,1996-04-24,2022-08-13
1024112301,1168010100106010010,서울특별시 강남구 역삼동 601-10번지,서울특별시 강남구 봉은사로4길 10 (역삼동),,,일반건축물,04000,제2종근린생활시설,근린생활시설,근린생활2,철근콘크리트구조,(철근)콘크리트,361.3,180.59,998.13,49.98,229.96,15.1,5,1,0,0,0,0,0,0,0,0,6,1989-06-26,1989-06-28,1989-12-04,2022-08-13
1024123352,1168010100106010011,서울특별시 강남구 역삼동 601-11번지,,,,일반건축물,04000,제2종근린생활시설,근린생활시설,근린생활2,철근콘크리트구조,(철근)콘크리트,202.5,100.58,491.99,49.67,178.39,0.0,4,1,0,0,0,0,0,0,0,0,0,1986-02-18,,1986-07-14,2025-11-07
