mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
102611201,1174010100100150000,서울특별시 강동구 명일동 15번지,서울특별시 강동구 고덕로 210 (명일동),삼익그린맨션,603동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,1005.36,15873.68,0.0,0.0,0.0,15,1,0,0,0,225,0,0,0,0,0,1982-11-03,,1983-12-17,2022-08-13
102611210,1174010100100150000,서울특별시 강동구 명일동 15번지,서울특별시 강동구 고덕로 210 (명일동),삼익그린맨션,301동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,772.54,9928.61,0.0,0.0,0.0,12,1,0,0,0,108,0,0,0,0,0,1982-11-03,,1983-12-17,2022-08-13
102611205,1174010100100150000,서울특별시 강동구 명일동 15번지,서울특별시 강동구 고덕로 210 (명일동),삼익그린맨션,505동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,599.4,9028.41,0.0,0.0,0.0,15,1,0,0,0,90,0,0,0,0,0,1982-11-03,,1983-12-17,2022-08-13
102611200,1174010100100150000,서울특별시 강동구 명일동 15번지,서울특별시 강동구 고덕로 210 (명일동),삼익그린맨션,605동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,1132.8,17913.26,0.0,0.0,0.0,15,1,0,0,0,225,0,0,0,0,0,1982-11-03,,1983-12-17,2022-08-13
102611208,1174010100100150000,서울특별시 강동구 명일동 15번지,서울특별시 강동구 고덕로 210 (명일동),삼익그린맨션,501동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,1040.99,16380.44,0.0,0.0,0.0,15,1,0,0,0,180,0,0,0,0,0,1982-11-03,,1983-12-17,2022-08-13
102611203,1174010100100150000,서울특별시 강동구 명일동 15번지,서울특별시 강동구 고덕로 210 (명일동),삼익그린맨션,601동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,772.54,12217.34,0.0,0.0,0.0,15,1,0,0,0,135,0,0,0,0,0,1982-11-03,,1983-12-17,2022-08-13
102611199,1174010100100150000,서울특별시 강동구 명일동 15번지,서울특별시 강동구 명일로 375 (명일동),삼익그린맨션,상가동,표제부,07000,판매시설,"판매시설(상가), 근린생활시설, 은행",판매시설,철근콘크리트구조,(철근)콘크리트,0.0,1565.766,8411.768,0.0,0.0,0.0,4,1,0,0,185,0,0,0,0,0,0,1982-11-03,,1984-05-26,2022-08-13
102611202,1174010100100150000,서울특별시 강동구 명일동 15번지,서울특별시 강동구 고덕로 210 (명일동),삼익그린맨션,602동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,1005.36,15873.68,0.0,0.0,0.0,15,1,0,0,0,225,0,0,0,0,0,1982-11-03,,1983-12-17,2022-08-13
102611204,1174010100100150000,서울특별시 강동구 명일동 15번지,서울특별시 강동구 고덕로 210 (명일동),삼익그린맨션,506동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,799.2,12001.88,0.0,0.0,0.0,15,1,0,0,0,120,0,0,0,0,0,1982-11-03,,1983-12-17,2022-08-13
102611209,1174010100100150000,서울특별시 강동구 명일동 15번지,서울특별시 강동구 고덕로 210 (명일동),삼익그린맨션,302동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,599.4,7339.29,0.0,0.0,0.0,12,1,0,0,0,72,0,0,0,0,0,1982-11-03,,1983-12-17,2022-08-13
102611206,1174010100100150000,서울특별시 강동구 명일동 15번지,서울특별시 강동구 고덕로 210 (명일동),삼익그린맨션,503동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,733.68,11295.18,0.0,0.0,0.0,15,1,0,0,0,90,0,0,0,0,0,1982-11-03,,1983-12-17,2022-08-13
102611207,1174010100100150000,서울특별시 강동구 명일동 15번지,서울특별시 강동구 고덕로 210 (명일동),삼익그린맨션,502동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,1001.25,15083.35,0.0,0.0,0.0,15,1,0,0,0,150,0,0,0,0,0,1982-11-03,,1983-12-17,2022-08-13
