mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
10101758,1130510100100030008,서울특별시 강북구 미아동 3-8번지,서울특별시 강북구 오현로9길 27 (미아동),,,일반건축물,11000,노유자시설,노유자시설(아동관련시설),,철근콘크리트구조,(철근)콘크리트,324.0,122.63,322.24,37.85,99.46,9.7,3,0,0,0,0,0,0,0,0,0,0,,,1975-08-19,2022-08-13
1010112841,1130510100100030009,서울특별시 강북구 미아동 3-9번지,서울특별시 강북구 오현로9길 23 (미아동),,,표제부,02000,공동주택,다세대주택,,철근콘크리트구조,(철근)콘크리트,343.1,182.14,698.04,53.09,188.24,11.7,5,0,0,0,0,11,0,0,0,4,4,2001-11-27,2001-12-17,2002-05-31,2022-08-13
1010112842,1130510100100030010,서울특별시 강북구 미아동 3-10번지,서울특별시 강북구 오현로9길 19 (미아동),,,표제부,02000,공동주택,연립주택,,철근콘크리트구조,(철근)콘크리트,423.0,187.32,747.24,44.28,139.12,12.5,4,1,0,0,0,19,0,0,0,0,5,1993-03-12,1993-04-19,1993-11-04,2022-08-13
10101100194969,1130510100100030011,서울특별시 강북구 미아동 3-11번지,서울특별시 강북구 오현로9길 17 (미아동),동방플러스빌,,표제부,02000,공동주택,공동주택(다세대주택:도시형생활주택),,철근콘크리트구조,(철근)콘크리트,304.0,181.79,849.34,59.8,199.44,10.65,4,1,0,0,0,11,0,0,0,9,0,2011-02-22,2011-02-25,2011-06-20,2022-08-13
10101100195789,1130510100100030012,서울특별시 강북구 미아동 3-12번지,서울특별시 강북구 오현로9길 13 (미아동),,,표제부,02000,공동주택,공동주택(도시형생활주택),,철근콘크리트구조,(철근)콘크리트,328.0,196.75,814.99,59.98,188.24,13.3,4,1,0,0,1,11,0,0,0,6,2,2011-06-07,2011-06-17,2011-10-12,2022-08-13
10101761,1130510100100030013,서울특별시 강북구 미아동 3-13번지,서울특별시 강북구 오현로9길 9 (미아동),,,일반건축물,01000,단독주택,근린생활시설 및 단독주택,,철근콘크리트구조,(철근)콘크리트,294.0,175.14,843.81,59.57,217.54,12.0,4,1,0,0,0,0,1,0,0,4,2,1996-01-18,1996-03-21,1996-11-26,2022-08-13
10101762,1130510100100030014,서울특별시 강북구 미아동 3-14번지,서울특별시 강북구 오현로9길 7 (미아동),,,일반건축물,01000,단독주택,근린생활시설.주택,,철근콘크리트구조,(철근)콘크리트,284.0,164.42,805.12,57.89,216.95,12.2,4,1,0,0,0,0,2,0,0,3,2,1994-03-16,1994-03-28,1994-10-22,2022-08-13
10101100182844,1130510100100030015,서울특별시 강북구 미아동 3-15번지,서울특별시 강북구 오현로9길 5 (미아동),미아동 3-15 종교시설 (기독교대한감리회유지재단),주건축물제1동,일반건축물,06000,종교시설,종교집회장,,철근콘크리트구조,(철근)콘크리트,291.0,145.54,532.52,50.01,133.19,14.2,3,1,0,0,0,0,1,0,0,0,0,,,1979-12-18,2022-08-13
10101764,1130510100100030016,서울특별시 강북구 미아동 3-16번지,서울특별시 강북구 오현로 33 (미아동),,,일반건축물,01000,단독주택,단독주택,,벽돌구조,(철근)콘크리트,0.0,86.01,164.3,0.0,0.0,0.0,2,1,0,0,0,0,1,0,0,0,0,,,1976-12-08,2022-08-13
10101100217208,1130510100100030029,서울특별시 강북구 미아동 3-29번지,서울특별시 강북구 오패산로30길 75 (미아동),,,일반건축물,04000,제2종근린생활시설,제2종근린생활시설,근린생활2,철근콘크리트구조,(철근)콘크리트,231.0,135.5,461.13,58.66,199.62,12.68,4,0,0,0,0,0,0,0,0,0,2,2015-07-07,2015-08-10,2016-01-11,2022-08-13
