mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
1017122060,1150010100100050005,서울특별시 강서구 염창동 5-5번지,,,,일반건축물,03000,제1종근린생활시설,"양수기장, 숙직실",근린생활1,일반목구조,기타지붕,0.0,0.0,100.83,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1967-09-30,2022-08-13
1017118098,1150010100100050017,서울특별시 강서구 염창동 5-17번지,서울특별시 강서구 양천로61길 90 (염창동),,2호,일반건축물,01000,단독주택,주택,,블록구조,슬레이트,0.0,29.76,29.76,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
101714802,1150010100100110000,서울특별시 강서구 염창동 11번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,39.67,39.67,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
1017116338,1150010100100200031,서울특별시 강서구 염창동 20-31번지,서울특별시 강서구 양천로65길 41-35 (염창동),,,일반건축물,17000,공장,"공장,자동차관련시설",,철근콘크리트구조,슬레이트,896.0,537.57,655.22,59.99,73.13,11.1,3,0,0,0,0,0,0,0,0,0,0,,,1982-04-03,2022-08-13
101717551,1150010100100200037,서울특별시 강서구 염창동 20-37번지,서울특별시 강서구 양천로63길 68 (염창동),,,일반건축물,04000,제2종근린생활시설,사무실,근린생활2,벽돌구조,(철근)콘크리트,531.0,34.02,34.02,6.4,6.4,0.0,1,0,0,0,0,0,0,0,0,0,0,1985-09-02,,1985-11-26,2022-08-13
10171100300768,1150010100100200085,서울특별시 강서구 염창동 20-85번지,서울특별시 강서구 양천로65길 41-22 (염창동),제이케이블라썸호텔,,일반건축물,15000,숙박시설,숙박시설(관광호텔),,철근콘크리트구조,(철근)콘크리트,1840.0,908.35,11311.52,49.37,479.79,54.7,15,2,3,1,0,0,0,22,0,9,14,2015-12-11,2015-12-31,2017-09-22,2022-08-13
101719395,1150010100100200098,서울특별시 강서구 염창동 20-98번지,서울특별시 강서구 양천로65길 41-31 (염창동),,,일반건축물,20000,자동차관련시설,"사무실, 자동차관련시설(정비공장)",,철근콘크리트구조,(철근)콘크리트,0.0,0.0,706.06,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,,,1977-11-22,2022-08-13
10171100218717,1150010100100200145,서울특별시 강서구 염창동 20-145번지,서울특별시 강서구 양천로63길 42-36 (염창동),솔트나인,,일반건축물,04000,제2종근린생활시설,제2종근린생활시설(고시원),근린생활2,철근콘크리트구조,(철근)콘크리트,265.0,146.66,1170.55,55.34,394.85,27.35,9,1,1,0,31,0,0,0,8,0,0,2010-12-13,2011-03-10,2011-11-17,2022-08-13
101714334,1150010100100450004,서울특별시 강서구 염창동 45-4번지,서울특별시 강서구 양천로73길 17 (염창동),서울염동초등학교,1동,일반건축물,10000,교육연구시설,교육연구시설,,철근콘크리트구조,(철근)콘크리트,12603.0,3663.07,9602.49,29.07,74.32,13.6,4,1,0,0,0,0,0,0,0,0,48,1995-02-17,1995-08-14,1997-03-27,2024-11-20
1017125516,1150010100100530001,서울특별시 강서구 염창동 53-1번지,서울특별시 강서구 양천로67가길 63 (염창동),염창동 주민자치센터,,일반건축물,03000,제1종근린생활시설,"동사무소,교육연구및복지시설",근린생활1,철근콘크리트구조,(철근)콘크리트,895.0,536.74,1843.44,59.97,147.63,13.95,3,1,0,0,0,0,0,0,0,0,9,2004-07-08,2004-08-30,2006-01-09,2022-08-13
1017118689,1150010100100530002,서울특별시 강서구 염창동 53-2번지,,,,일반건축물,18000,창고시설,창고,,철근콘크리트구조,슬레이트,0.0,363.97,401.33,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,,,1978-09-12,2022-08-13
101712435,1150010100100560002,서울특별시 강서구 염창동 56-2번지,서울특별시 강서구 양천로67길 96-20 (염창동),,나동,일반건축물,04000,제2종근린생활시설,"근린생활시설, 주택",근린생활2,철근콘크리트구조,(철근)콘크리트,0.0,291.7,479.81,0.0,0.0,13.4,4,1,0,0,0,0,1,0,0,2,2,1995-09-29,1995-10-24,1996-11-28,2024-04-08
101712436,1150010100100560002,서울특별시 강서구 염창동 56-2번지,서울특별시 강서구 양천로67길 96-14 (염창동),,가동,일반건축물,04000,제2종근린생활시설,제2종근린생활시설,근린생활2,일반목구조,(철근)콘크리트,0.0,291.7,449.01,0.0,0.0,13.4,2,1,0,0,0,0,1,0,0,0,3,1995-09-29,1995-10-24,1996-11-28,2022-08-13
101719735,1150010100100570000,서울특별시 강서구 염창동 57번지,서울특별시 강서구 양천로67길 50-33 (염창동),지오빌,,표제부,02000,공동주택,공동주택(아파트),,철근콘크리트구조,(철근)콘크리트,791.0,345.37,1972.32,43.66,249.35,23.7,8,0,1,0,0,19,0,0,0,10,13,2003-08-29,2003-09-06,2006-03-30,2022-08-13
1017127830,1150010100100580000,서울특별시 강서구 염창동 58번지,서울특별시 강서구 양천로67길 50-29 (염창동),블래스밸리,,표제부,02000,공동주택,공동주택(다세대),,철근콘크리트구조,기타지붕,242.0,144.15,585.35,59.57,241.89,14.3,5,0,0,0,0,8,0,0,0,7,1,2003-09-17,2003-09-23,2006-01-11,2022-08-13
101712995,1150010100100640001,서울특별시 강서구 염창동 64-1번지,서울특별시 강서구 양천로67길 63 (염창동),염창동공장,C동,일반건축물,17000,공장,"공장, 운동시설",,일반철골구조,(철근)콘크리트,3352.0,462.71,925.42,0.0,0.0,11.6,2,0,0,0,0,0,0,0,0,0,0,2002-11-13,2002-11-15,2003-10-18,2023-11-10
101712996,1150010100100640001,서울특별시 강서구 염창동 64-1번지,서울특별시 강서구 양천로67길 63 (염창동),염창동공장,A동,일반건축물,13000,운동시설,운동시설(체력단련장),,일반철골구조,기타지붕,3352.0,470.06,470.06,0.0,0.0,8.3,1,0,0,0,0,0,0,0,0,0,18,2002-11-13,2002-11-15,2003-10-18,2026-07-20
101712993,1150010100100640001,서울특별시 강서구 염창동 64-1번지,서울특별시 강서구 양천로67길 63 (염창동),염창동공장,D동,일반건축물,17000,공장,공장,,일반철골구조,기타지붕,3352.0,327.49,553.69,9.769988,16.518198,0.0,2,0,0,0,0,0,0,0,0,0,0,2001-02-02,2001-02-28,2001-03-28,2026-07-20
101712994,1150010100100640001,서울특별시 강서구 염창동 64-1번지,서울특별시 강서구 양천로67길 63 (염창동),염창동공장,E동,일반건축물,17000,공장,공장,,일반철골구조,기타지붕,3352.0,474.46,474.46,0.0,0.0,8.3,1,0,0,0,0,0,0,0,0,0,0,2002-11-13,2002-11-15,2003-10-18,2022-08-13
