mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
1022133575,,서울특별시 관악구 봉천동,,4-1구역17-2 아름빌딩,,일반건축물,04000,제2종근린생활시설,근린생활시설,근린생활2,철근콘크리트구조,(철근)콘크리트,177.4,105.69,589.58,59.57,273.17,0.0,5,1,0,0,0,0,0,0,0,0,4,2001-03-23,2001-04-04,2001-10-19,2022-08-13
1022129397,1162010100100010052,서울특별시 관악구 봉천동 1-52번지,서울특별시 관악구 청림3마길 28-8 (봉천동),,,일반건축물,01000,단독주택,단독주택 외1,,벽돌구조,(철근)콘크리트,0.0,0.0,144.39,0.0,0.0,0.0,2,1,0,0,0,0,3,0,0,0,0,1991-08-21,,1991-12-10,2022-08-13
1022110054,1162010100100010058,서울특별시 관악구 봉천동 1-58번지,서울특별시 관악구 청림3다길 29 (봉천동),,,일반건축물,01000,단독주택,단독주택,,벽돌구조,(철근)콘크리트,95.63,54.7,149.85,57.19,104.47,7.3,2,1,0,0,0,0,5,0,0,0,0,1992-10-06,1992-10-15,1992-12-23,2022-08-13
1022119375,1162010100100010061,서울특별시 관악구 봉천동 1-61번지,서울특별시 관악구 관악로 294-6 (봉천동),,,일반건축물,01000,단독주택,주택,,벽돌구조,(철근)콘크리트,0.0,0.0,147.24,0.0,0.0,0.0,2,1,0,0,0,0,1,0,0,0,0,1989-04-04,,1990-02-02,2022-08-13
102215324,1162010100100010065,서울특별시 관악구 봉천동 1-65번지,서울특별시 관악구 청림3다길 9 (봉천동),,,일반건축물,01000,단독주택,단독주택,,철근콘크리트구조,(철근)콘크리트,102.0,60.58,156.51,59.39,124.89,7.5,3,0,0,0,0,0,1,0,0,2,0,2001-12-22,2002-02-05,2002-08-01,2022-08-13
1022122276,1162010100100010067,서울특별시 관악구 봉천동 1-67번지,서울특별시 관악구 청림3마길 9 (봉천동),,,일반건축물,01000,단독주택,단독주택,,벽돌구조,(철근)콘크리트,92.1,54.03,148.77,58.66,107.0,7.6,2,1,0,0,0,0,4,0,0,0,0,1992-04-24,1992-05-19,1992-08-19,2022-08-13
1022129111,1162010100100010069,서울특별시 관악구 봉천동 1-69번지,서울특별시 관악구 청림3길 49 (봉천동),,,표제부,02000,공동주택,연립주택,,철근콘크리트구조,(철근)콘크리트,474.75,259.92,1052.55,54.75,175.84,13.1,4,1,0,0,0,13,0,0,0,4,4,1994-11-26,1994-11-26,1995-12-08,2022-08-13
1022134012,1162010100100010070,서울특별시 관악구 봉천동 1-70번지,서울특별시 관악구 청림3다길 12 (봉천동),봉천하이빌,,표제부,02000,공동주택,다세대주택,,철근콘크리트구조,(철근)콘크리트,277.7,159.29,537.77,57.36,193.65,10.5,4,1,0,0,0,9,0,0,0,6,0,2002-10-24,2002-10-25,2003-06-27,2022-08-13
1022115157,1162010100100010072,서울특별시 관악구 봉천동 1-72번지,서울특별시 관악구 청림3다길 8 (봉천동),,,표제부,02000,공동주택,다세대주택,,벽돌구조,(철근)콘크리트,0.0,0.0,248.85,0.0,0.0,0.0,2,1,0,0,0,6,0,0,0,0,0,1986-03-24,,1986-06-24,2022-08-13
1022133248,1162010100100010074,서울특별시 관악구 봉천동 1-74번지,서울특별시 관악구 청림3길 43 (봉천동),,,일반건축물,01000,단독주택,단독주택,,벽돌구조,(철근)콘크리트,0.0,0.0,215.07,0.0,0.0,0.0,2,1,0,0,0,0,1,0,0,0,0,1983-11-01,,1984-06-04,2022-08-13
1022123110,1162010100100010076,서울특별시 관악구 봉천동 1-76번지,서울특별시 관악구 청림3길 40 (봉천동),,,일반건축물,04000,제2종근린생활시설,교회,근린생활2,철근콘크리트구조,(철근)콘크리트,0.0,0.0,1180.35,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,0,0,1984-05-09,,1984-12-20,2022-08-13
