mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
10061100255150,1121510100100160000,서울특별시 광진구 중곡동 16번지,서울특별시 광진구 용마산로 163 (중곡동),,,일반건축물,04000,제2종근린생활시설,근린생활시설(13호),근린생활2,철근콘크리트구조,(철근)콘크리트,508.4,208.38,1217.27,40.99,199.17,26.31,7,1,1,0,13,0,0,8,0,0,1,2019-03-22,2019-04-17,2020-07-03,2022-08-13
10061730,1121510100100180001,서울특별시 광진구 중곡동 18-1번지,서울특별시 광진구 용마산로 160 (중곡동),,,일반건축물,03000,제1종근린생활시설,"점포, 사무실",근린생활1,철근콘크리트구조,(철근)콘크리트,286.7,123.97,619.85,43.24,172.96,14.9,4,1,0,0,0,0,0,0,0,0,4,1987-04-01,1987-04-15,1989-03-07,2022-08-13
10061100205901,1121510100100180003,서울특별시 광진구 중곡동 18-3번지,서울특별시 광진구 용마산로28길 6 (중곡동),,,표제부,02000,공동주택,공동주택-다세대주택(도시형생활주택:원룸형),,철근콘크리트구조,(철근)콘크리트,234.0,137.3,461.85,58.68,197.37,13.3,5,0,0,0,1,15,0,0,0,2,4,2013-01-09,2013-01-22,2013-06-11,2023-03-22
10061100230887,1121510100100180004,서울특별시 광진구 중곡동 18-4번지,서울특별시 광진구 용마산로28길 8 (중곡동),,,표제부,02000,공동주택,공동주택(도시형생활주택-단지형다세대)10세대 외1,,철근콘크리트구조,(철근)콘크리트,312.4,158.63,623.68,50.78,199.64,17.1,6,0,1,0,1,10,0,0,0,8,0,2016-01-14,2016-04-05,2016-11-04,2022-08-13
10061734,1121510100100180005,서울특별시 광진구 중곡동 18-5번지,서울특별시 광진구 용마산로28길 10 (중곡동),,,일반건축물,04000,제2종근린생활시설,"근린생활시설, 주택",근린생활2,철근콘크리트구조,(철근)콘크리트,160.8,80.04,459.26,49.78,217.89,13.22,5,1,0,0,0,0,1,0,0,0,4,1993-08-04,1993-09-01,1997-03-28,2022-08-13
10061735,1121510100100180006,서울특별시 광진구 중곡동 18-6번지,서울특별시 광진구 용마산로28길 14-8 (중곡동),,,일반건축물,01000,단독주택,주택,,벽돌구조,(철근)콘크리트,113.4,55.59,173.43,49.02,98.04,0.0,2,1,0,0,0,0,1,0,0,0,0,1990-06-22,,1990-10-18,2022-08-13
10061736,1121510100100180007,서울특별시 광진구 중곡동 18-7번지,서울특별시 광진구 용마산로26길 3-2 (중곡동),,,일반건축물,01000,단독주택,주택,,벽돌구조,(철근)콘크리트,203.28,101.32,307.35,49.84,95.67,7.9,2,1,0,0,0,0,1,0,0,0,2,1988-03-03,1988-03-25,1988-10-19,2022-08-13
10061737,1121510100100180008,서울특별시 광진구 중곡동 18-8번지,서울특별시 광진구 용마산로26길 3-6 (중곡동),,,일반건축물,01000,단독주택,주택,,벽돌구조,(철근)콘크리트,161.0,80.46,241.38,49.97,99.95,7.6,2,1,0,0,0,0,1,0,0,0,0,1988-03-07,,1988-08-30,2022-08-13
10061738,1121510100100180009,서울특별시 광진구 중곡동 18-9번지,서울특별시 광진구 용마산로26길 3-8 (중곡동),,,일반건축물,01000,단독주택,단독주택,,벽돌구조,기타지붕,170.35,92.7,273.02,54.42,111.88,9.1,3,1,0,0,0,0,4,0,0,0,0,1990-04-04,,1990-07-09,2022-08-13
10061739,1121510100100180011,서울특별시 광진구 중곡동 18-11번지,서울특별시 광진구 용마산로 158 (중곡동),,,일반건축물,03000,제1종근린생활시설,"근린생활시설, 주택",근린생활1,철근콘크리트구조,(철근)콘크리트,222.7,110.2,597.01,49.48,197.93,13.3,4,1,0,0,0,0,1,0,0,0,3,1989-04-12,1989-04-18,1989-08-26,2022-08-13
