mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
1019112831,1154510100100040006,서울특별시 금천구 가산동 4-6번지,서울특별시 금천구 벚꽃로56길 14 (가산동),,,일반건축물,03000,제1종근린생활시설,"주택, 근린생활시설, 위험물판매취급소",근린생활1,벽돌구조,(철근)콘크리트,0.0,90.28,180.56,0.0,0.0,0.0,2,0,0,0,0,0,1,0,0,0,0,,,1969-12-26,2022-08-13
1019115612,1154510100100040007,서울특별시 금천구 가산동 4-7번지,서울특별시 금천구 벚꽃로 344 (가산동),,,일반건축물,01000,단독주택,주택,,벽돌구조,(철근)콘크리트,138.77,33.24,33.24,23.95,23.95,3.15,1,0,0,0,0,0,1,0,0,0,0,2001-03-08,2001-03-19,2001-05-03,2022-08-13
101913314,1154510100100040009,서울특별시 금천구 가산동 4-9번지,서울특별시 금천구 벚꽃로56길 16 (가산동),,,일반건축물,01000,단독주택,"주택, 근린생활시설",,벽돌구조,기타지붕,0.0,69.3,277.2,0.0,0.0,0.0,3,1,0,0,0,0,1,0,0,0,0,,,1992-07-03,2022-08-13
101913315,1154510100100040009,서울특별시 금천구 가산동 4-9번지,서울특별시 금천구 벚꽃로56길 16 (가산동),,,일반건축물,01000,단독주택,주택,,벽돌구조,(철근)콘크리트,0.0,66.21,66.21,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1969-11-15,2022-08-13
101919135,1154510100100040013,서울특별시 금천구 가산동 4-13번지,서울특별시 금천구 벚꽃로56길 10 (가산동),,,일반건축물,01000,단독주택,"근린생활시설, 다가구주택",,철근콘크리트구조,(철근)콘크리트,92.0,49.73,198.92,54.05,216.22,13.3,4,0,0,0,0,0,2,0,0,0,0,1992-03-31,,1992-11-25,2022-08-13
1019112701,1154510100100040022,서울특별시 금천구 가산동 4-22번지,서울특별시 금천구 벚꽃로56길 8 (가산동),,,일반건축물,03000,제1종근린생활시설,근린생활시설,근린생활1,블록구조,기와,0.0,105.55,105.55,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1970-09-20,2022-08-13
101919138,1154510100100040023,서울특별시 금천구 가산동 4-23번지,서울특별시 금천구 벚꽃로56길 12 (가산동),,,일반건축물,01000,단독주택,"근린생활시설, 주택",,철근콘크리트구조,(철근)콘크리트,138.0,69.67,215.37,50.48,100.36,7.7,2,1,0,0,0,0,2,0,0,0,0,1992-06-10,1992-06-12,1992-11-03,2022-08-13
1019112527,1154510100100050011,서울특별시 금천구 가산동 5-11번지,서울특별시 금천구 벚꽃로 342-1 (가산동),,,일반건축물,01000,단독주택,다가구용단독주택(3가구),,벽돌구조,(철근)콘크리트,0.0,65.88,197.64,0.0,0.0,0.0,2,1,0,0,0,0,3,0,0,0,0,1991-01-19,,1991-09-20,2022-08-13
101919741,1154510100100050014,서울특별시 금천구 가산동 5-14번지,서울특별시 금천구 벚꽃로 340-7 (가산동),,,일반건축물,01000,단독주택,다가구주택(3가구),,벽돌구조,(철근)콘크리트,0.0,40.08,120.24,0.0,0.0,0.0,2,1,0,0,0,0,3,0,0,0,0,,,1992-08-21,2022-08-13
1019114323,1154510100100050019,서울특별시 금천구 가산동 5-19번지,서울특별시 금천구 벚꽃로 340-2 (가산동),,,일반건축물,01000,단독주택,주택,,벽돌구조,기와,0.0,45.22,45.22,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1969-12-11,2022-08-13
101919935,1154510100100050021,서울특별시 금천구 가산동 5-21번지,서울특별시 금천구 벚꽃로 340 (가산동),,,일반건축물,01000,단독주택,"제2종근린생활시설, 단독주택",,철근콘크리트구조,(철근)콘크리트,88.9,53.57,104.89,60.25,117.99,5.7,2,0,0,0,0,0,1,0,0,0,0,1996-07-13,1997-03-21,1997-07-30,2022-08-13
1019115949,1154510100100050024,서울특별시 금천구 가산동 5-24번지,서울특별시 금천구 벚꽃로56길 18 (가산동),,,일반건축물,01000,단독주택,"근린생활시설, 단독주택",,철근콘크리트구조,(철근)콘크리트,107.59,59.28,254.4,55.09,220.39,12.9,4,1,0,0,0,0,2,0,0,0,0,1992-05-27,1993-11-01,1993-12-30,2022-08-13
1019115237,1154510100100050033,서울특별시 금천구 가산동 5-33번지,서울특별시 금천구 벚꽃로 342 (가산동),,,일반건축물,01000,단독주택,단독주택(3가구),,벽돌구조,(철근)콘크리트,0.0,59.55,178.65,0.0,0.0,0.0,2,1,0,0,0,0,3,0,0,0,0,1991-01-14,,1991-08-26,2022-08-13
1019116172,1154510100100050034,서울특별시 금천구 가산동 5-34번지,서울특별시 금천구 벚꽃로 340-5 (가산동),,,일반건축물,01000,단독주택,다가구용 단독주택(3가구),,벽돌구조,(철근)콘크리트,84.42,48.98,138.24,58.01,109.17,7.8,2,1,0,0,0,0,3,0,0,0,0,1991-06-17,1993-08-16,1993-11-27,2022-08-13
1019116025,1154510100100050035,서울특별시 금천구 가산동 5-35번지,서울특별시 금천구 벚꽃로 340-3 (가산동),,,일반건축물,01000,단독주택,다가구용단독주택(3가구),,벽돌구조,(철근)콘크리트,0.0,27.22,81.66,0.0,0.0,0.0,2,1,0,0,0,0,3,0,0,0,0,,,1992-08-20,2022-08-13
10191100230471,1154510100100060003,서울특별시 금천구 가산동 6-3번지,서울특별시 금천구 벚꽃로56길 20 (가산동),,,일반건축물,01000,단독주택,단독주택,,벽돌구조,(철근)콘크리트,173.77,102.6,332.79,59.04,178.54,11.6,5,0,0,0,0,0,6,0,0,1,0,1993-01-08,1993-02-01,2018-01-10,2022-08-13
