mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
10121100207652,1135010200100010001,서울특별시 노원구 월계동 1-1번지,서울특별시 노원구 마들로 86 (월계동),한내 지혜의 숲,,일반건축물,03000,제1종근린생활시설,제1종근린생활시설,근린생활1,철골콘크리트구조,(철근)콘크리트,14382.0,359.37,359.37,2.5,2.5,6.5,1,0,1,0,0,0,0,0,0,0,0,2016-02-15,2016-07-01,2017-03-21,2022-08-13
101215769,1135010200100010001,서울특별시 노원구 월계동 1-1번지,서울특별시 노원구 마들로 86 (월계동),한내근린공원 관리사무소,,일반건축물,03000,제1종근린생활시설,제1종근린생활시설,근린생활1,철근콘크리트구조,(철근)콘크리트,20300.0,86.58,71.82,0.43,0.35,5.58,1,0,0,0,0,0,0,0,0,0,0,2000-08-10,2000-10-02,2001-05-30,2022-08-13
101211082,1135010200100030007,서울특별시 노원구 월계동 3-7번지,서울특별시 노원구 마들로 45 (월계동),서울한천초등학교,교사2동,일반건축물,10000,교육연구시설,교육연구시설,,철근콘크리트구조,(철근)콘크리트,11790.2,670.5,2767.5,16.96,64.55,16.65,4,0,0,0,0,0,0,0,0,0,0,,,1997-02-03,2022-08-13
101211083,1135010200100030007,서울특별시 노원구 월계동 3-7번지,서울특별시 노원구 마들로 45 (월계동),서울한천초등학교,교사1동,일반건축물,10000,교육연구시설,교육연구시설,,철근콘크리트구조,(철근)콘크리트,11790.2,1228.5,4792.5,16.96,64.55,16.65,4,1,0,0,0,0,0,0,0,0,0,,,1997-02-03,2022-08-13
101212707,1135010200100120000,서울특별시 노원구 월계동 12번지,서울특별시 노원구 마들로 127 (월계동),,33동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,585.95,8539.75,0.0,0.0,0.0,14,1,0,0,0,126,0,0,0,0,0,1985-11-18,,1987-07-06,2022-08-13
101212703,1135010200100120000,서울특별시 노원구 월계동 12번지,서울특별시 노원구 마들로 127 (월계동),,37동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,595.29,8684.66,0.0,0.0,0.0,14,1,0,0,0,126,0,0,0,0,0,1985-11-18,,1987-07-06,2022-08-13
101212704,1135010200100120000,서울특별시 노원구 월계동 12번지,서울특별시 노원구 마들로 127 (월계동),,36동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,761.26,11152.56,0.0,0.0,0.0,14,1,0,0,0,140,0,0,0,0,0,1985-11-18,,1987-07-06,2022-08-13
101212702,1135010200100120000,서울특별시 노원구 월계동 12번지,서울특별시 노원구 마들로 127 (월계동),,38동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,535.66,7806.0,0.0,0.0,0.0,14,1,0,0,0,112,0,0,0,0,0,1985-11-18,,1987-07-06,2022-08-13
101212706,1135010200100120000,서울특별시 노원구 월계동 12번지,서울특별시 노원구 마들로 127 (월계동),,34동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,714.41,10475.96,0.0,0.0,0.0,14,1,0,0,0,154,0,0,0,0,0,1985-11-18,,1987-07-06,2022-08-13
101212700,1135010200100120000,서울특별시 노원구 월계동 12번지,서울특별시 노원구 마들로 127 (월계동),,상가동,표제부,03000,제1종근린생활시설,상가,근린생활1,철근콘크리트구조,(철근)콘크리트,0.0,368.3,368.3,0.0,0.0,0.0,1,0,0,0,15,0,0,0,0,0,0,1985-11-18,,1987-07-06,2022-08-13
101212701,1135010200100120000,서울특별시 노원구 월계동 12번지,서울특별시 노원구 마들로 127 (월계동),,39동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,526.32,7656.25,0.0,0.0,0.0,14,1,0,0,0,112,0,0,0,0,0,1985-11-18,,1987-07-06,2022-08-13
101212705,1135010200100120000,서울특별시 노원구 월계동 12번지,서울특별시 노원구 마들로 127 (월계동),,35동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,761.26,11152.56,0.0,0.0,0.0,14,1,0,0,0,140,0,0,0,0,0,1985-11-18,,1987-07-06,2022-08-13
101211599,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 59 (월계동),,16동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,780.09,11455.44,0.0,0.0,0.0,14,1,0,0,0,168,0,0,0,0,0,1984-08-25,,1986-07-31,2022-08-13
101211583,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 59 (월계동),,가동,표제부,Z3000,근린생활시설,상가,,철근콘크리트구조,(철근)콘크리트,0.0,0.0,3657.13,0.0,0.0,0.0,2,1,0,0,0,55,0,0,0,0,0,1984-08-25,,1986-07-31,2024-10-11
101211593,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 111 (월계동),,22동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,822.71,11996.04,0.0,0.0,0.0,14,1,0,0,0,168,0,0,0,0,0,1984-08-18,,1986-08-31,2022-08-13
101211611,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 59 (월계동),,3동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,480.07,2630.93,0.0,0.0,0.0,5,1,0,0,0,60,0,0,0,0,0,1984-08-25,,1986-07-31,2022-08-13
101211597,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 111 (월계동),,18동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,634.61,9175.03,0.0,0.0,0.0,14,1,0,0,0,126,0,0,0,0,0,1984-08-18,,1986-08-31,2022-08-13
101211612,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 59 (월계동),,1동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,480.07,2630.93,0.0,0.0,0.0,5,1,0,0,0,60,0,0,0,0,0,1984-08-25,,1986-07-31,2022-08-13
101211590,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 111 (월계동),,26동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,754.41,11043.72,0.0,0.0,0.0,14,1,0,0,0,140,0,0,0,0,0,1984-08-17,,1986-06-07,2022-08-13
101211596,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 111 (월계동),,19동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,634.61,9175.03,0.0,0.0,0.0,14,1,0,0,0,126,0,0,0,0,0,1984-08-18,,1986-08-31,2022-08-13
101211589,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 111 (월계동),,27동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,754.41,11043.72,0.0,0.0,0.0,14,1,0,0,0,140,0,0,0,0,0,1984-08-17,,1986-06-07,2022-08-13
101211609,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 59 (월계동),,5동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,399.86,2197.36,0.0,0.0,0.0,5,1,0,0,0,50,0,0,0,0,0,1984-08-25,,1986-07-31,2022-08-13
101211586,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 111 (월계동),,30동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,754.41,11043.72,0.0,0.0,0.0,14,1,0,0,0,140,0,0,0,0,0,1984-08-17,,1986-06-07,2022-08-13
101211607,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 59 (월계동),,7동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,399.86,2197.36,0.0,0.0,0.0,5,1,0,0,0,50,0,0,0,0,0,1984-08-25,,1986-07-31,2022-08-13
101211605,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 59 (월계동),,9동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,480.07,2630.93,0.0,0.0,0.0,5,1,0,0,0,60,0,0,0,0,0,1984-08-25,,1986-07-31,2022-08-13
101211584,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 111 (월계동),,32동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,754.41,11043.72,0.0,0.0,0.0,14,1,0,0,0,140,0,0,0,0,0,1984-08-17,,1986-06-07,2022-08-13
101211608,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 59 (월계동),,6동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,399.86,2197.36,0.0,0.0,0.0,5,1,0,0,0,50,0,0,0,0,0,1984-08-25,,1986-07-31,2022-08-13
101211582,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 59 (월계동),,2동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,480.07,2630.93,0.0,0.0,0.0,5,1,0,0,0,60,0,0,0,0,0,1984-08-25,,1986-07-31,2022-08-13
101211595,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 111 (월계동),,20동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,822.71,11996.04,0.0,0.0,0.0,14,1,0,0,0,168,0,0,0,0,0,1984-08-18,,1986-08-31,2022-08-13
101211580,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 111 (월계동),,23동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,822.71,11996.04,0.0,0.0,0.0,14,1,0,0,0,168,0,0,0,0,0,1984-08-18,,1986-08-31,2022-08-13
101211581,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 59 (월계동),,12동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,780.09,11455.44,0.0,0.0,0.0,14,1,0,0,0,168,0,0,0,0,0,1984-08-25,,1986-07-31,2022-08-13
101211285,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 111 (월계동),유치원,,일반건축물,11000,노유자시설,유치원,,철근콘크리트구조,(철근)콘크리트,0.0,909.34,1060.28,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,1984-08-18,,1986-08-31,2022-08-13
101211585,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 111 (월계동),,31동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,754.41,11043.72,0.0,0.0,0.0,14,1,0,0,0,140,0,0,0,0,0,1984-08-17,,1986-06-07,2022-08-13
101211601,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 59 (월계동),,14동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,719.87,10563.22,0.0,0.0,0.0,14,1,0,0,0,154,0,0,0,0,0,1984-08-25,,1986-07-31,2022-08-13
101211588,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 111 (월계동),,28동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,754.41,11043.72,0.0,0.0,0.0,14,1,0,0,0,140,0,0,0,0,0,1984-08-17,,1986-06-07,2022-08-13
101211603,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 59 (월계동),,11동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,719.87,10563.22,0.0,0.0,0.0,14,1,0,0,0,154,0,0,0,0,0,1984-08-25,,1986-07-31,2022-08-13
101211592,1135010200100130000,서울특별시 노원구 월계동 13번지,서울특별시 노원구 마들로 111 (월계동),,24동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,754.41,11043.72,0.0,0.0,0.0,14,1,0,0,0,140,0,0,0,0,0,1984-08-17,,1986-06-07,2022-08-13
