mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
10111535,1132010500100070002,서울특별시 도봉구 쌍문동 7-2번지,서울특별시 도봉구 방학로5길 51 (쌍문동),,,일반건축물,01000,단독주택,"주택, 근린생활시설, 점포",,철근콘크리트구조,(철근)콘크리트,0.0,98.77,348.3,0.0,0.0,0.0,3,1,0,0,0,0,4,0,0,0,0,1991-04-01,,1992-04-17,2022-08-13
10111100204640,1132010500100070021,서울특별시 도봉구 쌍문동 7-21번지,서울특별시 도봉구 도봉로139길 65 (쌍문동),와이앤캐슬,,표제부,02000,공동주택,공동주택(다세대주택 8세대),,철근콘크리트구조,(철근)콘크리트,165.0,98.66,318.12,59.79,192.8,14.0,5,0,0,0,0,8,0,0,0,4,1,2015-08-24,2015-09-25,2016-01-26,2022-08-13
101114163,1132010500100070022,서울특별시 도봉구 쌍문동 7-22번지,서울특별시 도봉구 도봉로139길 63 (쌍문동),,,표제부,02000,공동주택,공동(다세대)주택,,철근콘크리트구조,(철근)콘크리트,166.0,98.75,395.27,59.49,238.11,13.8,5,0,0,0,0,8,0,0,0,6,0,2001-05-29,2001-06-29,2001-12-14,2022-08-13
10111537,1132010500100080001,서울특별시 도봉구 쌍문동 8-1번지,서울특별시 도봉구 방학로5길 38 (쌍문동),,,일반건축물,03000,제1종근린생활시설,"근린생활시설, 주택",근린생활1,벽돌구조,기와,0.0,109.32,225.33,0.0,0.0,0.0,2,1,0,0,0,0,1,0,0,0,0,,,1983-04-27,2022-08-13
10111538,1132010500100080002,서울특별시 도봉구 쌍문동 8-2번지,서울특별시 도봉구 도봉로139길 74-14 (쌍문동),,,일반건축물,01000,단독주택,주택,,벽돌구조,기와,0.0,63.42,93.89,0.0,0.0,0.0,1,1,0,0,0,0,2,0,0,0,0,,,1983-06-21,2022-08-13
10111539,1132010500100080004,서울특별시 도봉구 쌍문동 8-4번지,서울특별시 도봉구 방학로5길 40 (쌍문동),,,일반건축물,03000,제1종근린생활시설,"근린생활시설, 주택",근린생활1,철근콘크리트구조,(철근)콘크리트,309.0,152.52,813.75,49.36,181.42,12.8,4,1,0,0,0,0,1,0,0,1,4,1989-01-05,1989-02-23,1989-06-03,2022-08-13
10111540,1132010500100080005,서울특별시 도봉구 쌍문동 8-5번지,서울특별시 도봉구 도봉로139길 74-10 (쌍문동),,,일반건축물,01000,단독주택,주택,,벽돌구조,(철근)콘크리트,0.0,69.12,218.28,0.0,0.0,0.0,2,1,0,0,0,0,3,0,0,0,0,,,1983-12-28,2022-08-13
10111541,1132010500100080006,서울특별시 도봉구 쌍문동 8-6번지,서울특별시 도봉구 도봉로139길 74-8 (쌍문동),,,일반건축물,01000,단독주택,주택,,벽돌구조,(철근)콘크리트,0.0,62.7,188.1,0.0,0.0,0.0,2,1,0,0,0,0,3,0,0,0,0,,,1983-10-19,2022-08-13
10111542,1132010500100080008,서울특별시 도봉구 쌍문동 8-8번지,서울특별시 도봉구 방학로5길 44 (쌍문동),,,일반건축물,01000,단독주택,"근린생활시설, 다가구주택",,철근콘크리트구조,(철근)콘크리트,232.0,139.06,515.51,59.93,161.25,10.0,3,1,0,0,0,0,3,0,0,0,4,,,1982-06-09,2022-08-13
10111543,1132010500100080010,서울특별시 도봉구 쌍문동 8-10번지,서울특별시 도봉구 도봉로139길 74 (쌍문동),,,일반건축물,04000,제2종근린생활시설,"근린생활시설, 단독주택",근린생활2,철근콘크리트구조,(철근)콘크리트,286.5,143.1,752.55,49.94,201.99,12.8,5,1,0,0,0,0,2,0,0,0,6,1992-10-28,1993-03-10,1993-09-20,2022-08-13
10111100208614,1132010500100080018,서울특별시 도봉구 쌍문동 8-18번지,서울특별시 도봉구 방학로5길 34 (쌍문동),쌍문2동 국공립 어린이집,,일반건축물,11000,노유자시설,노유자시설(영유아보육시설),,철근콘크리트구조,(철근)콘크리트,1377.0,370.21,599.89,26.88,43.56,10.8,2,0,1,0,0,0,0,0,0,0,4,2016-08-25,2016-10-07,2017-02-23,2022-08-13
10111546,1132010500100080021,서울특별시 도봉구 쌍문동 8-21번지,서울특별시 도봉구 도당로6길 48 (쌍문동),,,일반건축물,01000,단독주택,"단독주택, 근린생활시설",,철근콘크리트구조,(철근)콘크리트,112.0,55.09,124.82,49.19,111.45,7.9,3,0,0,0,0,0,2,0,0,0,0,1998-09-12,1999-04-03,1999-07-12,2022-08-13
10111547,1132010500100080025,서울특별시 도봉구 쌍문동 8-25번지,서울특별시 도봉구 방학로5길 26 (쌍문동),,,일반건축물,03000,제1종근린생활시설,"근린생활시설, 주택",근린생활1,철근콘크리트구조,(철근)콘크리트,116.0,57.6,288.0,49.66,184.14,12.7,4,1,0,0,0,0,2,0,0,0,1,1987-05-13,1987-05-16,1987-09-30,2022-08-13
10111548,1132010500100090000,서울특별시 도봉구 쌍문동 9번지,서울특별시 도봉구 도봉로139길 74-7 (쌍문동),,,일반건축물,01000,단독주택,주택,,벽돌구조,기와,0.0,60.46,117.32,40.58,40.58,0.0,1,1,0,0,0,0,1,0,0,0,0,,,1980-10-20,2022-08-13
101114164,1132010500100100001,서울특별시 도봉구 쌍문동 10-1번지,,,,표제부,02000,공동주택,주택,,벽돌구조,기와,0.0,0.0,116.96,0.0,0.0,0.0,1,1,0,0,0,2,0,0,0,0,0,,,1978-05-17,2022-08-13
10111549,1132010500100100002,서울특별시 도봉구 쌍문동 10-2번지,서울특별시 도봉구 도봉로139길 78 (쌍문동),,,일반건축물,01000,단독주택,"주택, 점포",,벽돌구조,기와,0.0,103.21,118.48,0.0,0.0,0.0,1,1,0,0,0,0,2,0,0,0,0,,,1978-05-17,2022-08-13
10111100193045,1132010500100110003,서울특별시 도봉구 쌍문동 11-3번지,서울특별시 도봉구 도봉로139길 80-9 (쌍문동),,,표제부,02000,공동주택,공동주택,,철근콘크리트구조,(철근)콘크리트,361.0,214.3,652.86,59.36,180.85,13.2,5,0,0,0,0,10,0,0,0,0,8,2012-01-20,2012-01-21,2012-07-03,2022-08-13
101114165,1132010500100110005,서울특별시 도봉구 쌍문동 11-5번지,서울특별시 도봉구 도봉로139길 102 (쌍문동),선우아파트,,표제부,02000,공동주택,공동주택,,철근콘크리트구조,(철근)콘크리트,750.0,305.28,2337.39,40.7,249.17,21.0,7,1,1,0,0,19,0,0,0,15,8,2003-04-21,2003-04-30,2003-12-19,2022-08-13
