mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
102112759,1159010100100010002,서울특별시 동작구 노량진동 1-2번지,서울특별시 동작구 노들로 756 (노량진동),,노량진 제3정수장,일반건축물,03000,제1종근린생활시설,배출수처리시설,근린생활1,철근콘크리트구조,(철근)콘크리트,33897.0,864.0,864.0,2.55,1.7,21.55,2,1,0,0,0,0,0,0,0,0,0,,1995-07-10,1997-11-17,2022-08-13
10211100244033,1159010100100010002,서울특별시 동작구 노량진동 1-2번지,서울특별시 동작구 노들로 756 (노량진동),,생활폐기물 압축기동,일반건축물,18000,창고시설,창고시설,,일반철골구조,기타지붕,58777.0,447.85,507.39,0.76,0.86,13.15,2,0,0,0,0,0,0,0,0,0,3,2017-09-17,2018-09-30,2019-02-13,2022-08-13
102112758,1159010100100010002,서울특별시 동작구 노량진동 1-2번지,서울특별시 동작구 노들로 756 (노량진동),,노량진 제3정수장,일반건축물,03000,제1종근린생활시설,펌프장,근린생활1,철근콘크리트구조,(철근)콘크리트,33897.0,18.9,18.9,0.06,0.06,4.8,1,0,0,0,0,0,0,0,0,0,0,1995-08-23,,1998-08-13,2022-08-13
102112761,1159010100100020003,서울특별시 동작구 노량진동 2-3번지,서울특별시 동작구 노들로 734 (노량진동),,,일반건축물,03000,제1종근린생활시설,수도관련시설,근린생활1,일반철골구조,기타지붕,7805.41,1431.62,1384.8,18.34,17.74,10.15,1,1,0,0,0,0,0,0,0,0,8,2004-04-27,2004-09-13,2005-03-24,2022-08-13
102112763,1159010100100020003,서울특별시 동작구 노량진동 2-3번지,서울특별시 동작구 노들로 734 (노량진동),,,일반건축물,03000,제1종근린생활시설,약품실 및 약수정,근린생활1,철근콘크리트구조,기타지붕,0.0,292.56,438.84,3.75,5.62,0.0,2,0,0,0,0,0,0,0,0,0,0,,,,2022-08-13
10211100188131,1159010100100020003,서울특별시 동작구 노량진동 2-3번지,서울특별시 동작구 노들로 734 (노량진동),,수도자재실험실동,일반건축물,03000,제1종근린생활시설,수도공급시설,근린생활1,일반철골구조,기타지붕,20414.0,694.26,991.8,3.401,3.401,7.83,1,1,0,0,0,0,0,0,0,0,0,,,2010-03-24,2022-08-13
102112762,1159010100100020003,서울특별시 동작구 노량진동 2-3번지,서울특별시 동작구 노들로 734 (노량진동),,,일반건축물,03000,제1종근린생활시설,약품실 및 염소실,근린생활1,철근콘크리트구조,(철근)콘크리트,0.0,247.27,843.95,3.17,9.4,0.0,3,1,0,0,0,0,0,0,0,0,0,,,1979-06-30,2022-08-13
10211100188132,1159010100100020003,서울특별시 동작구 노량진동 2-3번지,서울특별시 동작구 노들로 734 (노량진동),,수도자재창고,일반건축물,03000,제1종근린생활시설,수도공급시설,근린생활1,일반철골구조,기타지붕,20414.0,980.3,960.0,4.802,4.703,6.5,1,0,0,0,0,0,0,0,0,0,0,,,2010-03-24,2022-08-13
1000000000000002191788,1159010100100040001,서울특별시 동작구 노량진동 4-1번지,서울특별시 동작구 노량진로 151 (노량진동),한강철교 종점초소,,일반건축물,08000,운수시설,철도시설(운전보안시설),,철골철근콘크리트구조,(철근)콘크리트,2829.09,184.61,254.51,6.53,9.0,9.9,3,0,0,0,0,0,0,0,0,0,0,,2021-07-19,2023-04-06,2023-08-02
1021110328,1159010100100120001,서울특별시 동작구 노량진동 12-1번지,,,정수장 관리동,일반건축물,03000,제1종근린생활시설,근린공공시설,근린생활1,철근콘크리트구조,(철근)콘크리트,36.594,296.47,1159.99,0.72,2.8,14.75,4,0,0,0,0,0,0,0,0,0,6,1997-11-17,1997-11-17,1998-11-21,2022-08-13
102112775,1159010100100130017,서울특별시 동작구 노량진동 13-17번지,서울특별시 동작구 노량진로17길 42 (노량진동),노량진빗물펌프장,,일반건축물,03000,제1종근린생활시설,관사,근린생활1,철근콘크리트구조,(철근)콘크리트,2076.0,79.24,188.3,3.8169556,6.5587668,8.2,2,1,0,0,0,0,0,0,0,0,0,1992-07-23,1992-07-23,1994-06-30,2022-08-13
102112774,1159010100100130017,서울특별시 동작구 노량진동 13-17번지,서울특별시 동작구 노량진로17길 44 (노량진동),노량진빗물펌프장,,일반건축물,03000,제1종근린생활시설,빗물펌프장,근린생활1,철근콘크리트구조,(철근)콘크리트,2076.0,461.44,1024.34,22.23,47.94,12.3,3,1,0,0,0,0,0,0,0,0,10,1992-07-23,1992-07-23,1994-06-30,2022-08-13
102117111,1159010100100140003,서울특별시 동작구 노량진동 14-3번지,,,,일반건축물,01000,단독주택,"주택및양생실, 사무실",,벽돌구조,슬레이트,0.0,114.38,153.72,0.0,0.0,0.0,2,0,0,0,0,0,1,0,0,0,0,,,1972-03-11,2022-08-13
