mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
101511615,1144010100100080005,서울특별시 마포구 아현동 8-5번지,,,,일반건축물,01000,단독주택,주택,,벽돌구조,기와,0.0,238.02,337.19,0.0,0.0,0.0,2,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
101511616,1144010100100090003,서울특별시 마포구 아현동 9-3번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,18.18,18.18,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
101511617,1144010100100380123,서울특별시 마포구 아현동 38-123번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,13.22,13.22,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
101511618,1144010100100500042,서울특별시 마포구 아현동 50-42번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,0.0,25.82,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,2022-08-13
101511619,1144010100100500049,서울특별시 마포구 아현동 50-49번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,19.83,19.83,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
101511620,1144010100100560000,서울특별시 마포구 아현동 56번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,40.99,40.99,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
101511621,1144010100100600000,서울특별시 마포구 아현동 60번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,33.06,33.06,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
101511622,1144010100100600001,서울특별시 마포구 아현동 60-1번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,29.75,29.75,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
101511623,1144010100100600003,서울특별시 마포구 아현동 60-3번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,19.83,19.83,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
101511624,1144010100100600005,서울특별시 마포구 아현동 60-5번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,29.75,29.75,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1943-02-10,2022-08-13
101511625,1144010100100850002,서울특별시 마포구 아현동 85-2번지,서울특별시 마포구 환일4길 18 (아현동),,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,49.59,49.59,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
101511626,1144010100100850002,서울특별시 마포구 아현동 85-2번지,서울특별시 마포구 환일4길 18 (아현동),,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,49.59,49.59,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
101511628,1144010100100850009,서울특별시 마포구 아현동 85-9번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,28.26,28.26,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1945-08-10,2022-08-13
101511629,1144010100100850012,서울특별시 마포구 아현동 85-12번지,서울특별시 마포구 환일4길 12 (아현동),,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,18.61,18.61,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1959-05-27,2022-08-13
101511633,1144010100100850020,서울특별시 마포구 아현동 85-20번지,서울특별시 마포구 환일4길 14 (아현동),,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,16.53,16.53,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
101511635,1144010100100850022,서울특별시 마포구 아현동 85-22번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,16.53,16.53,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
101511638,1144010100100850025,서울특별시 마포구 아현동 85-25번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,52.07,52.07,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1956-12-01,2022-08-13
101511654,1144010100100850049,서울특별시 마포구 아현동 85-49번지,서울특별시 마포구 마포대로28가길 8-1 (아현동),,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,31.64,31.64,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1958-09-19,2022-08-13
101511660,1144010100100850061,서울특별시 마포구 아현동 85-61번지,서울특별시 마포구 환일4길 23-1 (아현동),,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,19.83,19.83,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
101511684,1144010100100850091,서울특별시 마포구 아현동 85-91번지,서울특별시 마포구 마포대로28길 20 (아현동),,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,23.14,23.14,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
