mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
10141538,1141010100100020002,서울특별시 서대문구 충정로2가 2-2번지,서울특별시 서대문구 통일로 135 (충정로2가),학교법인이화학당,,일반건축물,14000,업무시설,"업무시설, 근린생활시설",업무시설,철근콘크리트구조,(철근)콘크리트,2027.87,907.7,19750.31,44.76,658.19,73.65,15,5,4,1,0,0,0,94,0,75,3,1992-12-22,1993-06-00,1996-01-17,2022-08-13
10141539,1141010100100050004,서울특별시 서대문구 충정로2가 5-4번지,서울특별시 서대문구 통일로 131 (충정로2가),공화당빌딩,공화당빌딩,일반건축물,03000,제1종근린생활시설,업무시설및제1종근린생활시설,근린생활1,철근콘크리트구조,(철근)콘크리트,300.5,178.15,1810.0,59.28,543.53,46.8,10,1,1,0,0,0,0,10,0,0,0,2004-03-31,2004-05-07,2005-03-08,2023-04-14
10141540,1141010100100050006,서울특별시 서대문구 충정로2가 5-6번지,서울특별시 서대문구 통일로 133-5 (충정로2가),,,일반건축물,04000,제2종근린생활시설,"근린생활시설, 사무실, 소점포",근린생활2,철근콘크리트구조,(철근)콘크리트,0.0,0.0,328.59,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,0,1,,,1981-11-24,2022-08-13
10141541,1141010100100050009,서울특별시 서대문구 충정로2가 5-9번지,서울특별시 서대문구 통일로9안길 33 (충정로2가),,,일반건축물,04000,제2종근린생활시설,근린생활시설,근린생활2,철근콘크리트구조,(철근)콘크리트,0.0,0.0,695.52,0.0,0.0,0.0,5,1,0,0,0,0,1,0,0,0,0,1991-03-21,,1991-11-05,2022-08-13
10141542,1141010100100050014,서울특별시 서대문구 충정로2가 5-14번지,서울특별시 서대문구 통일로9안길 28 (충정로2가),피케이24,,일반건축물,03000,제1종근린생활시설,근린생활시설,근린생활1,철근콘크리트구조,(철근)콘크리트,195.32,95.94,561.24,49.12,226.4,15.3,5,1,0,0,0,0,0,0,0,0,3,1986-03-18,,1986-12-16,2024-10-16
10141543,1141010100100050015,서울특별시 서대문구 충정로2가 5-15번지,서울특별시 서대문구 통일로9안길 32 (충정로2가),,,일반건축물,04000,제2종근린생활시설,"제1종근린생활시설,제2종근린생활시설",근린생활2,철근콘크리트구조,(철근)콘크리트,213.64,126.71,501.02,59.31,181.99,10.3,3,1,0,0,0,0,0,0,0,0,0,,,1971-10-25,2022-08-13
10141545,1141010100100160008,서울특별시 서대문구 충정로2가 16-8번지,서울특별시 서대문구 통일로9안길 34-3 (충정로2가),,,일반건축물,01000,단독주택,단독주택,,벽돌구조,(철근)콘크리트,0.0,0.0,139.97,0.0,0.0,0.0,2,1,0,0,0,0,1,0,0,0,0,,,1965-11-23,2022-08-13
10141546,1141010100100160012,서울특별시 서대문구 충정로2가 16-12번지,서울특별시 서대문구 통일로9안길 28-11 (충정로2가),,,일반건축물,01000,단독주택,단독주택,,벽돌구조,(철근)콘크리트,252.2,102.06,326.24,40.47,103.39,0.0,3,1,0,0,0,0,1,0,0,0,0,1988-01-13,,1988-10-24,2022-08-13
10141547,1141010100100160013,서울특별시 서대문구 충정로2가 16-13번지,서울특별시 서대문구 통일로9안길 26 (충정로2가),,,일반건축물,04000,제2종근린생활시설,"근린생활시설, 주택",근린생활2,일반목구조,기와,168.0,94.12,94.12,56.02,56.02,2.8,1,0,0,0,0,0,1,0,0,0,0,,,1949-03-27,2022-08-13
10141548,1141010100100160014,서울특별시 서대문구 충정로2가 16-14번지,서울특별시 서대문구 통일로9안길 28-6 (충정로2가),,,일반건축물,01000,단독주택,단독주택,,일반목구조,기와,0.0,0.0,90.91,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
10141765,1141010100100160015,서울특별시 서대문구 충정로2가 16-15번지,서울특별시 서대문구 통일로9안길 28-8 (충정로2가),,,표제부,02000,공동주택,공동주택,,철근콘크리트구조,(철근)콘크리트,166.87,99.92,355.21,59.87,205.85,10.6,4,0,0,0,0,4,0,0,0,1,2,2001-07-26,2001-08-27,2002-02-07,2022-08-13
10141549,1141010100100160020,서울특별시 서대문구 충정로2가 16-20번지,서울특별시 서대문구 통일로9안길 28-5 (충정로2가),,,일반건축물,04000,제2종근린생활시설,근린생활시설,근린생활2,일반목구조,기와,0.0,0.0,104.08,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,2022-08-13
10141550,1141010100100160021,서울특별시 서대문구 충정로2가 16-21번지,서울특별시 서대문구 통일로9안길 28-7 (충정로2가),,,일반건축물,01000,단독주택,"근린생활시설, 단독주택",,철근콘크리트구조,(철근)콘크리트,102.92,61.7,290.33,59.94,237.14,12.3,4,1,0,0,0,0,1,0,0,1,2,1997-05-23,1997-06-05,1997-09-12,2022-08-13
10141551,1141010100100180000,서울특별시 서대문구 충정로2가 18번지,서울특별시 서대문구 충정로11길 8 (충정로2가),,,일반건축물,04000,제2종근린생활시설,근린생활시설,근린생활2,철근콘크리트구조,(철근)콘크리트,0.0,0.0,593.76,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,0,0,,,1956-03-10,2022-08-13
