mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
10231100286855,1165010100100010001,서울특별시 서초구 방배동 1-1번지,서울특별시 서초구 사평대로6길 102 (방배동),,,표제부,02000,공동주택,도시형생활주택,,철근콘크리트구조,(철근)콘크리트,289.0,169.56,755.13,58.67,195.18,21.79,6,1,1,0,0,13,0,0,0,0,8,2019-08-27,2019-12-16,2021-03-08,2022-08-13
10231100210014,1165010100100010003,서울특별시 서초구 방배동 1-3번지,서울특별시 서초구 동광로27길 3 (방배동),,,일반건축물,04000,제2종근린생활시설,제2종근린생활시설 및 단독주택,근린생활2,철근콘크리트구조,(철근)콘크리트,582.0,323.15,1930.38,55.52,198.11,20.5,6,2,1,0,0,0,1,18,0,0,1,2010-09-29,2010-12-14,2012-01-20,2022-08-13
10231533,1165010100100010004,서울특별시 서초구 방배동 1-4번지,서울특별시 서초구 동광로27길 59 (방배동),,,일반건축물,01000,단독주택,다가구용단독주택,,철근콘크리트구조,(철근)콘크리트,1987.0,335.23,555.64,16.87,24.59,10.0,2,1,0,0,0,0,2,0,0,2,2,1995-03-30,1995-03-31,1997-12-17,2022-08-13
102316002,1165010100100010007,서울특별시 서초구 방배동 1-7번지,서울특별시 서초구 동광로 105 (방배동),방배동 갤러리하우스,에이동,표제부,02000,공동주택,공동주택(아파트),,철근콘크리트구조,(철근)콘크리트,0.0,240.13,2084.86,0.0,0.0,18.6,6,2,1,0,0,10,0,0,0,0,0,2002-01-28,2002-04-24,2003-05-14,2022-08-13
102316003,1165010100100010007,서울특별시 서초구 방배동 1-7번지,서울특별시 서초구 동광로 105 (방배동),방배동 갤러리하우스,비동,표제부,02000,공동주택,공동주택(아파트),,철근콘크리트구조,(철근)콘크리트,0.0,172.97,1610.17,0.0,0.0,19.5,7,2,1,0,0,6,0,0,0,0,0,2002-01-28,2002-04-24,2003-05-14,2022-08-13
102316004,1165010100100010011,서울특별시 서초구 방배동 1-11번지,서울특별시 서초구 동광로27길 66 (방배동),다이너스티 힐,,표제부,02000,공동주택,공동주택(아파트),,철근콘크리트구조,(철근)콘크리트,1894.0,627.12,6832.55,33.11,210.59,21.55,7,2,2,0,0,14,0,0,0,55,0,2003-06-26,2004-06-25,2007-11-16,2022-08-13
102316005,1165010100100010012,서울특별시 서초구 방배동 1-12번지,서울특별시 서초구 동광로27길 34 (방배동),,,표제부,02000,공동주택,공동주택,,철근콘크리트구조,(철근)콘크리트,412.3,486.1,1780.92,0.0,0.0,12.55,3,1,0,0,0,6,0,0,0,7,4,1986-08-27,,1987-07-01,2022-08-13
102316006,1165010100100010015,서울특별시 서초구 방배동 1-15번지,서울특별시 서초구 동광로27길 29-6 (방배동),방배아펠바움,방배아펠바움,표제부,02000,공동주택,공동주택(아파트),,철근콘크리트구조,(철근)콘크리트,1005.0,486.94,3751.0,48.45,249.59,21.5,6,2,1,0,0,11,0,0,0,33,0,2003-06-26,2004-06-25,2005-12-29,2022-08-13
10231534,1165010100100010016,서울특별시 서초구 방배동 1-16번지,서울특별시 서초구 사평대로12길 82 (방배동),,,일반건축물,01000,단독주택,주택,,벽돌구조,(철근)콘크리트,820.0,255.21,518.71,31.12,50.68,0.0,2,1,0,0,0,0,1,0,0,5,0,,,1978-07-31,2022-08-13
10231536,1165010100100010017,서울특별시 서초구 방배동 1-17번지,서울특별시 서초구 동광로27길 25 (방배동),,,일반건축물,01000,단독주택,단독주택,,벽돌구조,(철근)콘크리트,516.0,254.47,492.13,49.32,70.6,8.07,2,1,0,0,0,0,1,0,0,1,0,1983-08-17,1983-08-20,1984-12-08,2022-08-13
102316007,1165010100100010018,서울특별시 서초구 방배동 1-18번지,서울특별시 서초구 동광로27길 29-9 (방배동),,,표제부,02000,공동주택,공동주택(아파트),,철근콘크리트구조,(철근)콘크리트,661.0,316.4,2210.54,47.87,249.22,18.875,6,1,1,0,0,6,0,0,0,18,2,2003-06-26,2003-07-07,2008-01-14,2022-08-13
102316008,1165010100100010019,서울특별시 서초구 방배동 1-19번지,서울특별시 서초구 사평대로6길 109-12 (방배동),그랑시엘3차,,표제부,02000,공동주택,공동주택(아파트),,철근콘크리트구조,(철근)콘크리트,651.0,291.34,2014.89,44.75,228.88,18.0,6,1,1,0,0,11,0,0,0,18,0,2002-12-27,2003-03-05,2005-03-11,2022-08-13
10231100292616,1165010100100010020,서울특별시 서초구 방배동 1-20번지,서울특별시 서초구 사평대로6길 109-8 (방배동),,A동,표제부,02000,공동주택,도시형생활주택(단지형다세대):,,철근콘크리트구조,(철근)콘크리트,602.0,171.67,683.73,28.52,0.0,14.6,4,1,1,0,0,7,0,0,0,0,0,2020-09-07,2020-09-14,2021-10-07,2022-08-13
