mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
100511243,1120010100100020019,서울특별시 성동구 상왕십리동 2-19번지,서울특별시 성동구 청계천로 448 (상왕십리동),협창빌딩,,일반건축물,14000,업무시설,업무시설 근린생활시설,업무시설,철근콘크리트구조,(철근)콘크리트,376.8,204.065,996.04,54.15,214.059,15.0,4,1,0,0,0,0,0,0,0,0,6,,,1982-12-21,2022-08-13
100511245,1120010100100080002,서울특별시 성동구 상왕십리동 8-2번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,슬레이트,0.0,0.0,26.45,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1937-01-08,2022-08-13
100511246,1120010100100080003,서울특별시 성동구 상왕십리동 8-3번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,슬레이트,0.0,0.0,19.83,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1937-01-08,2022-08-13
100511251,1120010100100100002,서울특별시 성동구 상왕십리동 10-2번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,0.0,26.45,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1940-11-30,2022-08-13
100511260,1120010100100120000,서울특별시 성동구 상왕십리동 12번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,슬레이트,0.0,0.0,23.14,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1937-01-08,2022-08-13
100511259,1120010100100120000,서울특별시 성동구 상왕십리동 12번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,슬레이트,0.0,0.0,19.83,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1937-01-08,2022-08-13
100511262,1120010100100120005,서울특별시 성동구 상왕십리동 12-5번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,0.0,46.28,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1937-01-08,2022-08-13
100511278,1120010100100120045,서울특별시 성동구 상왕십리동 12-45번지,서울특별시 성동구 청계천로 442 (상왕십리동),동일빌딩,,일반건축물,04000,제2종근린생활시설,근린생활시설 및 사무실 제2종근린생활시설,근린생활2,철근콘크리트구조,(철근)콘크리트,0.0,0.0,1489.05,0.0,0.0,0.0,4,1,0,0,0,0,0,0,0,0,0,,,1981-04-20,2022-08-13
100511279,1120010100100120046,서울특별시 성동구 상왕십리동 12-46번지,서울특별시 성동구 청계천로 440 (상왕십리동),,,일반건축물,03000,제1종근린생활시설,근린생활시설,근린생활1,철근콘크리트구조,(철근)콘크리트,661.0,228.05,655.25,34.5,69.3,9.92,3,1,0,0,0,0,0,0,0,0,6,1993-01-05,1993-02-11,1993-08-06,2022-08-13
10051100232577,1120010100100120047,서울특별시 성동구 상왕십리동 12-47번지,서울특별시 성동구 난계로24길 19 (상왕십리동),센트럴큐브,,표제부,02000,공동주택,도시형생활주택,,철근콘크리트구조,(철근)콘크리트,661.0,344.79,5358.8,52.16,599.2,69.21,20,3,1,1,19,75,0,0,56,0,3,2017-03-17,2017-04-10,2019-04-04,2022-08-13
