mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
100911757,1129010100100010000,서울특별시 성북구 성북동 1번지,서울특별시 성북구 선잠로2라길 27 (성북동),,,일반건축물,05000,문화및집회시설,문화집회시설(전시장),,벽돌구조,(철근)콘크리트,742.31,150.99,394.46,20.34,36.76,7.9,2,1,0,0,0,0,0,0,0,3,0,1882-09-14,,1984-01-09,2022-08-13
10091100214901,1129010100100010002,서울특별시 성북구 성북동 1-2번지,서울특별시 성북구 선잠로2다길 51 (성북동),,,일반건축물,01000,단독주택,단독주택,,철근콘크리트구조,(철근)콘크리트,1058.57,311.33,747.95,29.41,39.5,9.99,2,1,1,0,0,0,1,0,0,5,0,2011-05-04,2011-05-16,2012-12-31,2022-08-13
100911761,1129010100100010005,서울특별시 성북구 성북동 1-5번지,서울특별시 성북구 선잠로2다길 47-3 (성북동),,,일반건축물,01000,단독주택,단독주택,,벽돌구조,(철근)콘크리트,433.0,133.36,367.34,30.79,58.36,7.79,2,1,0,0,0,0,1,0,0,0,0,,,1969-11-03,2022-08-13
100911762,1129010100100010008,서울특별시 성북구 성북동 1-8번지,서울특별시 성북구 선잠로2다길 29-6 (성북동),,,일반건축물,05000,문화및집회시설,문화및집회시설(전시장),,철근콘크리트구조,(철근)콘크리트,1064.0,319.14,512.78,29.99,48.19,7.96,2,0,0,0,0,0,1,0,0,0,0,2010-09-14,2010-09-30,2011-05-11,2023-02-08
1000000000000001253938,1129010100100010008,서울특별시 성북구 성북동 1-8번지,서울특별시 성북구 선잠로2다길 29-6 (성북동),,,일반건축물,03000,제1종근린생활시설,제 1종근린생활시설(소매점),근린생활1,철근콘크리트구조,(철근)콘크리트,1064.0,0.0,214.5,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,2021-11-19,2021-12-02,2023-02-07,2023-02-09
100911763,1129010100100010011,서울특별시 성북구 성북동 1-11번지,서울특별시 성북구 선잠로2다길 29-5 (성북동),,,일반건축물,01000,단독주택,단독주택,,철근콘크리트구조,(철근)콘크리트,994.61,272.83,532.45,27.43,43.62,9.25,2,1,0,0,0,0,1,0,0,2,2,1998-12-05,1999-03-23,2000-05-29,2022-08-13
100911765,1129010100100010013,서울특별시 성북구 성북동 1-13번지,서울특별시 성북구 선잠로2다길 29-9 (성북동),,,일반건축물,01000,단독주택,주택,,벽돌구조,슬레이트,0.0,0.0,693.26,0.0,0.0,0.0,2,1,0,0,0,0,1,0,0,0,0,,,1970-08-06,2022-08-13
100911766,1129010100100010014,서울특별시 성북구 성북동 1-14번지,서울특별시 성북구 선잠로2다길 13-10 (성북동),,,일반건축물,01000,단독주택,주택,,철근콘크리트구조,(철근)콘크리트,0.0,0.0,595.87,0.0,0.0,0.0,2,1,0,0,0,0,1,0,0,0,0,,,1970-07-24,2022-08-13
100911769,1129010100100010016,서울특별시 성북구 성북동 1-16번지,서울특별시 성북구 선잠로2다길 13-5 (성북동),,,일반건축물,03000,제1종근린생활시설,제1종근린생활시설,근린생활1,벽돌구조,(철근)콘크리트,964.08,260.58,576.63,27.02,41.05,11.2,2,1,0,0,0,0,2,0,0,2,1,1993-07-07,1994-01-28,1994-02-26,2022-08-13
100911770,1129010100100010018,서울특별시 성북구 성북동 1-18번지,서울특별시 성북구 선잠로2다길 32 (성북동),,,일반건축물,01000,단독주택,단독주택,,철근콘크리트구조,기타지붕,548.0,164.01,330.42,29.93,57.61,9.1,2,1,0,0,0,0,1,0,0,0,4,2005-07-12,2005-08-29,2006-11-24,2022-08-13
