mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
10251100193122,1171010100100010000,서울특별시 송파구 잠실동 1번지,서울특별시 송파구 한가람로 65 (잠실동),한강공원잠실안내센터,,일반건축물,03000,제1종근린생활시설,제1종근린생활시설(공원관리소),근린생활1,철근콘크리트구조,(철근)콘크리트,284992.4,258.13,567.77,0.09,0.2,9.6,3,1,0,0,0,0,0,0,0,0,0,,,,2022-08-13
1025114628,1171010100100030000,서울특별시 송파구 잠실동 3번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,0.0,9.92,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
102511881,1171010100100100000,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),잠실제1수영장,,일반건축물,13000,운동시설,실내수영장,,철근콘크리트구조,(철근)콘크리트,0.0,0.0,22479.34,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,0,0,,,1980-12-30,2022-11-08
102511072,1171010100100100000,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),잠실실내체육관,,일반건축물,13000,운동시설,실내체육관,,철근콘크리트구조,(철근)콘크리트,0.0,0.0,26278.49,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,0,0,,,1979-05-30,2025-05-19
102511073,1171010100100100000,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),종합운동장119안전센터,,일반건축물,03000,제1종근린생활시설,소방관파출소,근린생활1,철근콘크리트구조,(철근)콘크리트,0.0,0.0,419.1,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1985-08-23,2022-11-08
1025122767,1171010100100100000,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),학생체육관,,일반건축물,13000,운동시설,운동시설,,철근콘크리트구조,(철근)콘크리트,0.0,0.0,11471.12,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,0,0,,,1984-01-18,2022-11-08
102511901,1171010100100100000,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),2호,,일반건축물,03000,제1종근린생활시설,근린공공시설,근린생활1,벽돌구조,(철근)콘크리트,0.0,0.0,140.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1986-04-30,2022-11-08
102511900,1171010100100100000,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),잠실제2수영장,,일반건축물,13000,운동시설,실내수영장,,철근콘크리트구조,기타지붕,0.0,3042.45,4631.87,0.0,0.0,23.6,2,1,0,0,0,0,0,0,0,0,0,,,1979-11-10,2022-11-08
102511880,1171010100100100000,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),잠실야구장,,일반건축물,05000,문화및집회시설,"운동장,야구장",,일반철골구조,기타지붕,0.0,0.0,59229.75,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,0,0,,,1982-08-28,2022-11-08
102511899,1171010100100100000,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),체조관,,일반건축물,05000,문화및집회시설,체조관,,철근콘크리트구조,슬레이트,0.0,0.0,1487.94,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,,,1973-08-25,2022-11-08
102511071,1171010100100100000,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),잠실주경기장,,일반건축물,13000,운동시설,운동시설,,철골철근콘크리트구조,(철근)콘크리트,402815.9,34333.18,100151.5,8.52,183.98329,41.0,3,1,2,0,0,0,0,0,0,0,150,,1976-11-15,1984-09-29,2026-06-30
10251100485457,1171010100100100000,서울특별시 송파구 잠실동 10번지,서울특별시 송파구 올림픽로 25 (잠실동),고압가스충전소,,일반건축물,19000,위험물저장및처리시설,고압가스충전소,,철근콘크리트구조,(철근)콘크리트,0.0,0.0,21.2,0.0,0.0,0.9,0,1,0,0,0,0,0,0,0,0,0,2016-05-24,2016-08-24,2016-09-07,2022-11-08
10251100216073,1171010100100190000,서울특별시 송파구 잠실동 19번지,서울특별시 송파구 올림픽로 99 (잠실동),잠실엘스,143동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,566.76,10733.16,0.0,0.0,71.0,25,0,0,2,0,96,0,0,0,0,0,2004-03-17,2005-05-13,2008-09-30,2022-08-13
10251100214266,1171010100100190000,서울특별시 송파구 잠실동 19번지,서울특별시 송파구 올림픽로 99 (잠실동),잠실엘스,103동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,508.36,10228.19,0.0,0.0,76.6,27,0,0,2,0,104,0,0,0,0,0,2004-03-17,2005-05-13,2008-09-30,2022-08-13
10251100216423,1171010100100190000,서울특별시 송파구 잠실동 19번지,서울특별시 송파구 올림픽로 99 (잠실동),잠실엘스,144동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,376.45,8402.57,0.0,0.0,82.2,29,0,0,1,0,56,0,0,0,0,0,2004-03-17,2005-05-13,2008-09-30,2022-08-13
10251100215871,1171010100100190000,서울특별시 송파구 잠실동 19번지,서울특별시 송파구 올림픽로 99 (잠실동),잠실엘스,138동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,566.76,10289.3,0.0,0.0,68.2,24,0,0,2,0,92,0,0,0,0,0,2004-03-17,2005-05-13,2008-09-30,2022-08-13
10251100213736,1171010100100190000,서울특별시 송파구 잠실동 19번지,서울특별시 송파구 올림픽로 99 (잠실동),잠실엘스,102동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,519.28,10168.52,0.0,0.0,71.15,26,0,0,2,0,104,0,0,0,0,0,2004-03-17,2005-05-13,2008-09-30,2022-08-13
10251100215525,1171010100100190000,서울특별시 송파구 잠실동 19번지,서울특별시 송파구 올림픽로 99 (잠실동),잠실엘스,151동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,288.82,4004.71,0.0,0.0,48.75,18,0,0,1,0,36,0,0,0,0,0,2004-03-17,2005-05-13,2008-09-30,2022-08-13
10251100216948,1171010100100190000,서울특별시 송파구 잠실동 19번지,서울특별시 송파구 올림픽로 99 (잠실동),잠실엘스,170동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,552.57,10769.43,0.0,0.0,71.15,26,0,0,2,0,98,0,0,0,0,0,2004-03-17,2005-05-13,2008-09-30,2022-08-13
10251100216862,1171010100100190000,서울특별시 송파구 잠실동 19번지,서울특별시 송파구 올림픽로 99 (잠실동),잠실엘스,169동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,283.38,4035.0,0.0,0.0,54.2,19,0,0,1,0,36,0,0,0,0,0,2004-03-17,2005-05-13,2008-09-30,2022-08-13
10251100211638,1171010100100190000,서울특별시 송파구 잠실동 19번지,서울특별시 송파구 올림픽로 99 (잠실동),잠실엘스,132동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,577.64,10228.72,0.0,0.0,62.75,23,0,0,2,0,92,0,0,0,0,0,2004-03-17,2005-05-13,2008-09-30,2022-08-13
10251100217185,1171010100100190000,서울특별시 송파구 잠실동 19번지,서울특별시 송파구 올림픽로 99 (잠실동),잠실엘스,142동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,376.45,9597.21,0.0,0.0,93.4,33,0,0,1,0,64,0,0,0,0,0,2004-03-17,2005-05-13,2008-09-30,2022-08-13
10251100212257,1171010100100190000,서울특별시 송파구 잠실동 19번지,서울특별시 송파구 올림픽로 99 (잠실동),잠실엘스,106동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,552.57,11826.07,0.0,0.0,76.75,28,0,0,2,0,108,0,0,0,0,0,2004-03-17,2005-05-13,2008-09-30,2022-08-13
10251100215314,1171010100100190000,서울특별시 송파구 잠실동 19번지,서울특별시 송파구 올림픽로 99 (잠실동),잠실엘스,159동,표제부,02000,공동주택,아파트,,철근콘크리트구조,(철근)콘크리트,0.0,566.76,9401.58,0.0,0.0,62.6,22,0,0,2,0,84,0,0,0,0,0,2004-03-17,2005-05-13,2008-09-30,2022-08-13
