mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
101611675,1147010100100130000,서울특별시 양천구 신정동 13번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,23.14,23.14,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
101611676,1147010100100130000,서울특별시 양천구 신정동 13번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,49.59,49.59,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
101611678,1147010100100130000,서울특별시 양천구 신정동 13번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,56.2,56.2,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
101611677,1147010100100130000,서울특별시 양천구 신정동 13번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,119.01,119.01,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
101611679,1147010100100130000,서울특별시 양천구 신정동 13번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,33.06,33.06,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
1016112018,1147010100100130006,서울특별시 양천구 신정동 13-6번지,,,,일반건축물,03000,제1종근린생활시설,"주택, 근린생활시설",근린생활1,일반목구조,기타지붕,0.0,79.34,79.34,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
1016118682,1147010100100230000,서울특별시 양천구 신정동 23번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,56.2,56.2,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
101619097,1147010100100300000,서울특별시 양천구 신정동 30번지,,,,일반건축물,01000,단독주택,주택,,벽돌구조,기와,0.0,74.38,82.98,0.0,0.0,0.0,1,1,0,0,0,0,1,0,0,0,0,,,1977-11-25,2022-08-13
1016117659,1147010100100310080,서울특별시 양천구 신정동 31-80번지,,,,일반건축물,01000,단독주택,주택,,벽돌구조,기와,0.0,72.07,80.67,0.0,0.0,0.0,1,1,0,0,0,0,1,0,0,0,0,,,1977-09-24,2022-08-13
1016115776,1147010100100770000,서울특별시 양천구 신정동 77번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기타지붕,0.0,36.36,36.36,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
1016111042,1147010100100850138,서울특별시 양천구 신정동 85-138번지,,,,일반건축물,01000,단독주택,주택,,벽돌구조,기와,0.0,84.3,117.03,0.0,0.0,0.0,1,1,0,0,0,0,1,0,0,0,0,,,1979-07-24,2022-08-13
