mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
102012107,1156010100100280091,서울특별시 영등포구 영등포동 28-91번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,33.05,33.05,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1959-12-08,2022-08-13
102012108,1156010100100280101,서울특별시 영등포구 영등포동 28-101번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,59.5,59.5,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
102012109,1156010100100330067,서울특별시 영등포구 영등포동 33-67번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,59.5,59.5,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
102012110,1156010100100330077,서울특별시 영등포구 영등포동 33-77번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,46.28,46.28,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1936-02-25,2022-08-13
102012111,1156010100100340022,서울특별시 영등포구 영등포동 34-22번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,54.78,54.78,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
102012112,1156010100100390001,서울특별시 영등포구 영등포동 39-1번지,,,,일반건축물,04000,제2종근린생활시설,영업,근린생활2,일반목구조,기와,0.0,23.14,46.28,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,,,,2022-08-13
102012117,1156010100100460005,서울특별시 영등포구 영등포동 46-5번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,42.98,42.98,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
102012118,1156010100100460006,서울특별시 영등포구 영등포동 46-6번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,21.82,21.82,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1960-11-20,2022-08-13
102012119,1156010100100540001,서울특별시 영등포구 영등포동 54-1번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,19.83,19.83,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
102012120,1156010100100550000,서울특별시 영등포구 영등포동 55번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,26.45,26.45,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
102012121,1156010100100550004,서울특별시 영등포구 영등포동 55-4번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,13.22,13.22,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1971-08-28,2022-08-13
102012122,1156010100100570005,서울특별시 영등포구 영등포동 57-5번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,60.83,60.83,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1960-12-19,2022-08-13
