mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
1004117695,1117010100100010001,서울특별시 용산구 후암동 1-1번지,서울특별시 용산구 후암로44길 23 (후암동),,,일반건축물,01000,단독주택,다가구주택(2가구),,벽돌구조,(철근)콘크리트,298.44,131.82,274.5,44.17,78.5,9.2,3,1,0,0,0,0,2,0,0,0,0,,,1971-07-25,2022-08-13
100414322,1117010100100010010,서울특별시 용산구 후암동 1-10번지,서울특별시 용산구 후암로34길 31-17 (후암동),남산애지앙아파트,,표제부,02000,공동주택,공동주택(아파트),,철근콘크리트구조,(철근)콘크리트,773.5,443.71,2415.3,57.36,233.61,17.8,5,1,2,0,0,18,0,0,0,21,0,2002-10-19,2002-10-30,2003-09-23,2022-08-13
1004114487,1117010100100010012,서울특별시 용산구 후암동 1-12번지,서울특별시 용산구 후암로48길 13 (후암동),,,일반건축물,01000,단독주택,주택,,벽돌구조,(철근)콘크리트,89.2,44.48,134.84,49.86,97.53,7.9,2,1,0,0,0,0,1,0,0,0,0,1989-03-03,1989-04-11,1989-06-12,2022-08-13
10041100219679,1117010100100010013,서울특별시 용산구 후암동 1-13번지,서울특별시 용산구 후암로44길 9 (후암동),트레져빌남산1-13,트레져빌남산1-13,표제부,02000,공동주택,도시형생활주택(단지형다세대12세대),,철근콘크리트구조,(철근)콘크리트,264.86,156.49,639.04,59.08,170.17,11.8,4,1,1,0,0,12,0,0,0,6,0,2019-04-16,2019-08-22,2020-07-08,2022-08-13
10041789,1117010100100010014,서울특별시 용산구 후암동 1-14번지,서울특별시 용산구 후암로44길 3 (후암동),후암제일교회,비동,일반건축물,06000,종교시설,종교집회장,,철근콘크리트구조,(철근)콘크리트,0.0,47.25,271.08,0.0,0.0,9.95,3,1,0,0,0,0,0,0,0,4,0,2003-09-23,2003-10-02,2005-10-05,2022-08-13
10041790,1117010100100010014,서울특별시 용산구 후암동 1-14번지,서울특별시 용산구 후암로44길 3 (후암동),후암제일교회,에이동,일반건축물,06000,종교시설,"교회,교육관",,철근콘크리트구조,(철근)콘크리트,0.0,362.35,1062.85,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,0,0,,,1971-01-08,2022-08-13
1004119895,1117010100100010017,서울특별시 용산구 후암동 1-17번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,0.0,31.41,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1954-09-18,2022-08-13
1004119894,1117010100100010017,서울특별시 용산구 후암동 1-17번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,0.0,39.67,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1951-05-06,2022-08-13
1004123572,1117010100100010018,서울특별시 용산구 후암동 1-18번지,서울특별시 용산구 후암로44길 14 (후암동),,,일반건축물,01000,단독주택,"근린생활시설,다가구용단독주택(4가구)",,철근콘크리트구조,(철근)콘크리트,125.3,75.3,291.66,60.1,168.79,8.7,3,1,0,0,0,0,4,0,0,2,0,1991-11-30,,1992-01-09,2022-08-13
1004124708,1117010100100010020,서울특별시 용산구 후암동 1-20번지,서울특별시 용산구 후암로44길 8 (후암동),,,표제부,02000,공동주택,공동주택,,철근콘크리트구조,(철근)콘크리트,0.0,288.53,1904.8,0.0,0.0,0.0,6,1,0,0,0,20,0,0,0,0,0,,,1974-07-09,2022-08-13
