mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
10131855,1138010100100010084,서울특별시 은평구 수색동 1-84번지,,,,일반건축물,01000,단독주택,주택,,블록구조,(철근)콘크리트,0.0,0.0,54.97,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1985-06-28,2022-08-13
10131856,1138010100100010116,서울특별시 은평구 수색동 1-116번지,,,,일반건축물,01000,단독주택,"주택,점포",,블록구조,(철근)콘크리트,0.0,0.0,52.32,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1985-06-28,2022-08-13
10131857,1138010100100010340,서울특별시 은평구 수색동 1-340번지,,,,일반건축물,01000,단독주택,주택,,블록구조,슬레이트,0.0,0.0,19.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1985-06-28,2022-08-13
10131859,1138010100100010364,서울특별시 은평구 수색동 1-364번지,,,,일반건축물,01000,단독주택,주택,,벽돌구조,기와,0.0,0.0,49.98,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1974-10-25,2022-08-13
10131858,1138010100100010364,서울특별시 은평구 수색동 1-364번지,,,,일반건축물,01000,단독주택,주택,,블록구조,기와,0.0,0.0,111.04,0.0,0.0,0.0,2,0,0,0,0,0,1,0,0,0,0,,,1974-10-25,2022-08-13
10131860,1138010100100010410,서울특별시 은평구 수색동 1-410번지,,,,일반건축물,03000,제1종근린생활시설,점포,근린생활1,블록구조,슬레이트,0.0,0.0,39.37,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1971-06-22,2022-08-13
10131861,1138010100100010426,서울특별시 은평구 수색동 1-426번지,,,,일반건축물,01000,단독주택,주택,,블록구조,기와,0.0,0.0,43.15,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1985-06-28,2022-08-13
10131999,1138010100100310007,서울특별시 은평구 수색동 31-7번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,0.0,83.8,0.0,0.0,0.0,2,0,0,0,0,0,1,0,0,0,0,,,1944-08-10,2022-08-13
10131100317915,1138010100100310036,서울특별시 은평구 수색동 31-36번지,서울특별시 은평구 수색로 212 (수색동),대한예수교장로회 서부교회,,일반건축물,06000,종교시설,"종교시설(교회),단독주택",,철근콘크리트구조,(철근)콘크리트,674.2,335.16,1816.58,49.71,158.6,18.25,5,2,1,0,0,0,0,0,0,12,2,2020-03-12,2020-08-06,2022-01-05,2022-08-13
101312386,1138010100100320006,서울특별시 은평구 수색동 32-6번지,서울특별시 은평구 수색로12길 4 (수색동),,,표제부,02000,공동주택,연립주택,,벽돌구조,(철근)콘크리트,0.0,202.58,602.74,0.0,0.0,0.0,2,1,0,0,0,14,0,0,0,0,0,,,1984-04-20,2022-08-13
10131100212009,1138010100100370002,서울특별시 은평구 수색동 37-2번지,서울특별시 은평구 수색로 193 (수색동),디지털미디어시티역,,일반건축물,08000,운수시설,판매 및 영업시설(철도역사),,철골철근콘크리트구조,(철근)콘크리트,12862.5,2085.21,3210.94,16.21,24.96,18.6,2,0,26,0,0,0,0,0,0,0,63,2006-10-16,2007-06-27,2009-05-11,2022-08-13
101311056,1138010100100370016,서울특별시 은평구 수색동 37-16번지,서울특별시 은평구 수색로 233 (수색동),,,일반건축물,04000,제2종근린생활시설,업무시설,근린생활2,철근콘크리트구조,(철근)콘크리트,674.0,51.75,51.75,7.67,7.67,3.47,1,0,0,0,0,0,0,0,0,0,0,1984-12-17,,1984-12-17,2022-08-13
101311058,1138010100100420000,서울특별시 은평구 수색동 42번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,0.0,23.14,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1948-02-05,2022-08-13
101311059,1138010100100720001,서울특별시 은평구 수색동 72-1번지,서울특별시 은평구 수색로 245 (수색동),,,일반건축물,Z3000,근린생활시설,"근린생활시설,판매시설",,철근콘크리트구조,(철근)콘크리트,5057.0,1100.01,2609.95,21.75,46.61,11.75,3,1,0,0,0,0,0,0,0,0,33,,,1980-09-15,2022-08-13
10131100197946,1138010100100750000,서울특별시 은평구 수색동 75번지,서울특별시 은평구 수색로 217 (수색동),디엠씨 자이1단지(DMC 자이1),,표제부,02000,공동주택,"아파트,판매시설",,철근콘크리트구조,(철근)콘크리트,9775.8,4866.84,80778.41,49.78,498.04,59.94,19,4,17,3,0,254,0,0,0,703,0,2003-10-17,2005-10-12,2009-09-24,2022-08-13
101311063,1138010100100760004,서울특별시 은평구 수색동 76-4번지,서울특별시 은평구 수색로 234 (수색동),,,일반건축물,03000,제1종근린생활시설,근린생활시설,근린생활1,철근콘크리트구조,(철근)콘크리트,163.0,0.0,344.05,0.0,0.0,0.0,3,1,0,0,0,0,0,0,0,0,0,1985-07-06,,1985-12-18,2022-08-13
101311064,1138010100100760027,서울특별시 은평구 수색동 76-27번지,서울특별시 은평구 수색로 232 (수색동),,,일반건축물,03000,제1종근린생활시설,점포,근린생활1,벽돌구조,슬레이트,0.0,0.0,69.79,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1966-04-30,2022-08-13
101311065,1138010100100760031,서울특별시 은평구 수색동 76-31번지,서울특별시 은평구 수색로 224 (수색동),,,일반건축물,04000,제2종근린생활시설,"주택, 근린생활시설",근린생활2,벽돌구조,기와,0.0,0.0,84.15,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1985-05-22,2022-08-13
101311066,1138010100100770005,서울특별시 은평구 수색동 77-5번지,서울특별시 은평구 수색로 228 (수색동),,,일반건축물,04000,제2종근린생활시설,근린생활시설,근린생활2,철근콘크리트구조,(철근)콘크리트,385.0,140.38,171.79,36.46,36.46,2.8,1,1,0,0,1,0,0,0,0,0,0,,,1971-10-13,2022-08-13
