mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
100212386,1111010100100010000,서울특별시 종로구 청운동 1번지,서울특별시 종로구 자하문로36길 16-14 (청운동),청운벽산빌리지,5동,표제부,02000,공동주택,공동주택,,철근콘크리트구조,(철근)콘크리트,0.0,0.0,5653.83,0.0,0.0,0.0,3,2,0,0,0,12,0,0,0,0,0,1987-04-04,,1988-11-11,2022-08-13
100212389,1111010100100010000,서울특별시 종로구 청운동 1번지,서울특별시 종로구 자하문로36길 16-14 (청운동),청운벽산빌리지,10동,표제부,02000,공동주택,공동주택,,철근콘크리트구조,(철근)콘크리트,0.0,0.0,6153.55,0.0,0.0,0.0,3,2,0,0,0,24,0,0,0,0,0,1987-04-04,,1988-11-11,2022-08-13
100212384,1111010100100010000,서울특별시 종로구 청운동 1번지,서울특별시 종로구 자하문로36길 16-14 (청운동),청운벽산빌리지,8동,표제부,02000,공동주택,공동주택,,철근콘크리트구조,(철근)콘크리트,0.0,0.0,4772.55,0.0,0.0,0.0,3,2,0,0,0,12,0,0,0,0,0,1987-04-04,,1988-11-11,2022-08-13
100212381,1111010100100010000,서울특별시 종로구 청운동 1번지,서울특별시 종로구 자하문로36길 16-14 (청운동),청운벽산빌리지,7동,표제부,02000,공동주택,공동주택,,철근콘크리트구조,(철근)콘크리트,0.0,0.0,4686.15,0.0,0.0,0.0,3,2,0,0,0,6,0,0,0,0,0,1987-04-04,,1988-11-11,2022-08-13
100212382,1111010100100010000,서울특별시 종로구 청운동 1번지,서울특별시 종로구 자하문로36길 16-14 (청운동),청운벽산빌리지,3동,표제부,02000,공동주택,공동주택,,철근콘크리트구조,(철근)콘크리트,0.0,0.0,6572.1,0.0,0.0,0.0,3,2,0,0,0,18,0,0,0,0,0,1987-04-04,,1988-11-11,2022-08-13
100212383,1111010100100010000,서울특별시 종로구 청운동 1번지,서울특별시 종로구 자하문로36길 16-14 (청운동),청운벽산빌리지,9동,표제부,02000,공동주택,공동주택,,철근콘크리트구조,(철근)콘크리트,0.0,0.0,5489.43,0.0,0.0,0.0,3,2,0,0,0,18,0,0,0,0,0,1987-04-04,,1988-11-11,2022-08-13
100212388,1111010100100010000,서울특별시 종로구 청운동 1번지,서울특별시 종로구 자하문로36길 16-14 (청운동),청운벽산빌리지,1동,표제부,02000,공동주택,공동주택,,철근콘크리트구조,(철근)콘크리트,0.0,0.0,4663.05,0.0,0.0,0.0,3,2,0,0,0,6,0,0,0,0,0,1987-04-04,,1988-11-11,2022-08-13
100212385,1111010100100010000,서울특별시 종로구 청운동 1번지,서울특별시 종로구 자하문로36길 16-14 (청운동),청운벽산빌리지,6동,표제부,02000,공동주택,공동주택,,철근콘크리트구조,(철근)콘크리트,0.0,0.0,6732.21,0.0,0.0,0.0,3,2,0,0,0,18,0,0,0,0,0,1987-04-04,,1988-11-11,2022-08-13
100212390,1111010100100010000,서울특별시 종로구 청운동 1번지,서울특별시 종로구 자하문로36길 16-14 (청운동),청운벽산빌리지상가,,표제부,03000,제1종근린생활시설,판매시설,근린생활1,철근콘크리트구조,(철근)콘크리트,0.0,0.0,449.83,0.0,0.0,0.0,1,1,0,0,0,2,0,0,0,0,0,1988-04-04,,1988-11-11,2022-08-13
100212387,1111010100100010000,서울특별시 종로구 청운동 1번지,서울특별시 종로구 자하문로36길 16-14 (청운동),청운벽산빌리지,2동,표제부,02000,공동주택,공동주택,,철근콘크리트구조,(철근)콘크리트,0.0,0.0,5829.03,0.0,0.0,0.0,3,2,0,0,0,12,0,0,0,0,0,1987-04-04,,1988-11-11,2022-08-13
100214997,1111010100100020000,서울특별시 종로구 청운동 2번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,0.0,19.83,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1956-03-05,2022-08-13
100211304,1111010100100030000,서울특별시 종로구 청운동 3번지,서울특별시 종로구 자하문로36길 16-11 (청운동),인텔빌라,비동,표제부,02000,공동주택,연립주택,,철근콘크리트구조,(철근)콘크리트,0.0,0.0,2662.23,0.0,0.0,0.0,3,1,0,0,0,9,0,0,0,0,0,1989-05-25,,1990-11-27,2022-08-13
100211303,1111010100100030000,서울특별시 종로구 청운동 3번지,서울특별시 종로구 자하문로36길 16-11 (청운동),인텔빌라,씨동,표제부,02000,공동주택,연립주택,,철근콘크리트구조,(철근)콘크리트,6659.0,0.0,2662.33,0.0,0.0,0.0,3,1,0,0,0,9,0,0,0,0,0,1989-05-25,,1990-11-27,2022-08-13
100219315,1111010100100030100,서울특별시 종로구 청운동 3-100번지,서울특별시 종로구 창의문로 119 (청운동),,윤동주문학관,일반건축물,05000,문화및집회시설,문화 및 집회시설,,철근콘크리트구조,(철근)콘크리트,1104.1,173.85,187.72,16.2,11.52,6.9,1,0,0,0,0,0,0,0,0,0,0,,,1974-09-01,2022-08-13
100216786,1111010100100030150,서울특별시 종로구 청운동 3-150번지,서울특별시 종로구 자하문로36길 16-5 (청운동),인텔빌라,에이동,표제부,02000,공동주택,연립주택,,철근콘크리트구조,(철근)콘크리트,0.0,0.0,2205.425,0.0,0.0,0.0,3,1,0,0,0,8,0,0,0,0,0,1986-12-27,,1988-12-01,2022-08-13
1002129431,1111010100100040001,서울특별시 종로구 청운동 4-1번지,서울특별시 종로구 자하문로36길 28 (청운동),청운동 파라디아 아델하우스,청운동 파라디아 아델하우스,표제부,02000,공동주택,연립주택,,철근콘크리트구조,(철근)콘크리트,2721.72,814.26,4748.37,29.92,87.52,11.77,3,2,3,0,0,12,0,0,0,45,0,2005-08-11,2006-02-15,2007-07-25,2022-08-13
100215735,1111010100100040003,서울특별시 종로구 청운동 4-3번지,서울특별시 종로구 자하문로36길 21 (청운동),투스칸2,투스칸2,표제부,02000,공동주택,연립주택,,철근콘크리트구조,(철근)콘크리트,860.87,255.6,1536.11,29.69,84.11,11.65,3,2,1,0,0,4,0,0,0,12,2,2006-07-07,2006-08-07,2007-06-19,2022-08-13
100216197,1111010100100040007,서울특별시 종로구 청운동 4-7번지,서울특별시 종로구 자하문로36길 22 (청운동),신구파인힐,,표제부,02000,공동주택,연립주택,,철근콘크리트구조,(철근)콘크리트,1479.65,440.78,2283.68,29.79,87.41,11.49,3,2,0,0,0,8,0,0,0,21,0,1999-04-16,1999-05-18,2000-09-29,2022-08-13
100214713,1111010100100040014,서울특별시 종로구 청운동 4-14번지,서울특별시 종로구 자하문로36길 27 (청운동),,리뉴빌,표제부,02000,공동주택,공동주택(다세대주택),,철근콘크리트구조,(철근)콘크리트,571.16,171.05,813.96,29.94,87.25,11.95,3,1,0,0,0,4,0,0,0,4,3,2003-03-20,2003-04-15,2004-01-08,2022-08-13
1002116877,1111010100100040015,서울특별시 종로구 청운동 4-15번지,서울특별시 종로구 자하문로36길 23 (청운동),,,일반건축물,01000,단독주택,주택,,벽돌구조,(철근)콘크리트,416.2,178.54,352.5,42.9,72.24,0.0,2,1,0,0,0,0,1,0,0,0,0,,,1967-12-20,2022-08-13
100218419,1111010100100040018,서울특별시 종로구 청운동 4-18번지,서울특별시 종로구 자하문로36길 34 (청운동),,,일반건축물,01000,단독주택,단독주택(1가구),,벽돌구조,(철근)콘크리트,1193.4,268.7,480.62,22.52,32.45,7.95,2,1,0,0,0,0,1,0,0,0,4,1993-07-05,1993-09-08,1994-11-19,2022-08-13
10021100200095,1111010100100040020,서울특별시 종로구 청운동 4-20번지,서울특별시 종로구 자하문로36길 40 (청운동),청운문학도서관,,일반건축물,03000,제1종근린생활시설,"공공도서관,휴게음식점",근린생활1,철근콘크리트구조,(철근)콘크리트,1238.5,157.87,744.82,12.75,16.3,7.215,1,1,1,0,0,0,0,0,0,0,4,,2013-02-22,2014-11-10,2022-08-13
100214568,1111010100100040022,서울특별시 종로구 청운동 4-22번지,서울특별시 종로구 자하문로36길 38 (청운동),,,일반건축물,01000,단독주택,주택,,벽돌구조,(철근)콘크리트,0.0,0.0,260.86,0.0,0.0,0.0,1,1,0,0,0,0,1,0,0,0,0,,,1982-06-02,2022-08-13
1002111246,1111010100100040025,서울특별시 종로구 청운동 4-25번지,서울특별시 종로구 자하문로36길 41 (청운동),,,일반건축물,01000,단독주택,주택,,벽돌구조,(철근)콘크리트,0.0,0.0,323.7,0.0,0.0,0.0,3,1,0,0,0,0,1,0,0,0,0,,,1968-08-28,2022-08-13
1000000000000005206087,1111010100100040035,서울특별시 종로구 청운동 4-35번지,서울특별시 종로구 자하문로36길 17 (청운동),청운 THE HILLS,주건축물 A동,표제부,02000,공동주택,다세대주택,,철근콘크리트구조,(철근)콘크리트,1063.0,209.89,659.06,19.75,55.59,13.8,4,1,1,0,0,7,0,0,0,0,0,2023-06-27,2023-12-06,2024-12-23,2025-04-04
1000000000000005206095,1111010100100040035,서울특별시 종로구 청운동 4-35번지,서울특별시 종로구 자하문로36길 17 (청운동),청운 THE HILLS,주건축물 B동,표제부,02000,공동주택,다세대주택,,철근콘크리트구조,(철근)콘크리트,1063.0,209.89,670.62,19.75,48.18,13.8,4,1,1,0,0,6,0,0,0,0,0,2023-06-27,2023-12-06,2024-12-23,2025-02-20
1002125599,1111010100100040039,서울특별시 종로구 청운동 4-39번지,,,,일반건축물,10000,교육연구시설,교실,,벽돌구조,(철근)콘크리트,0.0,66.21,66.21,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1971-08-11,2022-08-13
