mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
100311379,1114010100100010000,서울특별시 중구 무교동 1번지,서울특별시 중구 무교로 32 (무교동),효령빌딩,,표제부,14000,업무시설,"근린생활시설, 업무시설",업무시설,철근콘크리트구조,(철근)콘크리트,0.0,0.0,11391.25,0.0,0.0,0.0,15,4,0,0,0,58,0,0,0,32,5,,,1985-10-16,2022-08-13
100311333,1114010100100070000,서울특별시 중구 무교동 7번지,서울특별시 중구 무교로 28 (무교동),,,일반건축물,14000,업무시설,"업무시설, 판매시설",업무시설,철근콘크리트구조,(철근)콘크리트,983.0,0.0,7766.85,0.0,0.0,0.0,13,4,0,0,0,0,0,0,0,0,0,1980-01-16,,1984-03-09,2026-06-12
100311334,1114010100100070001,서울특별시 중구 무교동 7-1번지,서울특별시 중구 무교로 28-2 (무교동),,,일반건축물,03000,제1종근린생활시설,점포,근린생활1,벽돌구조,슬레이트,0.0,0.0,410.31,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,,,,2022-08-13
100311336,1114010100100090002,서울특별시 중구 무교동 9-2번지,서울특별시 중구 무교로 26 (무교동),,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,0.0,187.22,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
100311338,1114010100100100002,서울특별시 중구 무교동 10-2번지,서울특별시 중구 을지로1길 47 (무교동),,,일반건축물,03000,제1종근린생활시설,근린생활시설,근린생활1,일반목구조,기와,0.0,0.0,88.72,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,,,,2022-08-13
100311339,1114010100100110000,서울특별시 중구 무교동 11번지,서울특별시 중구 다동길 5 (무교동),광일빌딩,,일반건축물,14000,업무시설,"사무실, 근린생활시설",업무시설,철근콘크리트구조,(철근)콘크리트,496.47,411.67,6431.39,72.16,1128.0,45.2,15,2,2,0,0,0,0,0,0,0,0,1967-02-20,1967-02-20,1969-12-20,2022-08-13
100311340,1114010100100120000,서울특별시 중구 무교동 12번지,,,,일반건축물,04000,제2종근린생활시설,교회,근린생활2,벽돌구조,,0.0,0.0,350.41,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,,,1918-09-30,2022-08-13
100311341,1114010100100120001,서울특별시 중구 무교동 12-1번지,서울특별시 중구 무교로 24 (무교동),,,일반건축물,04000,제2종근린생활시설,"점포, 제2종근린생활시설, 위락시설, 창고",근린생활2,철근콘크리트구조,기타지붕,0.0,0.0,893.92,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,,,,2022-08-13
100311347,1114010100100190000,서울특별시 중구 무교동 19번지,서울특별시 중구 무교로 16 (무교동),대한체육회 체육회관,,일반건축물,14000,업무시설,"업무시설, 근린생활시설, 운동시설",업무시설,철근콘크리트구조,(철근)콘크리트,1171.8,655.19,7017.12,55.92,533.41,36.83,10,1,2,0,0,0,0,0,0,0,0,,,1966-06-15,2022-08-13
100311380,1114010100100200000,서울특별시 중구 무교동 20번지,서울특별시 중구 남대문로9길 52 (무교동),,,표제부,07000,판매시설,점포,판매시설,블록구조,슬레이트,0.0,0.0,770.9,0.0,0.0,0.0,3,0,0,0,0,5,0,0,0,0,0,,,1968-12-20,2022-08-13
100311348,1114010100100210001,서울특별시 중구 무교동 21-1번지,서울특별시 중구 무교로 14 (무교동),,,일반건축물,03000,제1종근린생활시설,"사무실, 제2종근린생활시설",근린생활1,철근콘크리트구조,(철근)콘크리트,0.0,0.0,562.81,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0,0,0,,,1961-01-30,2022-08-13
100311351,1114010100100210003,서울특별시 중구 무교동 21-3번지,서울특별시 중구 무교로 12 (무교동),,,일반건축물,04000,제2종근린생활시설,영업,근린생활2,벽돌구조,기와,0.0,0.0,72.72,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,,,1942-10-20,2022-08-13
100311350,1114010100100210003,서울특별시 중구 무교동 21-3번지,서울특별시 중구 무교로 12 (무교동),,,일반건축물,03000,제1종근린생활시설,"제1,2종근린생활시설",근린생활1,철근콘크리트구조,(철근)콘크리트,135.2,121.55,1140.26,89.9,629.33,22.65,7,2,0,0,0,0,0,0,0,0,0,,,1969-12-28,2023-03-24
100311349,1114010100100210003,서울특별시 중구 무교동 21-3번지,서울특별시 중구 무교로 12 (무교동),,,일반건축물,03000,제1종근린생활시설,"주택, 점포",근린생활1,벽돌구조,기와,0.0,0.0,106.94,0.0,0.0,0.0,2,0,0,0,0,0,1,0,0,0,0,,,,2022-08-13
100311352,1114010100100240002,서울특별시 중구 무교동 24-2번지,서울특별시 중구 무교로 13 (무교동),,,일반건축물,03000,제1종근린생활시설,"제1종근린생활시설, 숙박시",근린생활1,철근콘크리트구조,(철근)콘크리트,155.4,133.42,1820.85,85.8,1111.2162,47.4,13,1,1,0,0,0,0,0,0,0,0,,,1970-08-29,2026-01-23
100311353,1114010100100250001,서울특별시 중구 무교동 25-1번지,서울특별시 중구 세종대로20길 23 (무교동),,,일반건축물,14000,업무시설,"사무실, 근린생활시설, 음식점, 점포",업무시설,철근콘크리트구조,(철근)콘크리트,476.0,477.65,3477.48,100.35,630.21638,25.2,7,1,0,0,0,0,0,0,0,0,0,,,1960-02-25,2024-03-27
100311354,1114010100100270000,서울특별시 중구 무교동 27번지,서울특별시 중구 무교로 17-13 (무교동),,,일반건축물,04000,제2종근린생활시설,근린생활시설,근린생활2,일반목구조,기와,0.0,0.0,72.73,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1937-11-06,2022-08-13
100311357,1114010100100310000,서울특별시 중구 무교동 31번지,서울특별시 중구 무교로 17-17 (무교동),,,일반건축물,04000,제2종근린생활시설,영업,근린생활2,철근콘크리트구조,슬레이트,0.0,0.0,521.22,0.0,0.0,0.0,5,1,0,0,0,0,0,0,0,0,0,,,1959-12-08,2023-09-11
100311358,1114010100100320002,서울특별시 중구 무교동 32-2번지,서울특별시 중구 무교로 15 (무교동),남강건설회관빌딩,,일반건축물,14000,업무시설,업무시설,업무시설,철근콘크리트구조,(철근)콘크리트,601.3,477.19,10048.33,79.36,1516.1,66.3,19,2,0,0,0,0,0,0,0,5,0,1968-05-30,,1973-12-14,2022-08-13
100311359,1114010100100330001,서울특별시 중구 무교동 33-1번지,서울특별시 중구 무교로 17 (무교동),,,일반건축물,04000,제2종근린생활시설,제2종근린생활시설,근린생활2,철근콘크리트구조,(철근)콘크리트,0.0,0.0,694.91,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,,,1965-12-07,2022-08-13
100311361,1114010100100390003,서울특별시 중구 무교동 39-3번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,0.0,62.81,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1949-12-20,2022-08-13
100311364,1114010100100450000,서울특별시 중구 무교동 45번지,서울특별시 중구 무교로 21 (무교동),더익스체인지서울,,일반건축물,14000,업무시설,"업무시설, 근린생활시설",업무시설,철근콘크리트구조,(철근)콘크리트,3495.2,1891.93,29481.73,54.129377,665.10614,0.0,15,3,5,1,0,0,0,0,0,66,34,,,1980-12-01,2024-02-21
100311363,1114010100100450000,서울특별시 중구 무교동 45번지,서울특별시 중구 무교로 19 (무교동),더익스체인지서울몰,,일반건축물,04000,제2종근린생활시설,제2종근린생활시설,근린생활2,철근콘크리트구조,(철근)콘크리트,309.3,184.94,1539.62,59.793081,445.61913,32.8,9,1,1,0,0,0,0,0,0,0,0,,,1965-12-19,2024-11-11
100311365,1114010100100530000,서울특별시 중구 무교동 53번지,,,,일반건축물,03000,제1종근린생활시설,회관,근린생활1,벽돌구조,기와,0.0,0.0,78.01,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,,,1959-05-02,2022-08-13
100311371,1114010100100770000,서울특별시 중구 무교동 77번지,서울특별시 중구 청계천로 14 (무교동),,,표제부,14000,업무시설,업무시설,업무시설,철근콘크리트구조,(철근)콘크리트,1668.5,749.78,16445.28,44.93,643.5,64.6,15,4,2,1,0,0,0,0,0,80,13,1983-10-18,,1985-08-26,2022-08-13
100311372,1114010100100800000,서울특별시 중구 무교동 80번지,,,,일반건축물,04000,제2종근린생활시설,사무실,근린생활2,일반목구조,기와,0.0,0.0,112.4,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,1934-08-05,2022-08-13
100311374,1114010100100940002,서울특별시 중구 무교동 94-2번지,,,,일반건축물,01000,단독주택,주택,,일반목구조,기와,0.0,0.0,42.98,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,,,1936-04-10,2022-08-13
