mgmBldrgstPk,PNU,지번주소,도로명주소,건물명,동명칭,대장종류,주용도코드,주용도,상세용도,용도군,구조,지붕,대지면적_㎡,건축면적_㎡,연면적_㎡,건폐율_pct,용적률_pct,높이_m,지상층수,지하층수,승용승강기,비상용승강기,호수,세대수,가구수,옥내기계식_대수,옥외기계식_대수,옥내자주식_대수,옥외자주식_대수,허가일,착공일,사용승인일,생성일
1008113185,1126010100100010001,서울특별시 중랑구 면목동 1-1번지,서울특별시 중랑구 용마산로96길 86 (면목동),,,표제부,02000,공동주택,공동주택(다세대),,철근콘크리트구조,(철근)콘크리트,145.1,86.47,337.46,59.59,232.57,10.5,4,0,0,0,0,4,0,0,0,0,3,2000-10-12,2000-10-14,2001-08-23,2022-08-13
10081678,1126010100100010002,서울특별시 중랑구 면목동 1-2번지,서울특별시 중랑구 용마산로96길 72 (면목동),,,일반건축물,01000,단독주택,다가구용단독주택(7가구),,벽돌구조,(철근)콘크리트,199.3,119.16,476.64,59.79,179.37,9.4,3,1,0,0,0,0,7,0,0,0,4,1996-06-25,1996-08-12,1996-12-30,2022-08-13
10081100200235,1126010100100010004,서울특별시 중랑구 면목동 1-4번지,서울특별시 중랑구 용마산로96길 60 (면목동),디아이빌,101,표제부,02000,공동주택,도시형생활주택(단지형다세대),,철근콘크리트구조,(철근)콘크리트,0.0,181.19,658.08,0.0,0.0,17.6,6,0,1,0,0,10,0,0,0,0,0,2012-03-26,2012-03-29,2012-11-14,2022-08-13
10081100200246,1126010100100010004,서울특별시 중랑구 면목동 1-4번지,서울특별시 중랑구 용마산로96길 60 (면목동),디아이빌,102,표제부,02000,공동주택,도시형생활주택(단지형다세대),,철근콘크리트구조,(철근)콘크리트,0.0,181.19,658.08,0.0,0.0,17.6,6,0,1,0,0,10,0,0,0,0,0,2012-03-26,2012-03-29,2012-11-14,2022-08-13
10081679,1126010100100010005,서울특별시 중랑구 면목동 1-5번지,서울특별시 중랑구 용마산로94길 55-34 (면목동),,,일반건축물,01000,단독주택,다가구용단독주택(7가구),,벽돌구조,(철근)콘크리트,160.7,92.22,341.68,57.39,157.06,0.0,3,1,0,0,0,0,7,0,0,0,2,1993-03-12,1993-05-15,1993-11-23,2022-08-13
10081680,1126010100100010007,서울특별시 중랑구 면목동 1-7번지,서울특별시 중랑구 용마산로94길 55-28 (면목동),,,일반건축물,01000,단독주택,단독주택,,벽돌구조,(철근)콘크리트,110.25,55.05,182.19,49.93,99.86,0.0,2,1,0,0,0,0,1,0,0,0,2,1989-10-13,,1990-02-17,2022-08-13
1008113190,1126010100100010008,서울특별시 중랑구 면목동 1-8번지,서울특별시 중랑구 용마산로94길 55-30 (면목동),행운하우스,,표제부,02000,공동주택,공동주택,,철근콘크리트구조,(철근)콘크리트,103.0,61.64,218.36,59.84,212.0,10.55,4,0,0,0,0,3,0,0,0,0,2,2002-07-25,2002-08-10,2003-01-10,2022-08-13
10081681,1126010100100010010,서울특별시 중랑구 면목동 1-10번지,서울특별시 중랑구 용마산로94길 55-24 (면목동),,,일반건축물,01000,단독주택,다가구주택(5가구),,철근콘크리트구조,(철근)콘크리트,101.8,60.72,252.39,59.65,188.28,11.9,4,1,0,0,0,0,5,0,0,0,2,1996-06-20,1997-01-29,1997-05-13,2022-08-13
10081682,1126010100100010011,서울특별시 중랑구 면목동 1-11번지,서울특별시 중랑구 용마산로94길 55-26 (면목동),,,일반건축물,01000,단독주택,단독주택,,벽돌구조,기타지붕,107.84,53.73,220.22,49.82,139.11,9.4,3,1,0,0,0,0,4,0,0,0,0,1989-04-19,,1990-03-08,2022-08-13
10081683,1126010100100010012,서울특별시 중랑구 면목동 1-12번지,서울특별시 중랑구 용마산로94다길 15 (면목동),,,일반건축물,01000,단독주택,다가구주택,,벽돌구조,(철근)콘크리트,114.7,67.71,226.33,59.03,136.5,0.0,3,1,0,0,0,0,4,0,0,0,0,1986-03-25,,1986-06-27,2022-08-13
10081684,1126010100100010013,서울특별시 중랑구 면목동 1-13번지,서울특별시 중랑구 용마산로94길 55-22 (면목동),,,일반건축물,01000,단독주택,주택,,벽돌구조,(철근)콘크리트,105.1,52.16,178.82,49.63,99.26,0.0,2,1,0,0,0,0,1,0,0,0,0,1988-07-21,,1989-04-17,2022-08-13
10081100231158,1126010100100010015,서울특별시 중랑구 면목동 1-15번지,서울특별시 중랑구 용마산로94길 55-8 (면목동),다온쉐르빌,,표제부,02000,공동주택,근린생활시설및 공동주택(다세대),,철근콘크리트구조,(철근)콘크리트,209.15,124.74,416.41,59.64,199.1,14.0,5,0,1,0,1,8,0,0,0,4,4,2016-06-23,2016-07-28,2016-12-08,2022-08-13
