상권_코드,상권_명,상가건물_수,근생1_수,근생2_수,판매_수,기타상업_수,연면적_중위_㎡,지상층수_중위,지하층보유_수,건물연식_중위_년,신축_10년이내_수,노후_30년이상_수
3001491,이태원 관광특구,352,139,198,5,0,295.2,3,250,43,8,295
3001492,명동 남대문 북창동 다동 무교동 관광특구,216,94,117,5,0,243.3,2,70,65,1,149
3001493,동대문패션타운 관광특구,67,34,17,16,0,712.8,4,40,42,0,55
3001494,종로·청계 관광특구,529,303,224,2,0,204.2,2,168,58,0,253
3001495,잠실 관광특구,30,12,11,7,0,730.9,2,18,38,0,24
3001496,강남 마이스 관광특구,3,0,1,2,0,13657.2,4,2,24,0,0
3110001,이북5도청사,22,5,17,0,0,221.6,2,14,33,0,13
3110002,독립문역 1번,38,18,20,0,0,196.7,3,22,46,0,24
3110003,세검정초등학교,84,25,59,0,0,289.1,2,62,42,0,73
3110004,대신고등학교,41,13,28,0,0,164.0,3,14,57,0,27
3110005,세검정,50,16,34,0,0,245.9,2,31,41,0,40
3110006,부암동주민센터,15,7,8,0,0,239.2,2,7,43,0,11
3110007,사직공원(한국사회과학도서관),59,17,42,0,0,275.0,3,41,39,0,43
3110008,배화여자대학교(박노수미술관),124,41,83,0,0,89.8,2,46,40,0,51
3110009,자하문터널,79,24,55,0,0,215.9,2,46,39,0,43
3110010,평창동서측,75,37,37,0,0,327.8,2,50,38,0,57
3110011,청운초등학교,18,2,16,0,0,306.4,2,11,54,0,13
3110012,성곡미술관,68,18,50,0,0,314.7,2,41,47,0,42
3110013,체부동홍종문가옥,12,6,6,0,0,51.1,1,4,39,0,3
3110014,경복고등학교,30,6,24,0,0,286.8,3,25,33,0,16
3110015,청와대사랑채,14,5,9,0,0,209.6,2,9,33,0,6
3110016,평창동동측,57,34,22,1,0,511.1,2,51,38,0,43
3110017,정독도서관,78,25,53,0,0,76.0,1,24,31,0,10
3110018,중앙고등학교,94,37,57,0,0,98.8,1,43,32,0,35
3110019,창덕궁,113,42,70,0,0,76.8,1,39,32,0,34
3110020,서울국제고등학교,89,25,64,0,0,259.8,3,64,33,0,60
3110021,성균관대학교,99,24,75,0,0,294.5,3,66,36,0,60
3110022,경신고등학교,39,6,33,0,0,321.7,3,28,34,0,21
3110023,서울대병원,25,8,17,0,0,215.4,4,12,32,0,15
3110024,혜회동주민센터,43,11,31,1,0,350.5,3,33,35,0,22
3110025,충신시장옆,80,27,53,0,0,315.4,4,53,34,0,48
3110026,종로5가역 4번,35,12,23,0,0,329.5,4,21,32,0,17
3110027,혜화역 1번,47,20,27,0,0,208.3,2,29,37,0,30
3110028,이화달팽이길,153,72,81,0,0,298.0,3,110,37,0,108
3110029,동대문역 1번,130,57,73,0,0,190.4,3,80,40,0,96
3110030,동대문역 3번,24,13,11,0,0,218.9,3,14,37,0,17
3110031,창신역 1번,43,17,25,1,0,148.8,3,19,38,0,28
3110032,수족관거리,29,14,15,0,0,60.2,1,5,63,0,18
3110033,창신역 4번,82,27,55,0,0,164.3,2,47,37,1,50
3110034,창신1동주민센터,37,28,9,0,0,61.2,1,5,74,0,26
3110035,동묘앞역 2번,84,25,59,0,0,208.7,3,42,42,0,65
3110036,동묘앞역 3번,42,26,16,0,0,220.2,2,19,52,0,38
3110037,신설동역 12번,122,56,66,0,0,241.9,3,68,41,1,90
3110038,경향신문사,22,7,15,0,0,205.1,2,12,59,0,14
3110039,회현역 1번,14,3,11,0,0,283.0,2,8,61,0,9
3110040,중구회현체육센터(정화예술대남산캠퍼스),44,21,23,0,0,204.8,2,23,36,0,26
3110041,남산케이블카,64,32,32,0,0,291.4,2,40,43,0,53
3110042,남산골공원옆,100,27,73,0,0,510.5,3,78,29,3,38
3110043,충무초등학교,99,52,47,0,0,290.2,3,58,42,0,74
3110044,관성묘,15,6,9,0,0,455.6,4,12,38,0,10
3110045,동대문역사문화공원역 5번,85,43,42,0,0,154.0,2,35,45,0,50
3110046,버티고개,15,4,11,0,0,264.2,3,10,46,1,10
3110047,다산성곽길,32,11,21,0,0,243.0,2,19,46,0,24
3110048,장충동주민센터,70,23,47,0,0,484.0,4,59,35,0,45
3110049,장충단 고개,66,22,44,0,0,342.1,3,53,36,1,49
3110050,약수역 7번,16,7,9,0,0,412.0,3,14,32,0,8
3110051,한양공고앞 교차로,60,28,32,0,0,112.4,2,28,40,0,39
3110052,장충초등학교,113,74,39,0,0,286.8,3,69,39,0,83
3110053,청구역 1번,153,96,57,0,0,311.5,3,111,36,1,114
3110054,청구역 3번,104,50,54,0,0,490.0,4,89,36,0,84
