상가유형,지표,grain,권역,R_ONE_상권,기준_년분기_코드,값
소규모상가,공실률,권역,강남,,20243,5.10213732483002
소규모상가,공실률,권역,강남,,20244,3.96658086116205
소규모상가,공실률,권역,강남,,20251,4.02120869849712
소규모상가,공실률,권역,강남,,20252,4.00957601781517
소규모상가,공실률,권역,강남,,20253,5.52800970109064
소규모상가,공실률,권역,강남,,20254,4.68599418229401
소규모상가,공실률,권역,강남,,20261,3.01146177025427
소규모상가,공실률,권역,강남,,20262,2.81750696541115
소규모상가,공실률,권역,기타,,20243,5.13655523464862
소규모상가,공실률,권역,기타,,20244,4.63600485320645
소규모상가,공실률,권역,기타,,20251,5.05075516683919
소규모상가,공실률,권역,기타,,20252,5.31042432996835
소규모상가,공실률,권역,기타,,20253,6.32544872200403
소규모상가,공실률,권역,기타,,20254,6.37263216733175
소규모상가,공실률,권역,기타,,20261,7.45107669872493
소규모상가,공실률,권역,기타,,20262,7.2258800090097
소규모상가,공실률,권역,도심,,20243,6.19536490870164
소규모상가,공실률,권역,도심,,20244,6.88440916146923
소규모상가,공실률,권역,도심,,20251,6.12060176326805
소규모상가,공실률,권역,도심,,20252,4.20064027691528
소규모상가,공실률,권역,도심,,20253,5.05620270204546
소규모상가,공실률,권역,도심,,20254,5.3693936563512
소규모상가,공실률,권역,도심,,20261,4.76114856978686
소규모상가,공실률,권역,도심,,20262,4.63848862985268
소규모상가,공실률,권역,영등포신촌,,20243,2.764809862666
소규모상가,공실률,권역,영등포신촌,,20244,3.24269039844398
소규모상가,공실률,권역,영등포신촌,,20251,3.64670880729421
소규모상가,공실률,권역,영등포신촌,,20252,3.66403480928953
소규모상가,공실률,권역,영등포신촌,,20253,7.69555784549281
소규모상가,공실률,권역,영등포신촌,,20254,5.39442686904347
소규모상가,공실률,권역,영등포신촌,,20261,6.31019427696684
소규모상가,공실률,권역,영등포신촌,,20262,7.01951509549645
소규모상가,공실률,상권,강남,강남대로,20243,0.0
소규모상가,공실률,상권,강남,강남대로,20244,0.0
소규모상가,공실률,상권,강남,강남대로,20251,15.0108026184257
소규모상가,공실률,상권,강남,강남대로,20252,15.0108026184257
소규모상가,공실률,상권,강남,강남대로,20253,0.0
소규모상가,공실률,상권,강남,강남대로,20254,0.0
소규모상가,공실률,상권,강남,강남대로,20261,0.0
소규모상가,공실률,상권,강남,강남대로,20262,0.0
소규모상가,공실률,상권,강남,교대역,20243,0.0
소규모상가,공실률,상권,강남,교대역,20244,0.0
소규모상가,공실률,상권,강남,교대역,20251,0.0
소규모상가,공실률,상권,강남,교대역,20252,0.483150138905665
소규모상가,공실률,상권,강남,교대역,20253,0.486819365674366
소규모상가,공실률,상권,강남,교대역,20254,0.486819365674366
소규모상가,공실률,상권,강남,교대역,20261,0.491807309895983
소규모상가,공실률,상권,강남,교대역,20262,0.491807309895983
소규모상가,공실률,상권,강남,남부터미널,20243,0.0
소규모상가,공실률,상권,강남,남부터미널,20244,0.0
소규모상가,공실률,상권,강남,남부터미널,20251,0.0
소규모상가,공실률,상권,강남,남부터미널,20252,0.0
소규모상가,공실률,상권,강남,남부터미널,20253,0.0
소규모상가,공실률,상권,강남,남부터미널,20254,1.99123855037834
소규모상가,공실률,상권,강남,남부터미널,20261,1.99123855037834
소규모상가,공실률,상권,강남,남부터미널,20262,4.91596973317403
소규모상가,공실률,상권,강남,논현역,20243,0.0
소규모상가,공실률,상권,강남,논현역,20244,0.0
소규모상가,공실률,상권,강남,논현역,20251,0.0
소규모상가,공실률,상권,강남,논현역,20252,0.0
소규모상가,공실률,상권,강남,논현역,20253,0.0
소규모상가,공실률,상권,강남,논현역,20254,0.0
소규모상가,공실률,상권,강남,논현역,20261,0.0
소규모상가,공실률,상권,강남,논현역,20262,0.0
소규모상가,공실률,상권,강남,도산대로,20243,13.154974178369
소규모상가,공실률,상권,강남,도산대로,20244,6.16611669305553
소규모상가,공실률,상권,강남,도산대로,20251,0.0
소규모상가,공실률,상권,강남,도산대로,20252,0.0
소규모상가,공실률,상권,강남,도산대로,20253,0.0
소규모상가,공실률,상권,강남,도산대로,20254,0.0
소규모상가,공실률,상권,강남,도산대로,20261,0.0
소규모상가,공실률,상권,강남,도산대로,20262,0.0
소규모상가,공실률,상권,강남,신사역,20243,6.797693205863
소규모상가,공실률,상권,강남,신사역,20244,6.797693205863
소규모상가,공실률,상권,강남,신사역,20251,7.55694379411922
소규모상가,공실률,상권,강남,신사역,20252,19.8240862025024
소규모상가,공실률,상권,강남,신사역,20253,26.7527664341301
소규모상가,공실률,상권,강남,신사역,20254,27.4738117121449
소규모상가,공실률,상권,강남,신사역,20261,14.8760431186127
소규모상가,공실률,상권,강남,신사역,20262,14.8760431186127
소규모상가,공실률,상권,강남,압구정,20243,0.0
소규모상가,공실률,상권,강남,압구정,20244,0.0
소규모상가,공실률,상권,강남,압구정,20251,0.0
소규모상가,공실률,상권,강남,압구정,20252,0.0
소규모상가,공실률,상권,강남,압구정,20253,0.0
소규모상가,공실률,상권,강남,압구정,20254,0.0
소규모상가,공실률,상권,강남,압구정,20261,0.0
소규모상가,공실률,상권,강남,압구정,20262,0.0
소규모상가,공실률,상권,강남,청담,20243,17.3743302671685
소규모상가,공실률,상권,강남,청담,20244,14.4404380520891
소규모상가,공실률,상권,강남,청담,20251,9.62561827272362
소규모상가,공실률,상권,강남,청담,20252,0.0
소규모상가,공실률,상권,강남,청담,20253,12.3242469019409
소규모상가,공실률,상권,강남,청담,20254,5.82172222171859
소규모상가,공실률,상권,강남,청담,20261,4.88437236540327
소규모상가,공실률,상권,강남,청담,20262,2.02790292899167
소규모상가,공실률,상권,강남,테헤란로,20243,1.02278217866003
소규모상가,공실률,상권,강남,테헤란로,20244,1.02278217866003
소규모상가,공실률,상권,강남,테헤란로,20251,1.02278217866003
소규모상가,공실률,상권,강남,테헤란로,20252,1.02278217866003
소규모상가,공실률,상권,강남,테헤란로,20253,1.02678444048604
소규모상가,공실률,상권,강남,테헤란로,20254,1.02678444048604
소규모상가,공실률,상권,강남,테헤란로,20261,1.02678444048604
소규모상가,공실률,상권,강남,테헤란로,20262,1.02678444048604
소규모상가,공실률,상권,기타,가락시장,20243,17.1764154077664
소규모상가,공실률,상권,기타,가락시장,20244,0.0
소규모상가,공실률,상권,기타,가락시장,20251,0.0
소규모상가,공실률,상권,기타,가락시장,20252,0.0
소규모상가,공실률,상권,기타,가락시장,20253,0.0
소규모상가,공실률,상권,기타,가락시장,20254,0.638059774748539
소규모상가,공실률,상권,기타,가락시장,20261,4.91207863514106
소규모상가,공실률,상권,기타,가락시장,20262,4.91207863514106
소규모상가,공실률,상권,기타,건대입구,20243,0.0
소규모상가,공실률,상권,기타,건대입구,20244,0.0
소규모상가,공실률,상권,기타,건대입구,20251,5.07732663866493
소규모상가,공실률,상권,기타,건대입구,20252,15.150308180048
