상가유형,지표,grain,권역,R_ONE_상권,기준_년분기_코드,값
소규모상가,임대가격지수,권역,강남,,20241,99.3
소규모상가,임대가격지수,권역,강남,,20242,100.0
소규모상가,임대가격지수,권역,강남,,20243,100.52
소규모상가,임대가격지수,권역,강남,,20244,101.06
소규모상가,임대가격지수,권역,강남,,20251,101.44
소규모상가,임대가격지수,권역,강남,,20252,101.7
소규모상가,임대가격지수,권역,강남,,20253,102.13
소규모상가,임대가격지수,권역,강남,,20254,102.73
소규모상가,임대가격지수,권역,강남,,20261,103.41
소규모상가,임대가격지수,권역,강남,,20262,103.93
소규모상가,임대가격지수,권역,기타,,20241,99.23
소규모상가,임대가격지수,권역,기타,,20242,100.0
소규모상가,임대가격지수,권역,기타,,20243,100.81
소규모상가,임대가격지수,권역,기타,,20244,101.28
소규모상가,임대가격지수,권역,기타,,20251,101.54
소규모상가,임대가격지수,권역,기타,,20252,101.84
소규모상가,임대가격지수,권역,기타,,20253,102.23
소규모상가,임대가격지수,권역,기타,,20254,102.67
소규모상가,임대가격지수,권역,기타,,20261,103.07
소규모상가,임대가격지수,권역,기타,,20262,103.51
소규모상가,임대가격지수,권역,도심,,20241,99.2
소규모상가,임대가격지수,권역,도심,,20242,100.0
소규모상가,임대가격지수,권역,도심,,20243,100.41
소규모상가,임대가격지수,권역,도심,,20244,100.57
소규모상가,임대가격지수,권역,도심,,20251,100.32
소규모상가,임대가격지수,권역,도심,,20252,100.43
소규모상가,임대가격지수,권역,도심,,20253,100.73
소규모상가,임대가격지수,권역,도심,,20254,101.09
소규모상가,임대가격지수,권역,도심,,20261,101.62
소규모상가,임대가격지수,권역,도심,,20262,102.02
소규모상가,임대가격지수,권역,영등포신촌,,20241,99.61
소규모상가,임대가격지수,권역,영등포신촌,,20242,100.0
소규모상가,임대가격지수,권역,영등포신촌,,20243,100.26
소규모상가,임대가격지수,권역,영등포신촌,,20244,100.41
소규모상가,임대가격지수,권역,영등포신촌,,20251,100.38
소규모상가,임대가격지수,권역,영등포신촌,,20252,100.52
소규모상가,임대가격지수,권역,영등포신촌,,20253,100.98
소규모상가,임대가격지수,권역,영등포신촌,,20254,101.37
소규모상가,임대가격지수,권역,영등포신촌,,20261,102.02
소규모상가,임대가격지수,권역,영등포신촌,,20262,102.7
소규모상가,임대가격지수,상권,강남,강남대로,20241,99.93
소규모상가,임대가격지수,상권,강남,강남대로,20242,100.0
소규모상가,임대가격지수,상권,강남,강남대로,20243,100.4
소규모상가,임대가격지수,상권,강남,강남대로,20244,100.5
소규모상가,임대가격지수,상권,강남,강남대로,20251,99.8
소규모상가,임대가격지수,상권,강남,강남대로,20252,100.22
소규모상가,임대가격지수,상권,강남,강남대로,20253,101.79
소규모상가,임대가격지수,상권,강남,강남대로,20254,102.0
소규모상가,임대가격지수,상권,강남,강남대로,20261,102.42
소규모상가,임대가격지수,상권,강남,강남대로,20262,103.46
소규모상가,임대가격지수,상권,강남,교대역,20241,99.45
소규모상가,임대가격지수,상권,강남,교대역,20242,100.0
소규모상가,임대가격지수,상권,강남,교대역,20243,100.42
소규모상가,임대가격지수,상권,강남,교대역,20244,100.87
소규모상가,임대가격지수,상권,강남,교대역,20251,101.47
소규모상가,임대가격지수,상권,강남,교대역,20252,101.74
소규모상가,임대가격지수,상권,강남,교대역,20253,101.96
소규모상가,임대가격지수,상권,강남,교대역,20254,102.4
소규모상가,임대가격지수,상권,강남,교대역,20261,102.98
소규모상가,임대가격지수,상권,강남,교대역,20262,103.84
소규모상가,임대가격지수,상권,강남,남부터미널,20241,99.57
소규모상가,임대가격지수,상권,강남,남부터미널,20242,100.0
소규모상가,임대가격지수,상권,강남,남부터미널,20243,100.65
소규모상가,임대가격지수,상권,강남,남부터미널,20244,101.0
소규모상가,임대가격지수,상권,강남,남부터미널,20251,101.28
소규모상가,임대가격지수,상권,강남,남부터미널,20252,101.28
소규모상가,임대가격지수,상권,강남,남부터미널,20253,101.9
소규모상가,임대가격지수,상권,강남,남부터미널,20254,103.33
소규모상가,임대가격지수,상권,강남,남부터미널,20261,105.43
소규모상가,임대가격지수,상권,강남,남부터미널,20262,106.39
소규모상가,임대가격지수,상권,강남,논현역,20241,99.42
소규모상가,임대가격지수,상권,강남,논현역,20242,100.0
소규모상가,임대가격지수,상권,강남,논현역,20243,100.26
소규모상가,임대가격지수,상권,강남,논현역,20244,100.96
소규모상가,임대가격지수,상권,강남,논현역,20251,101.38
소규모상가,임대가격지수,상권,강남,논현역,20252,101.73
소규모상가,임대가격지수,상권,강남,논현역,20253,102.1
소규모상가,임대가격지수,상권,강남,논현역,20254,102.34
소규모상가,임대가격지수,상권,강남,논현역,20261,102.57
소규모상가,임대가격지수,상권,강남,논현역,20262,103.0
소규모상가,임대가격지수,상권,강남,도산대로,20241,99.53
소규모상가,임대가격지수,상권,강남,도산대로,20242,100.0
소규모상가,임대가격지수,상권,강남,도산대로,20243,100.56
소규모상가,임대가격지수,상권,강남,도산대로,20244,100.92
소규모상가,임대가격지수,상권,강남,도산대로,20251,100.92
소규모상가,임대가격지수,상권,강남,도산대로,20252,101.07
소규모상가,임대가격지수,상권,강남,도산대로,20253,101.23
소규모상가,임대가격지수,상권,강남,도산대로,20254,101.48
소규모상가,임대가격지수,상권,강남,도산대로,20261,101.15
소규모상가,임대가격지수,상권,강남,도산대로,20262,101.29
소규모상가,임대가격지수,상권,강남,신사역,20241,99.3
소규모상가,임대가격지수,상권,강남,신사역,20242,100.0
소규모상가,임대가격지수,상권,강남,신사역,20243,100.4
소규모상가,임대가격지수,상권,강남,신사역,20244,100.58
소규모상가,임대가격지수,상권,강남,신사역,20251,101.19
소규모상가,임대가격지수,상권,강남,신사역,20252,101.06
소규모상가,임대가격지수,상권,강남,신사역,20253,101.22
소규모상가,임대가격지수,상권,강남,신사역,20254,101.75
소규모상가,임대가격지수,상권,강남,신사역,20261,102.41
소규모상가,임대가격지수,상권,강남,신사역,20262,103.1
소규모상가,임대가격지수,상권,강남,압구정,20241,95.66
소규모상가,임대가격지수,상권,강남,압구정,20242,100.0
소규모상가,임대가격지수,상권,강남,압구정,20243,103.17
소규모상가,임대가격지수,상권,강남,압구정,20244,105.81
소규모상가,임대가격지수,상권,강남,압구정,20251,107.75
