TRDAR_CD,TRDAR_CD_N,SIGNGU_NM,ADSTRD_NM,R_ONE_상권,상가유형,기준_년분기_코드,임대료_천원㎡,임대가격지수,공실률,매칭상권_임대료표본수,매칭상권_공실률표본수,임대료_표본부족,공실률_표본부족,임대료_분위_매칭상권내,공실률_분위_매칭상권내,mapping_method,mapping_confidence,join_eligible,grain_is_proxy
3110431,상계역,노원구,중계4동,상계역,소규모상가,20241,,99.78,,0,0,True,True,,,exact_name,high,True,True
3120003,광화문역,종로구,사직동,광화문,소규모상가,20241,,99.58,,0,0,True,True,,,explicit_alias,high,True,True
3120012,대학로(혜화역),종로구,혜화동,혜화동,소규모상가,20241,,99.35,,0,0,True,True,,,explicit_alias,high,True,True
3120023,서울시청,중구,명동,시청,소규모상가,20241,,99.6,,0,0,True,True,,,explicit_alias,high,True,True
3120028,명동(명동거리),중구,명동,명동,소규모상가,20241,,99.11,,0,0,True,True,,,explicit_alias,high,True,True
3120049,왕십리역(왕십리),성동구,행당1동,왕십리,소규모상가,20241,,99.64,,0,0,True,True,,,explicit_alias,high,True,True
3120051,뚝섬역,성동구,성수1가2동,뚝섬,소규모상가,20241,,98.48,,0,0,True,True,,,explicit_alias,high,True,True
3120053,건대입구역(건대),광진구,화양동,건대입구,소규모상가,20241,,100.36,,0,0,True,True,,,explicit_alias,high,True,True
3120055,군자역,광진구,군자동,군자,소규모상가,20241,,99.52,,0,0,True,True,,,explicit_alias,high,True,True
3120063,청량리역(청량리),동대문구,전농1동,청량리,소규모상가,20241,,99.9,,0,0,True,True,,,explicit_alias,high,True,True
3120064,경희대학교(경희대),동대문구,회기동,경희대,소규모상가,20241,,99.78,,0,0,True,True,,,explicit_alias,high,True,True
3120069,상봉역,중랑구,상봉2동,상봉역,소규모상가,20241,,99.59,,0,0,True,True,,,exact_name,high,True,True
3120072,성신여대,성북구,동선동,성신여대,소규모상가,20241,,99.13,,0,0,True,True,,,exact_name,high,True,True
3120073,미아사거리,성북구,길음2동,미아사거리,소규모상가,20241,,99.89,,0,0,True,True,,,exact_name,high,True,True
3120076,수유역,강북구,수유3동,수유,소규모상가,20241,,99.7,,0,0,True,True,,,explicit_alias,high,True,True
3120090,연신내역,은평구,불광1동,연신내,소규모상가,20241,,99.71,,0,0,True,True,,,explicit_alias,high,True,True
3120092,불광역,은평구,대조동,불광역,소규모상가,20241,,99.74,,0,0,True,True,,,exact_name,high,True,True
3120094,"신촌역(신촌역, 신촌로터리)",서대문구,신촌동,신촌/이대,소규모상가,20241,,101.84,,0,0,True,True,,,composite_components,high,True,True
3120100,망원역,마포구,망원1동,망원역,소규모상가,20241,,99.77,,0,0,True,True,,,exact_name,high,True,True
3120103,홍대입구역(홍대),마포구,서교동,홍대/합정,소규모상가,20241,,99.83,,0,0,True,True,,,composite_components,high,True,True
3120107,공덕역(공덕오거리),마포구,도화동,공덕역,소규모상가,20241,,99.62,,0,0,True,True,,,explicit_alias,high,True,True
3120120,화곡역,강서구,화곡1동,화곡,소규모상가,20241,,100.41,,0,0,True,True,,,explicit_alias,high,True,True
3120123,오류동역,구로구,오류1동,오류동역,소규모상가,20241,,99.99,,0,0,True,True,,,exact_name,high,True,True
3120143,당산역,영등포구,당산2동,당산역,소규모상가,20241,,97.92,,0,0,True,True,,,exact_name,high,True,True
3120145,영등포역(영등포),영등포구,영등포동,영등포역,소규모상가,20241,,99.23,,0,0,True,True,,,explicit_alias,high,True,True
3120153,노량진역(노량진),동작구,노량진1동,노량진,소규모상가,20241,,100.11,,0,0,True,True,,,explicit_alias,high,True,True
3120157,신림역(신림),관악구,신림동,신림역,소규모상가,20241,,98.4,,0,0,True,True,,,explicit_alias,high,True,True
3120159,서울대입구역,관악구,청룡동,서울대입구역,소규모상가,20241,,99.45,,0,0,True,True,,,exact_name,high,True,True
3120160,사당역(사당),서초구,방배2동,사당,소규모상가,20241,,99.69,,0,0,True,True,,,explicit_alias,high,True,True
